tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
570	5970	610	0	0	0	2844	1183	0	0	6	3	15	1233	426159	29225	288267	4452894
571	6784	1535	0	0	8	2844	2780	0	0	23	12	32	2856	429015	29233	288287	4589205
572	4301	523	0	0	2	2844	1021	0	0	11	6	20	1079	430094	29235	288305	3518786
573	5241	94	0	0	0	2844	216	0	0	0	0	0	232	430326	29235	288311	4234814
574	5491	366	0	0	3	2844	762	0	0	18	9	27	830	431156	29238	288329	4330315
575	5935	774	0	0	4	2844	1487	0	0	5	3	14	1536	432692	29242	288345	4382198
576	5848	342	0	0	3	1712	751	0	0	16	9	25	817	433509	29245	288371	5006351
577	5237	96	0	0	0	2949	264	0	0	10	6	19	321	433830	29245	288386	4256120
578	5241	94	0	0	0	2844	216	0	0	0	0	0	232	434062	29245	288392	4234887
579	5385	246	0	0	0	2844	496	0	0	6	3	15	546	434608	29245	288403	4269074
580	7800	2416	0	0	6	2085	4476	0	0	34	18	43	4569	439177	29251	288434	5146670
581	1037	22	0	0	0	661	72	0	0	6	3	15	122	439299	29251	288438	671123
582	2967	103	0	0	5	1795	276	0	0	0	0	0	292	439591	29256	288446	2421325
583	2641	214	0	0	4	256	549	0	0	18	9	27	617	440208	29260	288474	1971946
584	3360	120	0	0	4	774	330	0	0	17	9	26	397	440605	29264	288489	2659053
585	560	187	0	0	0	123	405	0	0	0	0	0	421	441026	29264	288495	157776
586	510	54	0	0	0	174	148	0	0	0	0	0	164	441190	29264	288505	149374
587	567	56	0	0	0	174	156	0	0	0	0	0	172	441362	29264	288514	148088
588	598	87	0	0	2	174	226	0	0	0	0	0	242	441604	29266	288522	155898
589	513	70	0	0	2	174	180	0	0	17	9	26	247	441851	29268	288534	119328
590	622	97	0	0	6	174	245	0	0	6	3	15	295	442146	29274	288544	185361
591	677	150	0	0	29	174	340	0	0	18	9	27	408	442554	29303	288557	202128
592	780	196	0	0	21	174	444	0	0	119	60	106	642	443196	29324	288589	206039
593	622	109	0	0	26	174	266	0	0	6	3	15	316	443512	29350	288598	160988
594	517	60	0	0	1	174	173	0	0	60	30	69	304	443816	29351	288617	117774
595	589	66	0	0	0	335	177	0	0	42	21	51	281	444097	29351	288636	163990
596	669	191	0	0	0	335	404	0	0	0	0	0	420	444517	29351	288646	156570
597	951	330	0	0	0	335	655	0	0	11	6	20	713	445230	29351	288660	226666
598	659	118	0	0	1	335	303	0	0	41	21	50	406	445636	29352	288676	162014
599	689	191	0	0	26	335	435	0	0	0	0	0	451	446087	29378	288682	150085
600	845	203	0	0	29	335	478	0	0	84	42	83	635	446722	29407	288705	212704
601	652	79	0	0	21	335	206	0	0	23	12	32	282	447004	29428	288718	165638
602	475	18	0	0	1	335	63	0	0	6	3	15	113	447117	29429	288724	123204
603	473	23	0	0	0	371	77	0	0	6	3	15	127	447244	29429	288729	122986
604	574	98	0	0	2	371	251	0	0	18	9	27	319	447563	29431	288739	131386
605	1138	421	0	0	0	371	907	0	0	232	117	197	1253	448816	29431	288794	291372
606	492	32	0	0	11	371	95	0	0	0	0	0	111	448927	29442	288800	167833
607	495	35	0	0	10	371	100	0	0	0	0	0	116	449043	29452	288806	150824
608	4135	229	0	0	23	1874	559	0	0	109	57	118	766	449809	29475	288849	3317227
609	629	342	0	0	0	110	677	0	0	0	0	0	693	450502	29475	288855	405084
610	1551	64	0	0	1	220	186	0	0	21	12	30	260	450762	29476	288875	886713
611	2503	163	0	0	4	155	438	0	0	90	45	90	605	451367	29480	288907	1933693
612	2632	219	0	0	10	155	556	0	0	17	9	26	623	451990	29490	288932	2039008
613	2737	315	0	0	4	173	749	0	0	65	36	74	891	452881	29494	288976	2124958
614	2411	141	0	0	8	518	373	0	0	155	111	146	662	453543	29502	289029	1903656
615	2275	105	0	0	12	155	307	0	0	35	18	44	401	453944	29514	289066	1720332
616	2632	215	0	0	11	263	531	0	0	46	24	55	642	454586	29525	289092	2018360
617	2415	134	0	0	6	263	364	0	0	33	18	42	456	455042	29531	289118	1891858
618	2608	331	0	0	4	256	742	0	0	41	21	50	845	455887	29535	289142	1926885
619	80	12	0	0	0	64	45	0	0	6	3	15	95	455982	29535	289146	10937
620	2442	205	0	0	4	355	518	0	0	12	6	21	577	456559	29539	289168	1870525
621	2777	150	0	0	9	355	401	0	0	38	21	47	501	457060	29548	289195	2185672
622	2450	204	0	0	5	198	520	0	0	39	24	48	624	457684	29553	289225	1910018
