tu	cum_src	srcbytes	onl_tu_wire	ceil_tu_wire	cum_onl_wire	cum_ceil_wire	onl_tu_tok	ceil_tu_tok	cum_onl_tok	cum_ceil_tok	blocks	pairs
66	208633400	2046643	226	61	2651356	2636327	63	12	87895	7951	8337	17002
67	210844258	2210858	368	142	2651724	2636469	108	45	88003	7996	8352	17016
68	212915416	2071158	229	70	2651953	2636539	64	15	88067	8011	8355	17027
69	214974382	2058966	203	55	2652156	2636594	57	10	88124	8021	8357	17035
70	216806468	1832086	123	52	2652279	2636646	37	9	88161	8030	8357	17035
71	218849426	2042958	183	70	2652462	2636716	49	15	88210	8045	8364	17041
72	220912253	2062827	209	55	2652671	2636771	52	10	88262	8055	8369	17050
73	222974353	2062100	196	55	2652867	2636826	48	10	88310	8065	8374	17062
74	225044481	2070128	194	70	2653061	2636896	50	15	88360	8080	8376	17071
75	227109497	2065016	173	64	2653234	2636960	46	13	88406	8093	8381	17075
76	229382257	2272760	262	130	2653496	2637090	83	37	88489	8130	8388	17084
77	231542457	2160200	415	148	2653911	2637238	151	42	88640	8172	8392	17097
78	233120712	1578255	236	103	2654147	2637341	98	33	88738	8205	8422	17099
79	236637011	3516299	687	418	2654834	2637759	280	143	89018	8348	8455	17125
80	240259411	3622400	769	404	2655603	2638163	254	137	89272	8485	8468	17171
81	243628843	3369432	689	251	2656292	2638414	275	79	89547	8564	8490	17202
82	247287437	3658594	1018	295	2657310	2638709	380	97	89927	8661	8511	17279
83	250796429	3508992	607	237	2657917	2638946	221	75	90148	8736	8539	17302
84	254316317	3519888	719	352	2658636	2639298	240	117	90388	8853	8549	17341
85	258264550	3948233	1875	658	2660511	2639956	852	249	91240	9102	8566	17415
86	261768103	3503553	703	334	2661214	2640290	267	110	91507	9212	8583	17452
87	265536833	3768730	827	642	2662041	2640932	309	238	91816	9450	8609	17502
88	269350916	3814083	1002	472	2663043	2641404	383	171	92199	9621	8649	17552
89	273086855	3735939	1441	479	2664484	2641883	552	168	92751	9789	8683	17623
90	276772283	3685428	1184	560	2665668	2642443	465	206	93216	9995	8707	17663
91	280458133	3685850	668	694	2666336	2643137	242	269	93458	10264	8722	17700
92	283809348	3351215	42659	50532	2708995	2693669	846	26	94304	10290	8765	18340
93	287403854	3594506	4715	3038	2713710	2696707	829	33	95133	10323	8776	18421
94	289287887	1884033	1306	1255	2715016	2697962	47	29	95180	10352	8783	18438
95	293836571	4548684	9632	7473	2724648	2705435	1575	138	96755	10490	8835	18638
96	298341306	4504735	49854	53653	2774502	2759088	1360	405	98115	10895	8849	19118
97	302374094	4032788	7359	7314	2781861	2766402	862	262	98977	11157	8865	19183
98	306391444	4017350	5781	7973	2787642	2774375	1029	5	100006	11162	8904	19395
99	310414490	4023046	4263	2009	2791905	2776384	1021	21	101027	11183	8922	19457
100	314498355	4083865	13997	12614	2805902	2788998	924	220	101951	11403	9515	19594
101	318498643	4000288	4836	1717	2810738	2790715	566	15	102517	11418	9564	19922
102	322515347	4016704	2322	672	2813060	2791387	673	5	103190	11423	9578	19987
103	326534521	4019174	2413	967	2815473	2792354	661	5	103851	11428	9596	20014
104	330552830	4018309	2486	1073	2817959	2793427	650	7	104501	11435	9607	20045
105	334550775	3997945	2040	901	2819999	2794328	519	7	105020	11442	9619	20080
106	338550576	3999801	2526	1437	2822525	2795765	514	11	105534	11453	9654	20107
107	342566354	4015778	5443	5011	2827968	2800776	625	187	106159	11640	9688	20223
108	346565497	3999143	2379	1334	2830347	2802110	488	11	106647	11651	9975	20257
109	350582310	4016813	2824	751	2833171	2802861	488	9	107135	11660	10005	20425
110	354920664	4338354	11266	12008	2844437	2814869	687	412	107822	12072	10017	20684
111	359352545	4431881	6998	6510	2851435	2821379	1004	324	108826	12396	10031	20856
112	363349979	3997434	1546	809	2852981	2822188	325	7	109151	12403	10045	20883
113	367547394	4197415	13777	13455	2866758	2835643	594	192	109745	12595	10072	21032
114	371559221	4011827	5820	5101	2872578	2840744	302	11	110047	12606	10092	21067
115	375750428	4191207	11194	10492	2883772	2851236	575	250	110622	12856	10133	21206
116	379767589	4017161	1670	680	2885442	2851916	452	5	111074	12861	10378	21233
117	383783843	4016254	2204	571	2887646	2852487	325	5	111399	12866	10444	21380
118	387800790	4016947	1482	590	2889128	2853077	288	5	111687	12871	10460	21444
119	392194202	4393412	7529	7833	2896657	2860910	733	350	112420	13221	10485	21683
120	396572831	4378629	1817	906	2898474	2861816	493	92	112913	13313	10501	21741
121	400685997	4113166	10573	10102	2909047	2871918	622	276	113535	13589	10514	21950
122	404708782	4022785	15865	17009	2924912	2888927	663	495	114198	14084	10522	22157
123	409569895	4861113	5206	4747	2930118	2893674	1104	560	115302	14644	10617	22230
124	413161882	3591987	2756	2261	2932874	2895935	239	44	115541	14688	10694	22292
125	416775612	3613730	4335	4665	2937209	2900600	475	285	116016	14973	10707	22531
126	420126827	3351215	473	95	2937682	2900695	151	26	116167	14999	10712	22551
127	423721333	3594506	447	117	2938129	2900812	158	33	116325	15032	10717	22561
128	425605366	1884033	117	110	2938246	2900922	33	29	116358	15061	10719	22564
129	430154050	4548684	1982	364	2940228	2901286	873	138	117231	15199	10743	22638
130	434658785	4504735	1902	1006	2942130	2902292	651	405	117882	15604	10761	22761
131	438691573	4032788	567	631	2942697	2902923	186	262	118068	15866	10768	22803
132	442708923	4017350	587	40	2943284	2902963	234	5	118302	15871	10775	22822
133	446731969	4023046	636	88	2943920	2903051	243	21	118545	15892	10814	22838
134	450815834	4083865	806	585	2944726	2903636	251	220	118796	16112	10818	22894
135	454816122	4000288	409	70	2945135	2903706	140	15	118936	16127	10823	22913
136	458832826	4016704	529	40	2945664	2903746	202	5	119138	16132	10832	22928
137	462852000	4019174	534	40	2946198	2903786	195	5	119333	16137	10840	22943
138	466870309	4018309	517	46	2946715	2903832	190	7	119523	16144	10851	22958
139	470868254	3997945	373	46	2947088	2903878	123	7	119646	16151	10861	22974
140	474868055	3999801	400	58	2947488	2903936	118	11	119764	16162	10874	22994
141	478883833	4015778	700	496	2948188	2904432	249	187	120013	16349	10924	23040
142	482882976	3999143	423	58	2948611	2904490	98	11	120111	16360	10932	23072
143	486899789	4016813	487	52	2949098	2904542	172	9	120283	16369	10985	23093
144	491238143	4338354	1197	993	2950295	2905535	488	412	120771	16781	11016	23149
145	495670024	4431881	1820	822	2952115	2906357	741	324	121512	17105	11355	23213
146	499667458	3997434	319	46	2952434	2906403	87	7	121599	17112	11360	23231
147	503864873	4197415	770	494	2953204	2906897	295	192	121894	17304	11371	23255
148	507876700	4011827	261	58	2953465	2906955	85	11	121979	17315	11375	23261
149	512067907	4191207	894	657	2954359	2907612	324	250	122303	17565	11419	23305
150	516085068	4017161	439	40	2954798	2907652	138	5	122441	17570	11446	23326
151	520101322	4016254	477	40	2955275	2907692	118	5	122559	17575	11453	23361
152	524118269	4016947	353	40	2955628	2907732	113	5	122672	17580	11459	23371
153	528511681	4393412	1461	902	2957089	2908634	534	350	123206	17930	11492	23451
154	532890310	4378629	755	287	2957844	2908921	269	92	123475	18022	11530	23484
155	537003476	4113166	1239	713	2959083	2909634	454	276	123929	18298	11542	23555
156	541026261	4022785	1243	1221	2960326	2910855	487	495	124416	18793	11572	23607
157	545887374	4861113	2720	1373	2963046	2912228	730	560	125146	19353	11662	23811
158	549479361	3591987	371	146	2963417	2912374	118	44	125264	19397	11672	23824
159	553093091	3613730	1007	732	2964424	2913106	391	285	125655	19682	11690	23857
160	558201031	5107940	16276	15446	2980700	2928552	1039	705	126694	20387	11706	24238
161	562999388	4798357	108543	112819	3089243	3041371	1436	556	128130	20943	11736	25054
162	567694381	4694993	34893	33780	3124136	3075151	1350	565	129480	21508	11776	25371
163	572323600	4629219	5705	9201	3129841	3084352	1068	163	130548	21671	11908	25490
164	575526483	3202883	9966	10408	3139807	3094760	656	283	131204	21954	11916	25753
165	580494308	4967825	30172	28920	3169979	3123680	1234	316	132438	22270	11934	25968
166	582926444	2432136	3388	3531	3173367	3127211	208	161	132646	22431	11941	26045
167	586993194	4066750	3204	2480	3176571	3129691	645	162	133291	22593	11958	26101
