tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
679	5049	162	237	10	37	628	418	11640	1192	86	78	4039	4567	13157553	20380	257373	4127845
680	5051	290	777	20	10	672	709	34881	5275	66	99	13131	13971	13171524	20390	257463	4035532
681	5038	68	364	15	4	1025	198	20841	1633	12	51	6300	6581	13178105	20394	257490	3974255
682	6	3	2	2	0	4	17	150	8	0	6	99	154	13178259	20394	257492	250
683	5018	246	274	25	12	755	614	12751	2373	55	108	5474	6228	13184487	20406	257579	3965765
684	5039	153	180	23	9	755	411	6816	1019	159	153	3085	3681	13188168	20415	257654	3921315
685	4965	116	89	19	2	1141	322	4565	455	17	66	1668	2088	13190256	20417	257688	3914627
686	5227	407	891	58	92	1141	962	34625	4838	111	231	12794	14019	13204275	20509	257815	4021525
687	5024	114	562	9	1	1141	322	25512	2791	75	66	8840	9260	13213535	20510	257854	3990681
688	2526	297	524	174	26	755	675	24128	2910	0	522	7386	8615	13222150	20536	258044	1759465
