K	blocks	root_tok	wire	ceil_tok	ceil_wire	tok_regret_pct	never_pct
2	52964	187989	12380728	217468	12592266	-13.556	37.726
4	36381	261032	12449766	217468	12592266	20.032	34.097
8	27431	379727	12645523	217468	12592266	74.613	32.857
16	20804	561534	12971021	217468	12592266	158.215	32.700
32	15205	837772	13475875	217468	12592266	285.239	33.338
64	11642	1262692	14263305	217468	12592266	480.633	33.680
