K	blocks	root_tok	wire	ceil_tok	ceil_wire	tok_regret_pct	never_pct
2	47471	323518	13064721	325737	13122562	-0.681	38.655
4	28895	378542	13110139	325737	13122562	16.211	28.894
8	20536	462244	13222150	325737	13122562	41.907	27.342
16	15586	601669	13476866	325737	13122562	84.710	23.322
32	12258	818832	13879161	325737	13122562	151.378	23.038
64	9802	1148551	14497601	325737	13122562	252.601	27.933
