tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
260	3927	58	0	0	3	798	182	0	0	30	15	39	268	1093807	26602	802837	4221827
261	3730	53	0	0	4	549	166	0	0	18	9	27	234	1094041	26606	802851	4202631
262	6526	208	0	0	7	798	495	0	0	29	15	38	580	1094621	26613	802864	5509116
263	5518	122	0	0	1	798	338	0	0	12	6	21	397	1095018	26614	802878	5142816
264	8333	254	0	0	38	916	626	0	0	347	174	265	1097	1096115	26652	802950	6237433
265	6370	308	0	0	7	798	680	0	0	18	9	27	748	1096863	26659	802968	5407919
266	3493	64	0	0	2	387	199	0	0	6	3	15	249	1097112	26661	802977	2718865
267	6389	53	0	0	3	734	168	0	0	36	18	45	263	1097375	26664	802995	5499008
268	7247	201	0	0	3	734	506	0	0	36	18	45	601	1097976	26667	803027	5742200
269	4029	36	0	0	0	798	117	0	0	0	0	0	133	1098109	26667	803033	4308894
270	6878	93	0	0	4	514	283	0	0	41	21	50	386	1098495	26671	803052	5682407
271	7967	748	0	0	5	798	1567	0	0	41	21	50	1670	1100165	26676	803079	6022073
272	7375	158	0	0	7	798	422	0	0	30	15	39	508	1100673	26683	803096	5889303
273	8947	606	0	0	4	1206	1306	0	0	36	18	45	1401	1102074	26687	803114	6351358
274	10337	1932	0	0	24	916	3963	0	0	24	12	33	4040	1106114	26711	803147	6750923
275	7342	74	0	0	5	916	221	0	0	18	9	27	289	1106403	26716	803160	5875918
276	3341	93	0	0	2	259	277	0	0	18	9	27	345	1106748	26718	803178	2789085
277	7406	298	0	0	23	599	750	0	0	23	12	32	826	1107574	26741	803203	5859235
278	7357	100	0	0	5	916	296	0	0	36	18	45	391	1107965	26746	803221	5866459
279	5425	209	0	0	5	734	525	0	0	23	12	32	601	1108566	26751	803250	5006992
280	7385	98	0	0	4	916	272	0	0	6	3	15	322	1108888	26755	803264	5860687
281	5053	195	0	0	18	734	521	0	0	61	33	70	656	1109544	26773	803304	4832290
282	5525	195	0	0	20	1206	518	0	0	27	15	36	601	1110145	26793	803333	5131116
283	4018	68	0	0	5	1206	210	0	0	18	9	27	278	1110423	26798	803352	4272839
284	2187	64	0	0	4	527	197	0	0	24	12	33	274	1110697	26802	803368	1593418
285	9039	777	0	0	1	1344	1572	0	0	15	9	24	1637	1112334	26803	803408	6404182
286	2618	84	0	0	4	426	237	0	0	0	0	0	253	1112587	26807	803417	2359328
287	7343	69	0	0	4	916	214	0	0	24	12	33	291	1112878	26811	803430	5877092
288	7153	419	0	0	5	798	929	0	0	35	18	44	1023	1113901	26816	803476	5731690
289	3736	66	0	0	5	398	206	0	0	23	12	32	282	1114183	26821	803492	2952687
290	6567	351	0	0	9	734	807	0	0	35	18	44	901	1115084	26830	803523	5571918
291	3754	69	0	0	1	515	200	0	0	40	21	49	302	1115386	26831	803546	2946205
292	5008	138	0	0	0	734	370	0	0	12	6	21	429	1115815	26831	803572	4983342
293	5154	448	0	0	10	621	1050	0	0	30	15	39	1136	1116951	26841	803624	4888356
294	6368	184	0	0	27	734	501	0	0	48	24	57	614	1117565	26868	803657	5549485
295	4592	102	0	0	5	599	291	0	0	24	12	33	368	1117933	26873	803666	4790233
296	3528	58	0	0	0	515	181	0	0	0	0	0	197	1118130	26873	803671	2959091
297	5398	654	0	0	6	621	1479	0	0	39	21	48	1580	1119710	26879	803704	4953678
298	3448	77	0	0	1	398	224	0	0	23	12	32	300	1120010	26880	803715	2762454
299	5493	774	0	0	10	621	1667	0	0	21	12	30	1741	1121751	26890	803754	4868556
300	4564	195	0	0	18	436	510	0	0	16	9	25	576	1122327	26908	803780	3903419
301	3588	184	0	0	4	338	491	0	0	31	18	40	581	1122908	26912	803814	4135360
302	7395	178	0	0	3	572	494	0	0	29	15	38	579	1123487	26915	803846	5882551
303	6340	183	0	0	3	599	460	0	0	30	15	39	546	1124033	26918	803867	5443859
304	5175	221	0	0	3	684	523	0	0	18	9	27	591	1124624	26921	803893	5008871
305	7368	127	0	0	2	599	370	0	0	51	27	60	489	1125113	26923	803923	5871764
306	4614	74	0	0	3	619	222	0	0	18	9	27	290	1125403	26926	803936	4777291
307	5521	186	0	0	5	599	470	0	0	18	9	27	538	1125941	26931	803959	5146678
308	4815	88	0	0	3	584	253	0	0	18	9	27	321	1126262	26934	803976	4879129
309	4631	72	0	0	3	619	212	0	0	18	9	27	280	1126542	26937	803987	4776027
310	4832	87	0	0	3	619	248	0	0	18	9	27	316	1126858	26940	803999	4890409
311	8327	130	0	0	2	916	371	0	0	6	3	15	421	1127279	26942	804023	6223350
312	6354	191	0	0	3	1206	470	0	0	24	12	33	547	1127826	26945	804049	5464646
313	3706	139	0	0	2	391	378	0	0	28	15	37	462	1128288	26947	804073	3060566
