tu	regions	root_tok	new_lines	new_regions	new_blocks	deepest	root_z3	line_def	region_def	block_def	missing	fill_z3	total_z	cum_z	blocks	pairs	srcbytes
177	5694	277	0	0	37	716	676	0	0	109	57	118	883	63601	21625	261693	4629834
178	138	22	0	0	0	77	69	0	0	12	6	21	128	63729	21625	261701	36583
179	89	10	0	0	0	77	38	0	0	0	0	0	54	63783	21625	261703	16305
180	138	22	0	0	1	77	69	0	0	0	0	0	85	63868	21626	261705	505823
181	307	37	0	0	1	46	118	0	0	17	9	26	185	64053	21627	261717	81598
182	394	49	0	0	0	77	141	0	0	0	0	0	157	64210	21627	261727	122410
183	92	13	0	0	0	77	47	0	0	0	0	0	63	64273	21627	261729	20156
184	142	31	0	0	2	35	92	0	0	18	9	27	160	64433	21629	261738	47983
185	395	109	0	0	20	77	263	0	0	6	3	15	313	64746	21649	261745	225199
186	148	31	0	0	3	77	101	0	0	0	0	0	117	64863	21652	261750	47185
187	448	147	0	0	0	83	341	0	0	84	42	87	502	65365	21652	261774	125903
188	1051	152	0	0	3	152	364	0	0	372	186	267	849	66214	21655	261857	1368463
189	1073	173	0	0	3	152	407	0	0	11	6	20	465	66679	21658	261868	1271339
190	917	70	0	0	0	152	182	0	0	12	6	21	241	66920	21658	261880	1113186
191	1218	370	0	0	2	152	738	0	0	0	0	0	754	67674	21660	261887	1204790
192	989	134	0	0	11	174	319	0	0	18	9	27	387	68061	21671	261897	1195883
193	1037	181	0	0	20	174	369	0	0	36	18	45	464	68525	21691	261910	1151582
194	886	43	0	0	0	174	129	0	0	6	3	15	179	68704	21691	261915	1091939
195	240	80	0	0	5	77	190	0	0	12	6	21	249	68953	21696	261923	534497
196	949	84	0	0	17	174	213	0	0	6	3	15	263	69216	21713	261929	1141129
197	950	78	0	0	1	174	201	0	0	48	24	57	314	69530	21714	261948	1142200
198	135	20	0	0	0	35	68	0	0	6	3	15	118	69648	21714	261953	181083
199	1210	293	0	0	1	147	639	0	0	60	30	69	770	70418	21715	261989	1333429
200	1040	147	0	0	0	147	361	0	0	18	9	27	429	70847	21715	262004	1231351
201	148	19	0	0	0	77	65	0	0	0	0	0	81	70928	21715	262006	50310
202	818	50	0	0	0	174	154	0	0	18	9	27	222	71150	21715	262016	604393
203	907	54	0	0	3	174	157	0	0	0	0	0	173	71323	21718	262021	1104967
204	827	32	0	0	2	174	104	0	0	0	0	0	120	71443	21720	262023	604230
205	320	38	0	0	0	83	117	0	0	6	3	15	167	71610	21720	262028	84378
206	1037	153	0	0	4	193	354	0	0	84	42	87	515	72125	21724	262051	1170847
207	182	38	0	0	0	77	118	0	0	0	0	0	134	72259	21724	262054	534659
208	137	13	0	0	1	77	47	0	0	6	3	15	97	72356	21725	262056	36245
209	489	192	0	0	1	82	405	0	0	0	0	0	421	72777	21726	262064	168947
210	2930	262	0	0	20	455	623	0	0	22	12	31	698	73475	21746	262103	2614144
211	1716	256	0	0	8	392	558	0	0	36	18	45	653	74128	21754	262126	1295081
212	90	21	0	0	1	30	71	0	0	0	0	0	87	74215	21755	262126	27841
213	2329	180	0	0	13	455	454	0	0	65	42	74	602	74817	21768	262154	1714703
214	1953	175	0	0	7	143	445	0	0	48	27	57	561	75378	21775	262193	1622074
215	1489	53	0	0	1	634	164	0	0	24	12	33	241	75619	21776	262204	1027004
216	5028	75	0	0	5	861	203	0	0	27	15	36	286	75905	21781	262228	3914453
217	5996	306	0	0	10	861	723	0	0	71	39	80	874	76779	21791	262264	4798357
218	5858	352	0	0	59	861	807	0	0	71	36	80	955	77734	21850	262301	4694993
219	5700	120	0	0	9	861	321	0	0	18	9	27	389	78123	21859	262315	4629219
220	3791	221	0	0	10	634	555	0	0	45	24	54	665	78788	21869	262345	3202883
221	6013	255	0	0	8	861	617	0	0	48	24	57	730	79518	21877	262373	4967979
222	3042	106	0	0	1	634	286	0	0	11	6	20	344	79862	21878	262385	2432136
223	5209	88	0	0	7	1141	246	0	0	18	9	27	314	80176	21885	262396	4066750
224	4932	46	0	0	14	1141	139	0	0	18	9	27	207	80383	21899	262403	3878026
225	6175	418	0	0	8	1141	895	0	0	68	36	77	1040	81423	21907	262431	4847170
226	5737	254	0	0	11	628	626	0	0	52	30	61	749	82172	21918	262459	4713986
227	5809	241	0	0	21	977	599	0	0	110	60	119	810	82982	21939	262500	4815637
228	3014	29	0	0	0	1467	94	0	0	17	9	26	161	83143	21939	262509	2418637
229	5836	249	0	0	9	1141	596	0	0	60	30	69	727	83870	21948	262531	4795235
230	3042	37	0	0	1	634	113	0	0	0	0	0	129	83999	21949	262532	2440936
231	5809	182	0	0	5	1141	452	0	0	36	18	45	547	84546	21954	262551	4728443
232	4935	40	0	0	6	1141	126	0	0	11	6	20	184	84730	21960	262556	3885246
233	5711	249	0	0	15	1141	612	0	0	53	30	62	736	85466	21975	262581	4690207
234	5694	233	0	0	25	716	573	0	0	80	45	89	739	86205	22000	262613	4629834
235	138	21	0	0	0	77	71	0	0	0	0	0	87	86292	22000	262614	36583
236	89	10	0	0	0	77	38	0	0	0	0	0	54	86346	22000	262614	16305
237	138	21	0	0	1	77	71	0	0	0	0	0	87	86433	22001	262615	505823
238	307	34	0	0	1	82	109	0	0	6	3	15	159	86592	22002	262618	81598
239	394	45	0	0	3	83	133	0	0	6	3	15	183	86775	22005	262623	122410
240	92	13	0	0	0	77	47	0	0	0	0	0	63	86838	22005	262623	20156
241	142	29	0	0	0	39	91	0	0	6	3	15	141	86979	22005	262626	47983
242	395	94	0	0	0	83	238	0	0	6	3	15	288	87267	22005	262632	225199
243	148	29	0	0	0	77	95	0	0	0	0	0	111	87378	22005	262637	47185
244	448	147	0	0	12	83	341	0	0	0	0	0	357	87735	22017	262637	125903
245	1051	131	0	0	3	193	328	0	0	18	9	27	396	88131	22020	262646	1368463
246	1073	151	0	0	3	193	368	0	0	18	9	27	436	88567	22023	262653	1271339
247	917	49	0	0	1	193	146	0	0	12	6	21	205	88772	22024	262661	1113186
248	1218	337	0	0	1	193	680	0	0	0	0	0	696	89468	22025	262666	1204790
249	989	110	0	0	5	193	274	0	0	6	3	15	324	89792	22030	262672	1195883
250	1037	154	0	0	1	193	312	0	0	6	3	15	362	90154	22031	262678	1151582
251	886	28	0	0	3	193	92	0	0	0	0	0	108	90262	22034	262682	1091939
252	240	77	0	0	0	77	181	0	0	0	0	0	197	90459	22034	262684	534497
253	949	61	0	0	7	193	164	0	0	30	15	39	250	90709	22041	262696	1141129
254	950	64	0	0	7	193	172	0	0	12	6	21	231	90940	22048	262708	1142200
255	135	18	0	0	1	39	62	0	0	0	0	0	78	91018	22049	262710	181083
256	1210	286	0	0	10	175	626	0	0	6	3	15	676	91694	22059	262718	1333429
257	1040	146	0	0	66	175	359	0	0	0	0	0	375	92069	22125	262718	1231351
258	148	17	0	0	0	77	59	0	0	0	0	0	75	92144	22125	262720	50310
259	818	44	0	0	6	193	136	0	0	0	0	0	152	92296	22131	262726	604393
260	907	37	0	0	0	368	114	0	0	24	12	33	191	92487	22131	262737	1104967
261	827	22	0	0	1	368	74	0	0	0	0	0	90	92577	22132	262741	604230
262	320	35	0	0	2	110	108	0	0	6	3	15	158	92735	22134	262745	84378
263	1037	139	0	0	6	368	318	0	0	0	0	0	334	93069	22140	262748	1170847
264	182	37	0	0	4	77	119	0	0	6	3	15	169	93238	22144	262750	534659
265	137	12	0	0	0	77	44	0	0	0	0	0	60	93298	22144	262751	36245
266	489	187	0	0	1	82	395	0	0	17	9	26	462	93760	22145	262757	168947
267	2930	234	0	0	16	455	570	0	0	22	12	31	645	94405	22161	262770	2614144
268	1716	249	0	0	0	634	546	0	0	21	12	30	620	95025	22161	262780	1295081
269	90	20	0	0	4	39	68	0	0	0	0	0	84	95109	22165	262781	27841
270	2329	158	0	0	26	455	406	0	0	55	33	64	535	95644	22191	262800	1714703
271	1953	163	0	0	8	143	421	0	0	57	30	66	549	96193	22199	262822	1622074
272	1489	45	0	0	3	634	134	0	0	17	9	26	201	96394	22202	262829	1027004
273	5028	51	0	0	1	1141	145	0	0	12	6	21	204	96598	22203	262839	3914453
274	5844	160	0	0	8	1141	413	0	0	58	30	67	542	97140	22211	262869	4814982
275	5882	203	0	0	5	1141	502	0	0	58	30	67	631	97771	22216	262913	4763034
276	5830	316	0	0	10	628	754	0	0	39	21	48	855	98626	22226	262970	4744274
277	5679	230	0	0	9	1141	534	0	0	22	12	31	609	99235	22235	263005	4618388
278	5584	225	0	0	22	634	551	0	0	29	15	38	636	99871	22257	263045	4547253
279	5131	171	0	0	6	1467	442	0	0	57	33	66	573	100444	22263	263107	4171832
280	5131	165	0	0	7	1467	429	0	0	32	18	41	520	100964	22270	263119	4171832
281	4713	289	0	0	11	716	689	0	0	45	24	54	799	101763	22281	263196	3984847
282	5545	166	0	0	8	1141	430	0	0	23	12	32	506	102269	22289	263237	10085962
283	4481	247	0	0	11	844	594	0	0	51	27	60	713	102982	22300	263271	3669583
284	485	76	0	0	0	58	188	0	0	0	0	0	204	103186	22300	263295	135040
285	1109	181	0	0	1	147	420	0	0	17	9	26	487	103673	22301	263325	681479
286	995	101	0	0	0	147	263	0	0	0	0	0	279	103952	22301	263335	651101
287	491	58	0	0	4	58	165	0	0	0	0	0	181	104133	22305	263345	133576
288	452	57	0	0	3	58	150	0	0	12	6	21	209	104342	22308	263356	125115
289	821	374	0	0	5	96	794	0	0	102	51	99	976	105318	22313	263402	4151779
290	434	38	0	0	1	96	108	0	0	12	6	21	167	105485	22314	263412	125999
291	523	100	0	0	1	96	253	0	0	30	15	39	339	105824	22315	263436	169201
292	10	7	0	0	0	4	29	0	0	0	0	0	45	105869	22315	263436	6139
293	506	85	0	0	1	96	215	0	0	0	0	0	231	106100	22316	263457	142255
294	463	66	0	0	0	96	172	0	0	0	0	0	188	106288	22316	263464	126729
295	353	19	0	0	0	96	65	0	0	0	0	0	81	106369	22316	263468	84023
296	1153	138	0	0	11	147	359	0	0	24	12	33	436	106805	22327	263495	679524
297	458	39	0	0	5	96	116	0	0	18	9	27	184	106989	22332	263513	127572
298	467	46	0	0	2	96	130	0	0	18	9	27	198	107187	22334	263530	131413
299	793	69	0	0	0	139	181	0	0	65	39	74	326	107513	22334	263560	477525
