row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
pretrained-seed-online-k2	41	650986	402	258	0	1	661	41379733	173230	238.87163308895688	10382	5906	2906	1201	40	1783253	2024721
pretrained-seed-online-k2	42	354545	310	87	0	1	398	41734278	173628	240.36605846983204	10462	5986	2918	1202	41	1776775	2022071
pretrained-seed-online-k2	43	1149413	1913	371	0	1	2285	42883691	175913	243.77783904543725	10575	6099	2980	1202	42	1767189	2020674
pretrained-seed-online-k2	44	1240270	932	329	0	1	1262	44123961	177175	249.0416875970086	10703	6227	3064	1222	43	1764704	2026377
pretrained-seed-online-k2	45	1705459	2828	585	0	1	3414	45829420	180589	253.7774726035362	10894	6418	3194	1279	44	1866947	2136811
pretrained-seed-online-k2	46	1619994	2157	356	0	1	2514	47449414	183103	259.14056023112676	11196	6720	3270	1315	45	1936121	2214175
pretrained-seed-online-k2	47	1113360	2301	529	0	1	2831	48562774	185934	261.18286058493874	11323	6847	3337	1319	46	1950476	2235777
pretrained-seed-online-k2	48	17188	266	45	0	1	312	48579962	186246	260.83761261986837	11328	6852	3341	1321	47	1954480	2239846
pretrained-seed-online-k2	49	803111	688	277	0	1	966	49383073	187212	263.78155780612354	11382	6906	3367	1321	48	1951899	2241843
pretrained-seed-online-k2	50	898645	841	494	0	1	1336	50281718	188548	266.6786070390564	11510	7034	3435	1322	49	1960450	2257323
pretrained-seed-online-k2	51	1082936	407	462	0	1	870	51364654	189418	271.17092356587017	11592	7116	3486	1323	50	1987931	2288886
pretrained-seed-online-k2	52	810229	433	172	0	1	606	52174883	190024	274.5699648465457	11693	7217	3506	1323	51	1984896	2292656
pretrained-seed-online-k2	53	763024	495	200	0	1	696	52937907	190720	277.56872378355706	11724	7248	3525	1323	52	1986839	2297098
pretrained-seed-online-k2	54	5297	329	34	0	1	364	52943204	191084	277.06769797575936	11726	7250	3528	1323	53	1987478	2297747
pretrained-seed-online-k2	55	921806	470	41	0	1	512	53865010	191596	281.1384893212802	11814	7338	3530	1323	54	1983014	2301475
pretrained-seed-online-k2	56	1507436	3831	629	0	1	4461	55372446	196057	282.43034423662505	11973	7497	3660	1346	55	1993509	2320161
pretrained-seed-online-k2	57	610513	3969	277	0	1	4247	55982959	200304	279.48997024522725	12369	7893	3700	1366	56	2039119	2372127
pretrained-seed-online-k2	58	58777	496	47	0	1	544	56041736	200848	279.02561140763163	12400	7924	3703	1366	57	2051573	2385396
pretrained-seed-online-k2	59	915518	775	373	0	1	1149	56957254	201997	281.9707916454205	12484	8008	3759	1370	58	2052059	2391727
