tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	p29_this_tu	p29_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	saving_vs_p29_cumulative	exact	state_bytes
91	3351215	283809348	0	0	34955	1883167	34976	1711901	29526	1727890	-1727890	155277	-15989	1	13132654
92	3594506	287403854	0	0	2307	1885474	2303	1714204	2183	1730073	-1730073	155401	-15869	1	13142683
93	1884033	289287887	0	0	1000	1886474	989	1715193	1038	1731111	-1731111	155363	-15918	1	13146949
94	4548684	293836571	0	0	4912	1891386	4896	1720089	4682	1735793	-1735793	155593	-15704	1	13170132
95	4504735	298341306	0	0	42732	1934118	42765	1762854	38021	1773814	-1773814	160304	-10960	1	13426736
96	4032788	302374094	0	0	4005	1938123	3998	1766852	3286	1777100	-1777100	161023	-10248	1	13444932
97	4017350	306391444	0	0	2539	1940662	2545	1769397	2339	1779439	-1779439	161223	-10042	1	13455802
98	4023046	310414490	0	0	1459	1942121	1458	1770855	1415	1780854	-1780854	161267	-9999	1	13463771
99	4083865	314498355	0	0	10345	1952466	10316	1781171	9004	1789858	-1789858	162608	-8687	1	13542479
100	4000288	318498643	0	0	1139	1953605	1154	1782325	1079	1790937	-1790937	162668	-8612	1	13547280
101	4016704	322515347	0	0	420	1954025	419	1782744	381	1791318	-1791318	162707	-8574	1	13548907
102	4019174	326534521	0	0	609	1954634	609	1783353	598	1791916	-1791916	162718	-8563	1	13553004
103	4018309	330552830	0	0	599	1955233	597	1783950	556	1792472	-1792472	162761	-8522	1	13556236
104	3997945	334550775	0	0	569	1955802	565	1784515	556	1793028	-1793028	162774	-8513	1	13558910
105	3999801	338550576	0	0	941	1956743	936	1785451	941	1793969	-1793969	162774	-8518	1	13563440
106	4015778	342566354	0	0	3414	1960157	3421	1788872	3101	1797070	-1797070	163087	-8198	1	13584304
107	3999143	346565497	0	0	836	1960993	837	1789709	813	1797883	-1797883	163110	-8174	1	13588069
108	4016813	350582310	0	0	444	1961437	448	1790157	414	1798297	-1798297	163140	-8140	1	13589805
109	4338354	354920664	0	0	8423	1969860	8411	1798568	7864	1806161	-1806161	163699	-7593	1	13642411
110	4431881	359352545	0	0	4253	1974113	4256	1802824	4096	1810257	-1810257	163856	-7433	1	13667800
111	3997434	363349979	0	0	484	1974597	485	1803309	465	1810722	-1810722	163875	-7413	1	13669963
112	4197415	367547394	0	0	10506	1985103	10469	1813778	9287	1820009	-1820009	165094	-6231	1	13735625
113	4011827	371559221	0	0	3750	1988853	3754	1817532	3322	1823331	-1823331	165522	-5799	1	13752181
114	4191207	375750428	0	0	8153	1997006	8154	1825686	7280	1830611	-1830611	166395	-4925	1	13805158
115	4017161	379767589	0	0	422	1997428	420	1826106	369	1830980	-1830980	166448	-4874	1	13807242
116	4016254	383783843	0	0	334	1997762	338	1826444	312	1831292	-1831292	166470	-4848	1	13808419
117	4016947	387800790	0	0	336	1998098	330	1826774	320	1831612	-1831612	166486	-4838	1	13810289
118	4393412	392194202	0	0	5213	2003311	5210	1831984	4786	1836398	-1836398	166913	-4414	1	13840709
119	4378629	396572831	0	0	534	2003845	534	1832518	484	1836882	-1836882	166963	-4364	1	13843060
120	4113166	400685997	0	0	7578	2011423	7580	1840098	6842	1843724	-1843724	167699	-3626	1	13893806
121	4022785	404708782	0	0	13364	2024787	13336	1853434	11869	1855593	-1855593	169194	-2159	1	14034162
122	4861113	409569895	0	0	2248	2027035	2233	1855667	2064	1857657	-1857657	169378	-1990	1	14050548
123	3591987	413161882	0	0	1793	2028828	1776	1857443	1690	1859347	-1859347	169481	-1904	1	14059661
124	3613730	416775612	0	0	3509	2032337	3497	1860940	3479	1862826	-1862826	169511	-1886	1	14094824
125	3351215	420126827	0	0	53	2032390	53	1860993	53	1862879	-1862879	169511	-1886	1	14094824
126	3594506	423721333	0	0	53	2032443	53	1861046	53	1862932	-1862932	169511	-1886	1	14094824
127	1884033	425605366	0	0	53	2032496	53	1861099	53	1862985	-1862985	169511	-1886	1	14094824
128	4548684	430154050	0	0	53	2032549	53	1861152	53	1863038	-1863038	169511	-1886	1	14094824
129	4504735	434658785	0	0	53	2032602	53	1861205	53	1863091	-1863091	169511	-1886	1	14094824
130	4032788	438691573	0	0	53	2032655	53	1861258	53	1863144	-1863144	169511	-1886	1	14094824
131	4017350	442708923	0	0	53	2032708	53	1861311	53	1863197	-1863197	169511	-1886	1	14094824
132	4023046	446731969	0	0	53	2032761	53	1861364	53	1863250	-1863250	169511	-1886	1	14094824
133	4083865	450815834	0	0	53	2032814	53	1861417	53	1863303	-1863303	169511	-1886	1	14094824
134	4000288	454816122	0	0	53	2032867	53	1861470	53	1863356	-1863356	169511	-1886	1	14094824
135	4016704	458832826	0	0	53	2032920	53	1861523	53	1863409	-1863409	169511	-1886	1	14094824
136	4019174	462852000	0	0	53	2032973	53	1861576	53	1863462	-1863462	169511	-1886	1	14094824
137	4018309	466870309	0	0	53	2033026	53	1861629	53	1863515	-1863515	169511	-1886	1	14094824
138	3997945	470868254	0	0	53	2033079	53	1861682	53	1863568	-1863568	169511	-1886	1	14094824
139	3999801	474868055	0	0	53	2033132	53	1861735	53	1863621	-1863621	169511	-1886	1	14094824
140	4015778	478883833	0	0	53	2033185	53	1861788	53	1863674	-1863674	169511	-1886	1	14094824
141	3999143	482882976	0	0	53	2033238	53	1861841	53	1863727	-1863727	169511	-1886	1	14094824
142	4016813	486899789	0	0	53	2033291	53	1861894	53	1863780	-1863780	169511	-1886	1	14094824
143	4338354	491238143	0	0	53	2033344	53	1861947	53	1863833	-1863833	169511	-1886	1	14094824
144	4431881	495670024	0	0	53	2033397	53	1862000	53	1863886	-1863886	169511	-1886	1	14094824
145	3997434	499667458	0	0	53	2033450	53	1862053	53	1863939	-1863939	169511	-1886	1	14094824
146	4197415	503864873	0	0	53	2033503	53	1862106	53	1863992	-1863992	169511	-1886	1	14094824
147	4011827	507876700	0	0	53	2033556	53	1862159	53	1864045	-1864045	169511	-1886	1	14094824
148	4191207	512067907	0	0	53	2033609	53	1862212	53	1864098	-1864098	169511	-1886	1	14094824
149	4017161	516085068	0	0	53	2033662	53	1862265	53	1864151	-1864151	169511	-1886	1	14094824
150	4016254	520101322	0	0	53	2033715	53	1862318	53	1864204	-1864204	169511	-1886	1	14094824
151	4016947	524118269	0	0	53	2033768	53	1862371	53	1864257	-1864257	169511	-1886	1	14094824
152	4393412	528511681	0	0	53	2033821	53	1862424	53	1864310	-1864310	169511	-1886	1	14094824
153	4378629	532890310	0	0	53	2033874	53	1862477	53	1864363	-1864363	169511	-1886	1	14094824
154	4113166	537003476	0	0	53	2033927	53	1862530	53	1864416	-1864416	169511	-1886	1	14094824
155	4022785	541026261	0	0	53	2033980	53	1862583	53	1864469	-1864469	169511	-1886	1	14094824
156	4861113	545887374	0	0	53	2034033	53	1862636	53	1864522	-1864522	169511	-1886	1	14094824
157	3591987	549479361	0	0	53	2034086	53	1862689	53	1864575	-1864575	169511	-1886	1	14094824
158	3613730	553093091	0	0	53	2034139	53	1862742	53	1864628	-1864628	169511	-1886	1	14094824
159	5107940	558201031	0	0	20023	2054162	20036	1882778	20023	1884651	-1884651	169511	-1873	1	14374872
160	4798357	562999388	0	0	89924	2144086	86689	1969467	81612	1966263	-1966263	177823	3204	1	14897416
161	4694993	567694381	0	0	26535	2170621	26573	1996040	23712	1989975	-1989975	180646	6065	1	15046048
162	4629219	572323600	0	0	3056	2173677	3063	1999103	2770	1992745	-1992745	180932	6358	1	15066137
163	3202883	575526483	0	0	7499	2181176	7510	2006613	6860	1999605	-1999605	181571	7008	1	15111426
164	4967825	580494308	0	0	22736	2203912	18814	2025427	19197	2018802	-2018802	185110	6625	1	15228118
165	2432136	582926444	0	0	2271	2206183	2267	2027694	2105	2020907	-2020907	185276	6787	1	15239016
166	4066750	586993194	0	0	1470	2207653	1484	2029178	1360	2022267	-2022267	185386	6911	1	15245471
167	3878026	590871220	0	0	567	2208220	564	2029742	527	2022794	-2022794	185426	6948	1	15246897
168	4847170	595718390	0	0	4665	2212885	4665	2034407	4321	2027115	-2027115	185770	7292	1	15269023
169	4713986	600432376	0	0	10271	2223156	10287	2044694	8973	2036088	-2036088	187068	8606	1	15326832
170	4815637	605248013	0	0	10075	2233231	10057	2054751	8802	2044890	-2044890	188341	9861	1	15401382
171	2418637	607666650	0	0	715	2233946	704	2055455	691	2045581	-2045581	188365	9874	1	15403948
172	4795235	612461885	0	0	23647	2257593	23602	2079057	19394	2064975	-2064975	192618	14082	1	15527460
173	2440936	614902821	0	0	1876	2259469	1873	2080930	1816	2066791	-2066791	192678	14139	1	15537677
174	4728443	619631264	0	0	10988	2270457	10957	2091887	9459	2076250	-2076250	194207	15637	1	15604872
175	3885246	623516510	0	0	1496	2271953	1489	2093376	1309	2077559	-2077559	194394	15817	1	15611414
176	4690207	628206717	0	0	10677	2282630	10649	2104025	9125	2086684	-2086684	195946	17341	1	15667154
177	4629834	632836551	0	0	1491	2284121	1500	2105525	1254	2087938	-2087938	196183	17587	1	15674270
178	36583	632873134	0	0	1904	2286025	1907	2107432	1651	2089589	-2089589	196436	17843	1	15681993
179	16305	632889439	0	0	847	2286872	846	2108278	855	2090444	-2090444	196428	17834	1	15690094
180	505823	633395262	0	0	66073	2352945	66074	2174352	66111	2156555	-2156555	196390	17797	1	16162392
181	81598	633476860	0	0	795	2353740	797	2175149	790	2157345	-2157345	196395	17804	1	16165221
182	122410	633599270	0	0	2076	2355816	2075	2177224	2042	2159387	-2159387	196429	17837	1	16175681
183	20156	633619426	0	0	2406	2358222	2406	2179630	2071	2161458	-2161458	196764	18172	1	16187222
184	47983	633667409	0	0	3349	2361571	3356	2182986	3074	2164532	-2164532	197039	18454	1	16205971
185	225199	633892608	0	0	22258	2383829	22220	2205206	18249	2182781	-2182781	201048	22425	1	16334869
186	47185	633939793	0	0	2307	2386136	2311	2207517	1955	2184736	-2184736	201400	22781	1	16345270
187	125903	634065696	0	0	3044	2389180	3054	2210571	2821	2187557	-2187557	201623	23014	1	16366898
188	1368463	635434159	0	0	178821	2568001	178685	2389256	175725	2363282	-2363282	204719	25974	1	17135552
189	1271339	636705498	0	0	8194	2576195	8210	2397466	6719	2370001	-2370001	206194	27465	1	17176905
190	1113186	637818684	0	0	3363	2579558	3353	2400819	3196	2373197	-2373197	206361	27622	1	17195696
191	1204790	639023474	0	0	11645	2591203	11640	2412459	10154	2383351	-2383351	207852	29108	1	17295846
192	1195883	640219357	0	0	17358	2608561	17378	2429837	15555	2398906	-2398906	209655	30931	1	17390562
193	1151582	641370939	0	0	3763	2612324	3762	2433599	2649	2401555	-2401555	210769	32044	1	17428808
194	1091939	642462878	0	0	479	2612803	479	2434078	430	2401985	-2401985	210818	32093	1	17430006
195	534497	642997375	0	0	2323	2615126	2329	2436407	2052	2404037	-2404037	211089	32370	1	17442273
196	1141129	644138504	0	0	5492	2620618	5504	2441911	4535	2408572	-2408572	212046	33339	1	17471111
197	1142200	645280704	0	0	3999	2624617	4013	2445924	3506	2412078	-2412078	212539	33846	1	17501187
198	181083	645461787	0	0	28429	2653046	28436	2474360	24674	2436752	-2436752	216294	37608	1	17648424
199	1333429	646795216	0	0	16959	2670005	16971	2491331	13426	2450178	-2450178	219827	41153	1	17732228
200	1231351	648026567	0	0	1584	2671589	1583	2492914	1438	2451616	-2451616	219973	41298	1	17741804
201	50310	648076877	0	0	2931	2674520	2945	2495859	2522	2454138	-2454138	220382	41721	1	17753963
202	604393	648681270	0	0	2213	2676733	2213	2498072	2153	2456291	-2456291	220442	41781	1	17760416
203	1104967	649786237	0	0	942	2677675	942	2499014	873	2457164	-2457164	220511	41850	1	17763851
204	604230	650390467	0	0	1313	2678988	1316	2500330	1184	2458348	-2458348	220640	41982	1	17769148
205	84378	650474845	0	0	667	2679655	666	2500996	636	2458984	-2458984	220671	42012	1	17771949
206	1170847	651645692	0	0	7144	2686799	7143	2508139	5762	2464746	-2464746	222053	43393	1	17825339
207	534659	652180351	0	0	3485	2690284	3486	2511625	2677	2467423	-2467423	222861	44202	1	17844700
208	36245	652216596	0	0	676	2690960	675	2512300	644	2468067	-2468067	222893	44233	1	17847175
209	168947	652385543	0	0	16241	2707201	16243	2528543	12647	2480714	-2480714	226487	47829	1	17938793
210	2614144	654999687	0	0	39608	2746809	39643	2568186	32718	2513432	-2513432	233377	54754	1	18314622
211	1295081	656294768	0	0	13412	2760221	13420	2581606	12123	2525555	-2525555	234666	56051	1	18406350
212	27841	656322609	0	0	669	2760890	674	2582280	592	2526147	-2526147	234743	56133	1	18408815
213	1714703	658037312	0	0	944	2761834	945	2583225	923	2527070	-2527070	234764	56155	1	18414900
214	1622074	659659386	0	0	1829	2763663	1829	2585054	1693	2528763	-2528763	234900	56291	1	18423132
215	1027004	660686390	0	0	610	2764273	607	2585661	550	2529313	-2529313	234960	56348	1	18425150
216	3914453	664600843	0	0	2028	2766301	2029	2587690	1733	2531046	-2531046	235255	56644	1	18433468
217	4798357	669399200	0	0	53	2766354	53	2587743	53	2531099	-2531099	235255	56644	1	18433468
218	4694993	674094193	0	0	53	2766407	53	2587796	53	2531152	-2531152	235255	56644	1	18433468
219	4629219	678723412	0	0	53	2766460	53	2587849	53	2531205	-2531205	235255	56644	1	18433468
220	3202883	681926295	0	0	53	2766513	53	2587902	53	2531258	-2531258	235255	56644	1	18433468
221	4967979	686894274	0	0	1054	2767567	1056	2588958	1045	2532303	-2532303	235264	56655	1	18444953
222	2432136	689326410	0	0	53	2767620	53	2589011	53	2532356	-2532356	235264	56655	1	18444953
223	4066750	693393160	0	0	53	2767673	53	2589064	53	2532409	-2532409	235264	56655	1	18444953
224	3878026	697271186	0	0	53	2767726	53	2589117	53	2532462	-2532462	235264	56655	1	18444953
225	4847170	702118356	0	0	53	2767779	53	2589170	53	2532515	-2532515	235264	56655	1	18444953
226	4713986	706832342	0	0	53	2767832	53	2589223	53	2532568	-2532568	235264	56655	1	18444953
227	4815637	711647979	0	0	53	2767885	53	2589276	53	2532621	-2532621	235264	56655	1	18444953
228	2418637	714066616	0	0	53	2767938	53	2589329	53	2532674	-2532674	235264	56655	1	18444953
229	4795235	718861851	0	0	53	2767991	53	2589382	53	2532727	-2532727	235264	56655	1	18444953
230	2440936	721302787	0	0	53	2768044	53	2589435	53	2532780	-2532780	235264	56655	1	18444953
231	4728443	726031230	0	0	53	2768097	53	2589488	53	2532833	-2532833	235264	56655	1	18444953
232	3885246	729916476	0	0	53	2768150	53	2589541	53	2532886	-2532886	235264	56655	1	18444953
233	4690207	734606683	0	0	53	2768203	53	2589594	53	2532939	-2532939	235264	56655	1	18444953
234	4629834	739236517	0	0	53	2768256	53	2589647	53	2532992	-2532992	235264	56655	1	18444953
235	36583	739273100	0	0	53	2768309	53	2589700	53	2533045	-2533045	235264	56655	1	18444953
236	16305	739289405	0	0	52	2768361	52	2589752	52	2533097	-2533097	235264	56655	1	18444953
237	505823	739795228	0	0	53	2768414	53	2589805	53	2533150	-2533150	235264	56655	1	18444953
238	81598	739876826	0	0	53	2768467	53	2589858	53	2533203	-2533203	235264	56655	1	18444953
239	122410	739999236	0	0	53	2768520	53	2589911	53	2533256	-2533256	235264	56655	1	18444953
240	20156	740019392	0	0	52	2768572	52	2589963	52	2533308	-2533308	235264	56655	1	18444953
241	47983	740067375	0	0	53	2768625	53	2590016	53	2533361	-2533361	235264	56655	1	18444953
242	225199	740292574	0	0	53	2768678	53	2590069	53	2533414	-2533414	235264	56655	1	18444953
243	47185	740339759	0	0	53	2768731	53	2590122	53	2533467	-2533467	235264	56655	1	18444953
244	125903	740465662	0	0	53	2768784	53	2590175	53	2533520	-2533520	235264	56655	1	18444953
245	1368463	741834125	0	0	53	2768837	53	2590228	53	2533573	-2533573	235264	56655	1	18444953
246	1271339	743105464	0	0	53	2768890	53	2590281	53	2533626	-2533626	235264	56655	1	18444953
247	1113186	744218650	0	0	53	2768943	53	2590334	53	2533679	-2533679	235264	56655	1	18444953
248	1204790	745423440	0	0	53	2768996	53	2590387	53	2533732	-2533732	235264	56655	1	18444953
249	1195883	746619323	0	0	53	2769049	53	2590440	53	2533785	-2533785	235264	56655	1	18444953
250	1151582	747770905	0	0	53	2769102	53	2590493	53	2533838	-2533838	235264	56655	1	18444953
251	1091939	748862844	0	0	53	2769155	53	2590546	53	2533891	-2533891	235264	56655	1	18444953
252	534497	749397341	0	0	53	2769208	53	2590599	53	2533944	-2533944	235264	56655	1	18444953
253	1141129	750538470	0	0	53	2769261	53	2590652	53	2533997	-2533997	235264	56655	1	18444953
254	1142200	751680670	0	0	53	2769314	53	2590705	53	2534050	-2534050	235264	56655	1	18444953
255	181083	751861753	0	0	53	2769367	53	2590758	53	2534103	-2534103	235264	56655	1	18444953
256	1333429	753195182	0	0	53	2769420	53	2590811	53	2534156	-2534156	235264	56655	1	18444953
257	1231351	754426533	0	0	53	2769473	53	2590864	53	2534209	-2534209	235264	56655	1	18444953
258	50310	754476843	0	0	53	2769526	53	2590917	53	2534262	-2534262	235264	56655	1	18444953
259	604393	755081236	0	0	53	2769579	53	2590970	53	2534315	-2534315	235264	56655	1	18444953
260	1104967	756186203	0	0	53	2769632	53	2591023	53	2534368	-2534368	235264	56655	1	18444953
261	604230	756790433	0	0	53	2769685	53	2591076	53	2534421	-2534421	235264	56655	1	18444953
262	84378	756874811	0	0	53	2769738	53	2591129	53	2534474	-2534474	235264	56655	1	18444953
263	1170847	758045658	0	0	53	2769791	53	2591182	53	2534527	-2534527	235264	56655	1	18444953
264	534659	758580317	0	0	53	2769844	53	2591235	53	2534580	-2534580	235264	56655	1	18444953
265	36245	758616562	0	0	53	2769897	53	2591288	53	2534633	-2534633	235264	56655	1	18444953
266	168947	758785509	0	0	53	2769950	53	2591341	53	2534686	-2534686	235264	56655	1	18444953
267	2614144	761399653	0	0	53	2770003	53	2591394	53	2534739	-2534739	235264	56655	1	18444953
268	1295081	762694734	0	0	53	2770056	53	2591447	53	2534792	-2534792	235264	56655	1	18444953
269	27841	762722575	0	0	52	2770108	52	2591499	52	2534844	-2534844	235264	56655	1	18444953
270	1714703	764437278	0	0	53	2770161	53	2591552	53	2534897	-2534897	235264	56655	1	18444953
271	1622074	766059352	0	0	53	2770214	53	2591605	53	2534950	-2534950	235264	56655	1	18444953
272	1027004	767086356	0	0	53	2770267	53	2591658	53	2535003	-2535003	235264	56655	1	18444953
273	3914453	771000809	0	0	53	2770320	53	2591711	53	2535056	-2535056	235264	56655	1	18444953
274	4814982	775815791	0	0	5096	2775416	5096	2596807	4262	2539318	-2539318	236098	57489	1	18471230
275	4763034	780578825	0	0	9750	2785166	9713	2606520	8283	2547601	-2547601	237565	58919	1	18532466
276	4744274	785323099	0	0	17191	2802357	17173	2623693	14974	2562575	-2562575	239782	61118	1	18633358
277	4618388	789941487	0	0	10532	2812889	10513	2634206	8340	2570915	-2570915	241974	63291	1	18696496
278	4547253	794488740	0	0	9277	2822166	9281	2643487	7673	2578588	-2578588	243578	64899	1	18755928
279	4171832	798660572	0	0	4670	2826836	4668	2648155	4364	2582952	-2582952	243884	65203	1	18781060
280	4171832	802832404	0	0	53	2826889	53	2648208	53	2583005	-2583005	243884	65203	1	18781060
281	3984847	806817251	0	0	9537	2836426	9349	2657557	8981	2591986	-2591986	244440	65571	1	18843165
282	10085962	816903213	0	0	351152	3187578	351146	3008703	350188	2942174	-2942174	245404	66529	1	24482159
283	3669583	820572796	0	0	5365	3192943	5368	3014071	5816	2947990	-2947990	244953	66081	1	24507872
284	135040	820707836	0	0	2611	3195554	2582	3016653	2432	2950422	-2950422	245132	66231	1	24524925
285	681479	821389315	0	0	7967	3203521	6093	3022746	8033	2958455	-2958455	245066	64291	1	24557141
