tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
182	122410	633599270	0	0	2076	2355816	2213	2401128	-2401128	-45312	1	16175681
183	20156	633619426	0	0	2406	2358222	2484	2403612	-2403612	-45390	1	16187222
184	47983	633667409	0	0	3349	2361571	3670	2407282	-2407282	-45711	1	16205971
185	225199	633892608	0	0	22258	2383829	22399	2429681	-2429681	-45852	1	16334869
186	47185	633939793	0	0	2307	2386136	2527	2432208	-2432208	-46072	1	16345270
187	125903	634065696	0	0	3044	2389180	3001	2435209	-2435209	-46029	1	16366898
188	1368463	635434159	0	0	178821	2568001	181065	2616274	-2616274	-48273	1	17135552
189	1271339	636705498	0	0	8194	2576195	8834	2625108	-2625108	-48913	1	17176905
190	1113186	637818684	0	0	3363	2579558	3639	2628747	-2628747	-49189	1	17195696
191	1204790	639023474	0	0	11645	2591203	11432	2640179	-2640179	-48976	1	17295846
192	1195883	640219357	0	0	17358	2608561	17826	2658005	-2658005	-49444	1	17390562
193	1151582	641370939	0	0	3763	2612324	3635	2661640	-2661640	-49316	1	17428808
194	1091939	642462878	0	0	479	2612803	454	2662094	-2662094	-49291	1	17430006
195	534497	642997375	0	0	2323	2615126	2398	2664492	-2664492	-49366	1	17442273
196	1141129	644138504	0	0	5492	2620618	5839	2670331	-2670331	-49713	1	17471111
197	1142200	645280704	0	0	3999	2624617	4225	2674556	-2674556	-49939	1	17501187
198	181083	645461787	0	0	28429	2653046	24735	2699291	-2699291	-46245	1	17648424
199	1333429	646795216	0	0	16959	2670005	17107	2716398	-2716398	-46393	1	17732228
200	1231351	648026567	0	0	1584	2671589	1551	2717949	-2717949	-46360	1	17741804
201	50310	648076877	0	0	2931	2674520	3182	2721131	-2721131	-46611	1	17753963
202	604393	648681270	0	0	2213	2676733	2182	2723313	-2723313	-46580	1	17760416
203	1104967	649786237	0	0	942	2677675	1030	2724343	-2724343	-46668	1	17763851
204	604230	650390467	0	0	1313	2678988	1514	2725857	-2725857	-46869	1	17769148
205	84378	650474845	0	0	667	2679655	688	2726545	-2726545	-46890	1	17771949
206	1170847	651645692	0	0	7144	2686799	6935	2733480	-2733480	-46681	1	17825339
207	534659	652180351	0	0	3485	2690284	3647	2737127	-2737127	-46843	1	17844700
208	36245	652216596	0	0	676	2690960	815	2737942	-2737942	-46982	1	17847175
209	168947	652385543	0	0	16241	2707201	17929	2755871	-2755871	-48670	1	17938793
210	2614144	654999687	0	0	39608	2746809	33545	2789416	-2789416	-42607	1	18314622
211	1295081	656294768	0	0	13412	2760221	14194	2803610	-2803610	-43389	1	18406350
212	27841	656322609	0	0	669	2760890	683	2804293	-2804293	-43403	1	18408815
213	1714703	658037312	0	0	944	2761834	943	2805236	-2805236	-43402	1	18414900
214	1622074	659659386	0	0	1829	2763663	1814	2807050	-2807050	-43387	1	18423132
215	1027004	660686390	0	0	610	2764273	572	2807622	-2807622	-43349	1	18425150
216	3914453	664600843	0	0	2028	2766301	1972	2809594	-2809594	-43293	1	18433468
217	4798357	669399200	0	0	53	2766354	53	2809647	-2809647	-43293	1	18433468
218	4694993	674094193	0	0	53	2766407	53	2809700	-2809700	-43293	1	18433468
219	4629219	678723412	0	0	53	2766460	53	2809753	-2809753	-43293	1	18433468
220	3202883	681926295	0	0	53	2766513	53	2809806	-2809806	-43293	1	18433468
221	4967979	686894274	0	0	1054	2767567	1045	2810851	-2810851	-43284	1	18444953
222	2432136	689326410	0	0	53	2767620	53	2810904	-2810904	-43284	1	18444953
223	4066750	693393160	0	0	53	2767673	53	2810957	-2810957	-43284	1	18444953
224	3878026	697271186	0	0	53	2767726	53	2811010	-2811010	-43284	1	18444953
225	4847170	702118356	0	0	53	2767779	53	2811063	-2811063	-43284	1	18444953
226	4713986	706832342	0	0	53	2767832	53	2811116	-2811116	-43284	1	18444953
227	4815637	711647979	0	0	53	2767885	53	2811169	-2811169	-43284	1	18444953
228	2418637	714066616	0	0	53	2767938	53	2811222	-2811222	-43284	1	18444953
229	4795235	718861851	0	0	53	2767991	53	2811275	-2811275	-43284	1	18444953
230	2440936	721302787	0	0	53	2768044	53	2811328	-2811328	-43284	1	18444953
231	4728443	726031230	0	0	53	2768097	53	2811381	-2811381	-43284	1	18444953
232	3885246	729916476	0	0	53	2768150	53	2811434	-2811434	-43284	1	18444953
233	4690207	734606683	0	0	53	2768203	53	2811487	-2811487	-43284	1	18444953
234	4629834	739236517	0	0	53	2768256	53	2811540	-2811540	-43284	1	18444953
235	36583	739273100	0	0	53	2768309	53	2811593	-2811593	-43284	1	18444953
236	16305	739289405	0	0	52	2768361	52	2811645	-2811645	-43284	1	18444953
237	505823	739795228	0	0	53	2768414	53	2811698	-2811698	-43284	1	18444953
238	81598	739876826	0	0	53	2768467	53	2811751	-2811751	-43284	1	18444953
239	122410	739999236	0	0	53	2768520	53	2811804	-2811804	-43284	1	18444953
240	20156	740019392	0	0	52	2768572	52	2811856	-2811856	-43284	1	18444953
241	47983	740067375	0	0	53	2768625	53	2811909	-2811909	-43284	1	18444953
242	225199	740292574	0	0	53	2768678	53	2811962	-2811962	-43284	1	18444953
243	47185	740339759	0	0	53	2768731	53	2812015	-2812015	-43284	1	18444953
244	125903	740465662	0	0	53	2768784	53	2812068	-2812068	-43284	1	18444953
245	1368463	741834125	0	0	53	2768837	53	2812121	-2812121	-43284	1	18444953
246	1271339	743105464	0	0	53	2768890	53	2812174	-2812174	-43284	1	18444953
247	1113186	744218650	0	0	53	2768943	53	2812227	-2812227	-43284	1	18444953
248	1204790	745423440	0	0	53	2768996	53	2812280	-2812280	-43284	1	18444953
249	1195883	746619323	0	0	53	2769049	53	2812333	-2812333	-43284	1	18444953
250	1151582	747770905	0	0	53	2769102	53	2812386	-2812386	-43284	1	18444953
251	1091939	748862844	0	0	53	2769155	53	2812439	-2812439	-43284	1	18444953
252	534497	749397341	0	0	53	2769208	53	2812492	-2812492	-43284	1	18444953
253	1141129	750538470	0	0	53	2769261	53	2812545	-2812545	-43284	1	18444953
254	1142200	751680670	0	0	53	2769314	53	2812598	-2812598	-43284	1	18444953
255	181083	751861753	0	0	53	2769367	53	2812651	-2812651	-43284	1	18444953
256	1333429	753195182	0	0	53	2769420	53	2812704	-2812704	-43284	1	18444953
257	1231351	754426533	0	0	53	2769473	53	2812757	-2812757	-43284	1	18444953
258	50310	754476843	0	0	53	2769526	53	2812810	-2812810	-43284	1	18444953
259	604393	755081236	0	0	53	2769579	53	2812863	-2812863	-43284	1	18444953
260	1104967	756186203	0	0	53	2769632	53	2812916	-2812916	-43284	1	18444953
261	604230	756790433	0	0	53	2769685	53	2812969	-2812969	-43284	1	18444953
262	84378	756874811	0	0	53	2769738	53	2813022	-2813022	-43284	1	18444953
263	1170847	758045658	0	0	53	2769791	53	2813075	-2813075	-43284	1	18444953
264	534659	758580317	0	0	53	2769844	53	2813128	-2813128	-43284	1	18444953
265	36245	758616562	0	0	53	2769897	53	2813181	-2813181	-43284	1	18444953
266	168947	758785509	0	0	53	2769950	53	2813234	-2813234	-43284	1	18444953
267	2614144	761399653	0	0	53	2770003	53	2813287	-2813287	-43284	1	18444953
268	1295081	762694734	0	0	53	2770056	53	2813340	-2813340	-43284	1	18444953
269	27841	762722575	0	0	52	2770108	52	2813392	-2813392	-43284	1	18444953
270	1714703	764437278	0	0	53	2770161	53	2813445	-2813445	-43284	1	18444953
271	1622074	766059352	0	0	53	2770214	53	2813498	-2813498	-43284	1	18444953
272	1027004	767086356	0	0	53	2770267	53	2813551	-2813551	-43284	1	18444953
273	3914453	771000809	0	0	53	2770320	53	2813604	-2813604	-43284	1	18444953
274	4814982	775815791	0	0	5096	2775416	4787	2818391	-2818391	-42975	1	18471230
275	4763034	780578825	0	0	9750	2785166	9230	2827621	-2827621	-42455	1	18532466
