tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
100	8520550	677703715	0	0	90286	4791608	89836	4869380	-4869380	-77772	1	53939447
101	7219473	684923188	0	0	15875	4807483	16074	4885454	-4885454	-77971	1	54137089
102	7225534	692148722	0	0	15209	4822692	15482	4900936	-4900936	-78244	1	54342071
103	7272422	699421144	0	0	21460	4844152	21735	4922671	-4922671	-78519	1	54583974
104	3162353	702583497	0	0	1734	4845886	1785	4924456	-4924456	-78570	1	54596861
105	7083227	709666724	0	0	7666	4853552	7688	4932144	-4932144	-78592	1	54674422
106	6867150	716533874	0	0	20731	4874283	20938	4953082	-4953082	-78799	1	54940916
107	23812	716557686	0	0	221	4874504	221	4953303	-4953303	-78799	1	54941498
108	5780207	722337893	0	0	14442	4888946	14899	4968202	-4968202	-79256	1	55118113
109	6201776	728539669	0	0	3919	4892865	4069	4972271	-4972271	-79406	1	55154644
110	8166327	736705996	0	0	92884	4985749	94202	5066473	-5066473	-80724	1	56168479
111	3010084	739716080	0	0	1212	4986961	1309	5067782	-5067782	-80821	1	56176040
112	7855367	747571447	0	0	48261	5035222	47338	5115120	-5115120	-79898	1	56920818
113	3435801	751007248	0	0	1966	5037188	2060	5117180	-5117180	-79992	1	56934805
114	8448040	759455288	0	0	83422	5120610	82672	5199852	-5199852	-79242	1	58181779
115	8855095	768310383	0	0	129010	5249620	129198	5329050	-5329050	-79430	1	59831985
116	4440379	772750762	0	0	9542	5259162	9997	5339047	-5339047	-79885	1	59939722
117	7177228	779927990	0	0	13944	5273106	14215	5353262	-5353262	-80156	1	60092545
118	6305282	786233272	0	0	9119	5282225	9061	5362323	-5362323	-80098	1	60220689
119	3186760	789420032	0	0	2379	5284604	2651	5364974	-5364974	-80370	1	60236095
120	5543951	794963983	0	0	6363	5290967	6753	5371727	-5371727	-80760	1	60307971
