logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
52	52	4	3579788	10572	4632093	186725765	7868989	7833	99	2616	24	0	1	74	7751	724	887	986	1	1	45
53	53	5	4934852	97524	12151072	191660617	7966513	9754	654	87092	24	0	1	446	9299	814	16058	70200	1	1	360
54	54	6	2822997	89739	9356926	194483614	8056252	6985	1182	81548	24	0	1	108	6869	717	20810	60000	1	1	688
55	55	7	3679603	32783	6058691	198163217	8089035	4697	494	27568	24	0	1	150	4538	504	5998	21046	1	1	266
56	56	0	4156384	66301	7398059	202319601	8155336	8911	606	56760	24	0	1	227	8675	434	11302	45004	1	1	332
57	57	1	3892276	43778	7194979	206211877	8199114	8853	333	34568	24	0	1	188	8656	414	6890	27244	1	1	161
58	58	2	4122406	17562	4436383	210334283	8216676	9460	123	7955	24	0	1	146	9305	440	1589	5907	1	1	57
59	59	3	2236738	3083	2563437	212571021	8219759	1447	37	1575	24	0	1	51	1388	441	221	894	1	1	14
60	60	4	2919850	15293	4199223	215490871	8235052	7103	152	8014	24	0	1	80	7015	465	1762	5768	1	1	71
61	61	5	3337365	14184	4118414	218828236	8249236	8113	158	5889	24	0	1	42	8063	372	1586	3912	1	1	74
62	62	6	3393617	46245	6610530	222221853	8295481	8328	673	37220	24	0	1	485	7834	330	10963	25907	1	1	377
63	63	7	4192631	33459	7214099	226414484	8328940	8994	337	24104	24	0	1	322	8663	354	4988	18742	1	1	167
64	64	0	4091388	28765	6040800	230505872	8357705	3868	280	24593	24	0	1	146	3713	384	3908	20281	1	1	135
65	65	1	4506253	36279	7313138	235012125	8393984	7780	299	28176	24	0	1	145	7626	336	4964	22856	1	1	150
66	66	2	3238369	10732	4572953	238250494	8404716	7506	166	3036	24	0	1	178	7319	321	1012	1684	1	1	78
67	67	3	4715745	123522	19643110	242966239	8528238	6642	1034	115822	24	0	1	296	6337	300	20056	95445	1	1	589
68	68	4	3527210	32890	5602142	246493449	8561128	8826	328	23712	24	0	1	234	8583	324	4532	18836	1	1	159
69	69	5	4179925	68670	11810232	250673374	8629798	9966	738	57942	24	0	1	249	9708	345	13887	43690	1	1	409
70	70	6	4390269	46070	13931760	255063643	8675868	10151	717	35178	24	0	1	442	9700	378	9143	25637	1	1	397
71	71	7	3612747	14950	5615751	258676390	8690818	9017	113	5796	24	0	1	120	8889	333	1393	4051	1	1	52
72	72	0	3544789	19711	5511092	262221179	8710529	8226	198	11263	24	0	1	157	8060	334	2517	8393	1	1	94
73	73	1	4062778	9463	5342812	266283957	8719992	6421	97	2921	24	0	1	88	6325	350	957	1595	1	1	44
74	74	2	3342950	4953	4597323	269626907	8724945	2453	57	2419	24	0	1	57	2388	355	652	1393	1	1	24
