logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	839260	146049	23537609	839260	146049	2378	2317	141304	24	26	1	2352	18	1746	33522	106017	1	1	1420
1	1	0	5434195	725289	46976578	6273455	871338	9843	7323	708099	24	0	1	7476	2358	6468	133485	567984	46	97	4122
2	2	0	5434195	10299	5211393	11707650	881637	10247	9	19	24	0	1	2	10237	1	1	1	1	1	0
3	3	0	4094994	35351	5807560	15802644	916988	9386	349	25592	24	0	1	656	8721	254	12212	13107	1	1	199
4	4	0	4089591	9303	4121146	19892235	926291	8941	19	319	24	0	1	18	8915	83	81	138	1	1	5
5	5	0	3444471	32853	5621991	23336706	959144	7177	375	25277	24	0	1	664	6504	337	9652	15269	1	1	217
6	6	0	3790236	36197	6856666	27126942	995341	7616	254	28303	24	0	1	347	7260	437	7605	20241	1	1	134
7	7	0	4336012	95062	11573341	31462954	1090403	8893	968	85177	24	0	1	1187	7697	871	18609	65676	1	1	612
8	8	0	3546232	17032	5252591	35009186	1107435	7324	131	9553	24	0	1	220	7095	259	1761	7514	1	1	68
9	9	0	3274307	9675	4580245	38283493	1117110	6827	81	2743	24	0	1	90	6729	220	718	1786	1	1	36
10	10	0	3879853	941	5124942	42163346	1118051	36	31	850	24	0	1	28	1	117	200	515	1	1	11
11	11	0	4098549	25318	6639597	46261895	1143369	166	113	25015	24	0	1	146	12	201	1814	22980	1	1	58
12	12	0	3449557	13824	5251212	49711452	1157193	7182	133	6485	24	0	1	270	6903	128	2213	4125	1	1	65
13	13	0	3879853	8988	4556624	53591305	1166181	8936	9	19	24	0	1	3	8925	1	1	1	1	1	0
14	14	0	4098549	9117	5468521	57689854	1175298	9065	9	19	24	0	1	3	9054	1	1	1	1	1	0
15	15	0	3449557	7097	4733674	61139411	1182395	7045	9	19	24	0	1	3	7034	1	1	1	1	1	0
16	16	0	3400600	5941	4725264	64540011	1188336	1280	77	4560	24	0	1	93	1179	202	1066	3273	1	1	34
17	17	0	3320861	1934	3866746	67860872	1190270	53	27	1830	24	0	1	28	18	117	373	1322	1	1	9
18	18	0	3210935	2145	4662174	71071807	1192415	77	33	2011	24	0	1	40	30	124	387	1482	1	1	12
19	19	0	3863336	32319	8368782	74935143	1224734	935	281	31079	24	0	1	355	571	311	8494	22254	1	1	155
20	20	0	4164315	56716	9796237	79099458	1281450	2087	602	54003	24	0	1	765	1313	1172	11252	41503	51	7	384
21	21	0	3207457	1774	4550544	82306915	1283224	48	43	1659	24	0	1	40	1	117	486	1038	1	1	17
22	22	0	4213723	18279	6792427	86520638	1301503	2644	165	15446	24	0	1	281	2354	384	3148	11895	1	1	89
23	23	0	4090556	43215	8485411	90611194	1344718	1472	349	41370	24	0	1	446	1017	590	7802	32958	1	1	192
24	24	0	3445172	8992	5629461	94056366	1353710	315	132	8521	24	0	1	184	123	247	1848	6407	1	1	69
25	25	0	3612425	23820	6697807	97668791	1377530	6808	168	16820	24	0	1	311	6488	115	8248	8439	1	1	84
26	26	0	3327247	2237	4918323	100996038	1379767	36	27	2150	24	0	1	28	1	122	654	1356	1	1	9
27	27	0	3674163	3679	4934053	104670201	1383446	861	61	2733	24	0	1	78	775	153	676	1885	1	1	26
28	28	0	3616621	34906	7248855	108286822	1418352	729	379	33774	24	0	1	449	271	513	7282	25959	1	1	216
29	29	0	3479243	10880	4848984	111766065	1429232	6950	63	3843	24	0	1	107	6835	178	809	2837	1	1	27
30	30	0	3395484	3659	4872843	115161549	1432891	469	77	3089	24	0	1	114	347	196	712	2162	1	1	34
31	31	0	1859816	14684	3461249	117021365	1447575	4107	37	10516	24	0	1	54	4045	115	1229	9154	1	1	14
32	32	0	1698503	9092	3207708	118719868	1456667	3863	127	5078	24	0	1	203	3651	103	1545	3412	1	1	64
33	33	0	1521191	2069	2873211	120241059	1458736	44	23	1978	24	0	1	36	1	84	403	1473	1	1	7
34	34	0	3697406	464684	73992415	123938465	1923420	152	17	464491	24	0	1	16	128	87	472	2617	375	460921	4
35	35	0	2046643	7880	3192759	125985108	1931300	4570	35	3251	24	0	1	52	4510	101	399	2733	1	1	13
