logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	7069925	1091120	94524975	7069925	1091120	18196	18034	1054840	24	26	1	18080	107	6571	235375	812875	1	1	9075
1	1	0	4103275	21514	5434971	11173200	1112634	8649	968	11873	24	0	1	1599	7041	143	8180	3531	1	1	616
2	2	0	7176133	41133	16719273	18349333	1153767	19156	1720	20233	24	0	1	2452	16694	173	12006	8035	1	1	1070
3	3	0	6224340	28210	8024282	24573673	1181977	14177	913	13096	24	0	1	1603	12565	65	10366	2647	1	1	585
4	4	0	8166516	119763	24535385	32740189	1301740	31617	11907	76215	24	0	1	15352	16256	185	38798	37211	1	1	6151
5	5	0	6348398	27372	8570630	39088587	1329112	15046	2139	10163	24	0	1	2518	12519	113	6011	4021	1	1	1101
6	6	0	7789896	99327	16180674	46878483	1428439	24634	7438	67231	24	0	1	7893	16731	390	25706	41114	1	1	3684
7	7	0	3233616	11127	4648814	50112099	1439566	6622	745	3736	24	0	1	938	5675	76	1935	1707	1	1	386
8	8	0	5851842	25973	7995993	55963941	1465539	11835	1801	12313	24	0	1	2052	9774	116	6257	5922	1	1	938
9	9	0	6238873	21521	8081682	62202814	1487060	12868	1094	7535	24	0	1	1301	11558	121	3363	4032	1	1	572
10	10	0	3218884	9641	4171685	65421698	1496701	6289	597	2731	24	0	1	667	5613	75	1687	950	1	1	301
11	11	0	6381050	31078	10032855	71802748	1527779	13432	2582	15040	24	0	1	2848	10575	86	7943	6992	1	1	1332
12	12	0	5611209	17193	7823903	77413957	1544972	10519	1122	5528	24	0	1	1243	9267	76	2902	2531	1	1	580
13	13	0	7574081	57117	13152785	84988038	1602089	22593	6147	28353	24	0	1	7642	14942	149	16181	12003	1	1	3069
14	14	0	7652092	81595	13810893	92640130	1683684	17011	4956	59604	24	0	1	5782	11220	437	19246	39899	1	1	2488
15	15	0	24011	1055	779197	92664141	1684739	209	66	756	24	0	1	92	110	84	563	91	1	1	19
16	16	0	24039	585	747558	92688180	1685324	272	27	262	24	0	1	22	242	84	77	84	1	1	6
17	17	0	6349276	26881	9224908	99037456	1712205	15072	2300	9485	24	0	1	2625	12438	81	5440	3945	1	1	1126
18	18	0	6803954	28723	7691553	105841410	1740928	16459	1010	11230	24	0	1	1274	15176	137	4828	6245	1	1	525
19	19	0	7471485	49759	11623810	113312895	1790687	21453	3390	24892	24	0	1	3530	17913	88	10424	14361	1	1	1731
20	20	0	23828	308	406128	113336723	1790995	33	30	221	24	0	1	25	1	60	69	75	1	1	7
21	21	0	3789287	19459	6658657	117126010	1810454	9162	2234	8039	24	0	1	2309	6844	79	4618	3323	1	1	1156
22	22	0	6342375	28968	9299438	123468385	1839422	13993	1600	13351	24	0	1	1778	12206	129	4932	8270	1	1	833
23	23	0	6258057	35533	9841106	129726442	1874955	12215	4365	18929	24	0	1	4553	7653	92	9987	8831	1	1	2202
24	24	0	3474858	18060	6276209	133201300	1893015	7272	1905	8859	24	0	1	2064	5199	112	4648	4080	1	1	992
25	25	0	7039799	29865	9230929	140241099	1922880	17136	1411	11294	24	0	1	1687	15440	140	4807	6327	1	1	733
26	26	0	3303754	7397	4580404	143544853	1930277	5593	219	1561	24	0	1	275	5309	84	640	818	1	1	95
27	27	0	3072809	9312	4202635	146617662	1939589	6063	724	2501	24	0	1	776	5278	83	1421	978	1	1	373
28	28	0	7792239	76716	14834938	154409901	2016305	26073	9506	41113	24	0	1	9672	16391	100	21548	19444	1	1	4657
29	29	0	6254866	20412	7445085	160664767	2036717	14070	1290	5028	24	0	1	1459	12602	65	3134	1810	1	1	674
30	30	0	6287332	21896	8058732	166952099	2058613	13525	1491	6856	24	0	1	1571	11945	88	3717	3032	1	1	777
31	31	0	4536210	20901	6658567	171488309	2079514	8446	2059	10372	24	0	1	2165	6272	85	4569	5699	1	1	1065
32	32	0	8107854	99900	16598283	179596163	2179414	33380	13842	52654	24	0	1	16342	17028	86	27639	24908	1	1	6608
33	33	0	7076256	32625	8507180	186672419	2212039	18533	2619	11449	24	0	1	3090	15434	66	6112	5252	1	1	1346
34	34	0	5487586	11050	7036516	192160005	2223089	7349	475	3202	24	0	1	655	6685	101	1577	1505	1	1	233
35	35	0	7389537	62026	12736607	199549542	2285115	18924	7858	35220	24	0	1	8142	10773	77	17987	17135	1	1	3884
36	36	0	7130980	30036	10032625	206680522	2315151	15017	1572	13423	24	0	1	1722	13286	121	5319	7964	1	1	821
37	37	0	7325119	47053	11288411	214005641	2362204	17375	3663	25991	24	0	1	3762	13604	76	10385	15511	1	1	1861
38	38	0	8429800	124529	19773112	222435441	2486733	39787	20456	64262	24	0	1	26340	13437	116	35566	28559	1	1	9448
39	39	0	8200336	91841	16904912	230635777	2578574	29378	13494	48945	24	0	1	16442	12926	111	27894	20919	1	1	6519
40	40	0	5437100	14876	7591214	236072877	2593450	9283	660	4909	24	0	1	718	8556	100	2181	2575	30	6	342
41	41	0	6260569	23130	8051953	242333446	2616580	13720	1192	8194	24	0	1	1345	12366	90	3394	4691	1	1	624
42	42	0	6811262	50396	12138978	249144708	2666976	19634	6633	24105	24	0	1	6661	12964	117	14023	9946	1	1	3129
43	43	0	7622579	65618	12257998	256767287	2732594	20104	6871	38619	24	0	1	6911	13184	101	18112	20385	1	1	3418
44	44	0	6603791	43804	10498194	263371078	2776398	12658	5004	26118	24	0	1	5028	7621	115	11072	14912	1	1	2511
45	45	0	5641210	21079	7916433	269012288	2797477	6384	490	14181	24	0	1	606	5769	133	3519	10509	1	1	240
46	46	0	7504302	53563	12496257	276516590	2851040	23303	5838	24398	24	0	1	6091	17202	63	14094	10222	1	1	2918
47	47	0	3837985	11656	5057263	280354575	2862696	6962	573	4097	24	0	1	619	6334	81	1477	2444	38	40	291
48	48	0	6818735	28122	8820129	287173310	2890818	15611	2238	10249	24	0	1	2473	13129	83	5194	4953	1	1	1157
49	49	0	7176383	29239	10082606	294349693	2920057	19165	2065	7985	24	0	1	2150	17005	127	4240	3599	1	1	1067
50	50	0	23896	254	680198	294373589	2920311	30	27	173	24	0	1	22	1	78	77	1	1	1	6
51	51	0	7933729	79986	14762529	302307318	3000297	27621	10953	41388	24	0	1	13062	14550	285	21602	19479	1	1	5049
52	52	0	6545807	23912	8469711	308853125	3024209	13594	1464	8830	24	0	1	1582	12003	85	4633	4093	1	1	761
53	53	0	9246475	182458	26121990	318099600	3206667	54553	30027	97854	24	0	1	36588	17954	85	56445	41303	1	1	13994
54	54	0	7889281	76499	15000719	325988881	3283166	25976	10901	39598	24	0	1	12761	13206	137	22179	17260	1	1	5295
55	55	0	7291990	36598	10874122	333280871	3319764	20291	3415	12868	24	0	1	3499	16782	75	7499	5275	1	1	1745
56	56	0	7018789	19207	8486811	340299660	3338971	17245	308	1630	24	0	1	323	16912	75	886	650	1	1	133
57	57	0	7675843	57392	13184775	347975503	3396363	21255	7221	28892	24	0	1	7584	13662	99	16045	12729	1	1	3579
58	58	0	7893651	74980	16957622	355869154	3471343	24830	10383	39743	24	0	1	12089	12732	94	21517	18111	1	1	5063
59	59	0	7760129	62177	16386944	363629283	3533520	22200	7275	32678	24	0	1	7478	14713	89	17371	15198	1	1	3566
60	60	0	8829865	129911	19465473	372459148	3663431	44023	19658	66206	24	0	1	25612	18400	68	37560	28557	1	1	9433
61	61	0	7029464	20341	7842693	379488612	3683772	17388	458	2471	24	0	1	483	16895	60	1251	1141	1	1	222
62	62	0	7310945	40601	12030258	386799557	3724373	16548	3384	20645	24	0	1	3444	13095	91	9257	11278	1	1	1731
63	63	0	7311242	22208	11770030	394110799	3746581	3964	3930	14290	24	0	1	3955	1	73	8238	5960	1	1	1923
64	64	0	10713787	291295	47888916	404824586	4037876	78058	51050	162163	24	0	1	61311	16736	108	96095	65939	1	1	23013
65	65	0	7146822	10903	9559377	411971408	4048779	1820	1793	7266	24	0	1	1811	1	69	4118	3060	1	1	933
66	66	0	7024696	20276	9224358	418996104	4069055	17369	387	2496	24	0	1	421	16938	66	1090	1321	1	1	187
67	67	0	9900023	232456	32497718	428896127	4301511	64802	43032	124598	24	0	1	51133	13659	121	74343	50113	1	1	19265
68	68	0	7082316	7476	8369151	435978443	4308987	1067	1048	5337	24	0	1	1058	1	60	2673	2585	1	1	545
69	69	0	8130339	98375	18156068	444108782	4407362	30415	14754	53182	24	0	1	17440	12965	61	31089	22011	1	1	6804
70	70	0	7118223	9574	8894959	451227005	4416936	1567	1563	6420	24	0	1	1558	1	64	3139	3198	1	1	813
71	71	0	6389120	30189	9889056	457616125	4447125	14150	1971	14044	24	0	1	2185	11956	94	5679	8252	1	1	1021
72	72	0	7062701	4672	9473707	464678826	4451797	766	741	3141	24	0	1	757	1	70	1850	1202	1	1	380
73	73	0	7452955	42436	11844550	472131781	4494233	21749	4486	16177	24	0	1	4493	17246	66	9278	6814	1	1	2259
74	74	0	10033040	217456	29123899	482164821	4711689	66832	41777	108823	24	0	1	49899	16922	64	68700	40038	1	1	18639
75	75	0	6970124	19722	8605921	489134945	4731411	12626	498	6574	24	0	1	582	12035	67	2102	4386	1	1	252
76	76	0	8059591	80741	16416943	497194536	4812152	35231	15402	30084	24	0	1	18966	16255	60	20604	9400	1	1	7429
77	77	0	7154708	30736	10272585	504349244	4842888	18633	1659	10420	24	0	1	1678	16945	67	4957	5377	1	1	866
78	78	0	7660821	55634	12700316	512010065	4898522	23815	7532	24263	24	0	1	7589	16217	100	14723	9421	1	1	3730
79	79	0	4101386	28017	7285965	516111451	4926539	11711	3991	12291	24	0	1	4076	7626	95	6944	5233	1	1	2024
80	80	0	7157703	11822	8768650	523269154	4938361	2096	2100	7602	24	0	1	2087	1	64	4268	3251	1	1	1080
81	81	0	7183426	19602	10246794	530452580	4957963	6390	2266	10922	24	0	1	2423	3958	64	5356	5483	1	1	1173
82	82	0	7335524	19726	10176395	537788104	4977689	4261	4196	11245	24	0	1	4252	1	69	7054	4103	1	1	2124
83	83	0	7336650	40174	11849179	545124754	5017863	18548	4082	17520	24	0	1	4135	14404	90	9434	7977	1	1	2069
84	84	0	7056482	5882	7227955	552181236	5023745	665	620	4573	24	0	1	656	1	72	1923	2559	1	1	316
85	85	0	7756701	70036	14578110	559937937	5093781	25323	10254	34435	24	0	1	12341	12973	90	20209	14116	1	1	4748
86	86	0	8060187	86171	20499839	567998124	5179952	29287	12750	44110	24	0	1	15132	14146	86	25933	18070	1	1	6167
87	87	0	8534484	103934	22873281	576532608	5283886	25477	21815	56618	24	0	1	25467	1	65	37771	18761	1	1	10082
88	88	0	7124436	21881	8865350	583657044	5305767	12849	1301	7707	24	0	1	1368	11472	68	3703	3917	1	1	680
89	89	0	7265807	15419	8757729	590922851	5321186	2819	2747	9829	24	0	1	2737	74	79	6150	3581	1	1	1415
90	90	0	7810636	61054	14132662	598733487	5382240	19829	9759	31442	24	0	1	11563	8257	65	20477	10880	1	1	4774
91	91	0	7584937	43547	12705836	606318424	5425787	7962	7889	27672	24	0	1	7953	1	59	17002	10591	1	1	3902
