logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	2364113	439796	58324660	2364113	439796	4323	4198	431225	24	26	1	4277	38	2966	70078	358162	1	1	2468
1	1	0	2525815	103390	9125117	4889928	543186	4619	520	98227	24	0	1	577	4033	626	12819	84762	1	1	331
2	2	0	2749866	66597	6465890	7639794	609783	4894	196	61483	24	0	1	271	4614	209	9123	52131	1	1	110
3	3	0	2156755	17591	3051506	9796549	627374	4147	103	13317	24	0	1	126	4013	42	1664	11593	1	1	47
4	4	0	2024712	8268	2899605	11821261	635642	4090	45	4109	24	0	1	56	4026	46	1009	3036	1	1	18
5	5	0	1957958	22506	3350995	13779219	658148	4644	713	17125	24	0	1	767	3868	621	5065	11420	1	1	462
6	6	0	2091912	10186	3996374	15871131	668334	4172	37	5953	24	0	1	46	4118	59	326	5550	1	1	14
7	7	0	2172271	7380	3326485	18043402	675714	4251	39	3066	24	0	1	46	4197	61	834	2153	1	1	15
8	8	0	2023269	5458	3665034	20066671	681172	4133	29	1272	24	0	1	31	4094	52	223	979	1	1	10
9	9	0	2164713	8808	3330925	22231384	689980	4141	45	4598	24	0	1	61	4072	71	1052	3457	1	1	18
10	10	0	2197076	5518	3926074	24428460	695498	254	57	5183	24	0	1	68	178	98	1159	3908	1	1	24
11	11	0	2032919	5071	2955875	26461379	700569	4039	29	979	24	0	1	32	3999	54	205	702	1	1	10
12	12	0	2070861	4506	4456603	28532240	705075	239	47	4196	24	0	1	59	172	46	731	3401	1	1	19
13	13	0	2642429	31725	5171542	31174669	736800	4452	97	27152	24	0	1	126	4318	109	2403	24621	1	1	44
14	14	0	2078480	11665	4721493	33253149	748465	128	81	11432	24	0	1	84	37	144	1080	10189	1	1	36
15	15	0	2017151	6973	3741135	35270300	755438	4105	29	2815	24	0	1	38	4059	47	2110	640	1	1	10
16	16	0	1186096	3262	2549176	36456396	758700	374	29	2835	24	0	1	30	336	35	1433	1349	1	1	10
17	17	0	804563	2527	2035057	37260959	761227	1592	27	884	24	0	1	26	1558	40	317	509	1	1	9
18	18	0	2278690	18837	4620762	39539649	780064	3838	85	14890	24	0	1	102	3728	94	1372	13406	1	1	38
19	19	0	3728430	159696	15330317	43268079	939760	4994	389	154289	24	0	1	480	4505	690	16608	136970	1	1	231
20	20	0	1972844	4887	3823864	45240923	944647	42	37	4784	24	0	1	34	1	75	382	4309	1	1	14
21	21	0	2144957	30418	6587950	47385880	975065	4422	61	25911	24	0	1	98	4316	80	1462	3173	380	20797	26
22	22	0	2803559	50875	6314490	50189439	1025940	4238	382	46231	24	0	1	411	3818	109	5091	41012	1	1	227
23	23	0	2608982	90656	11163693	52798421	1116596	4976	614	85042	24	0	1	636	4331	296	21567	63158	1	1	384
24	24	0	2711408	14895	4560063	55509829	1131491	5043	63	9765	24	0	1	84	4951	80	1746	7921	1	1	27
25	25	0	2754076	10434	4569623	58263905	1141925	4780	51	5579	24	0	1	73	4699	74	627	4860	1	1	21
26	26	0	2231230	6417	3783784	60495135	1148342	4255	35	2103	24	0	1	36	4211	74	432	1579	1	1	13
27	27	0	2035107	14505	4617203	62530242	1162847	2416	31	12034	24	0	1	41	2367	66	403	11547	1	1	11
28	28	0	2229800	6725	3335175	64760042	1169572	3664	59	2978	24	0	1	92	3564	68	312	2580	1	1	25
29	29	0	340176	18062	1991127	65100218	1187634	32	29	17977	24	0	1	24	1	69	94	17796	1	1	10
30	30	0	2157873	7166	3882684	67258091	1194800	4114	37	2991	24	0	1	44	4062	48	687	2238	1	1	14
31	31	0	2338973	18542	5063082	69597064	1213342	4154	39	14325	24	0	1	52	4094	41	2869	11397	1	1	15
32	32	0	2900286	32351	5600321	72497350	1245693	855	148	31324	24	0	1	182	664	149	5467	25688	1	1	72
