logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	3977760	644384	49798969	3977760	644384	8137	7908	628290	24	25	1	8037	92	4002	141188	482621	91	370	4418
1	1	1	3983495	648931	50045507	7961255	1293315	8171	7916	632795	24	25	1	19	8144	4018	146043	482254	91	370	4419
2	2	2	3983525	649287	56734834	11944780	1942602	8169	7914	633155	24	25	1	17	8144	4029	146143	482503	91	370	4418
3	3	3	3978762	648519	60203183	15923542	2591121	8169	7914	632387	24	25	1	17	8144	4040	146029	481838	91	370	4418
4	4	4	3979308	648471	60978510	19902850	3239592	8169	7914	632339	24	25	1	17	8144	4049	146049	481761	91	370	4418
5	5	5	3978883	648499	59969643	23881733	3888091	8169	7914	632367	24	25	1	17	8144	4059	146030	481798	91	370	4418
6	6	6	4015592	654941	61163400	27897325	4543032	8238	7957	638697	24	25	1	462	7767	4103	149856	484258	91	370	4432
7	7	7	4037713	666860	58978557	31935038	5209892	8221	7960	650630	24	25	1	49	8164	4131	156302	489717	91	370	4434
8	8	0	3979517	10275	9862996	35914555	5220167	8169	23	2059	24	0	1	17	8144	254	316	1470	1	1	7
9	9	1	3979614	1487	5100912	39894169	5221654	25	23	1415	24	0	1	17	1	251	171	974	1	1	7
10	10	2	3977868	1294	4803174	43872037	5222948	25	23	1222	24	0	1	17	1	252	182	769	1	1	7
11	11	3	3977339	1237	4253585	47849376	5224185	25	23	1165	24	0	1	17	1	254	172	720	1	1	7
12	12	4	3991126	2793	9419738	51840502	5226978	25	23	2721	24	0	1	17	1	259	355	2088	1	1	7
13	13	5	3983472	2096	9581397	55823974	5229074	25	23	2024	24	0	1	17	1	257	238	1510	1	1	7
14	14	6	3979695	19389	7041176	59803669	5248463	8163	425	10777	24	0	1	17	8138	218	8866	1674	1	1	228
15	15	7	3987270	19608	6754947	63790939	5268071	8163	425	10996	24	0	1	17	8138	172	8847	1958	1	1	228
16	16	0	3983303	1674	6219639	67774242	5269745	27	25	1598	24	0	1	19	1	176	187	1216	1	1	8
17	17	1	3980301	1497	4738363	71754543	5271242	25	23	1425	24	0	1	17	1	172	197	1037	1	1	7
18	18	2	3981283	1458	5492881	75735826	5272700	25	23	1386	24	0	1	17	1	166	153	1048	1	1	7
19	19	3	3989748	2380	10845633	79725574	5275080	25	23	2308	24	0	1	17	1	161	234	1894	1	1	7
20	20	4	3995308	3594	6035769	83720882	5278674	29	27	3514	24	0	1	21	1	157	471	2867	1	1	9
21	21	5	3991417	2496	6095560	87712299	5281170	40	27	2405	24	0	1	22	11	170	394	1822	1	1	9
22	22	6	3978843	1255	5364191	91691142	5282425	25	23	1183	24	0	1	17	1	178	172	814	1	1	7
23	23	7	3978069	1242	5410921	95669211	5283667	25	23	1170	24	0	1	17	1	180	172	799	1	1	7
24	24	0	3977199	1113	5503611	99646410	5284780	25	23	1041	24	0	1	17	1	177	166	679	1	1	7
25	25	1	3978070	1213	5602711	103624480	5285993	25	23	1141	24	0	1	17	1	175	172	775	1	1	7
26	26	2	3978069	1206	4705804	107602549	5287199	25	23	1134	24	0	1	17	1	176	149	790	1	1	7
27	27	3	3984617	2326	5926290	111587166	5289525	25	23	2254	24	0	1	17	1	180	346	1709	1	1	7
28	28	4	3992327	2971	5485662	115579493	5292496	25	23	2899	24	0	1	17	1	184	477	2219	1	1	7
29	29	5	3980080	1376	4903693	119559573	5293872	25	23	1304	24	0	1	17	1	168	150	967	1	1	7
30	30	6	3981159	1817	5314581	123540732	5295689	25	23	1745	24	0	1	17	1	167	192	1367	1	1	7
31	31	7	3982575	1504	5708580	127523307	5297193	25	23	1432	24	0	1	17	1	164	184	1065	1	1	7
32	32	0	3984932	1647	5650910	131508239	5298840	25	23	1575	24	0	1	17	1	171	208	1177	1	1	7
33	33	1	3981491	1453	5362562	135489730	5300293	25	23	1381	24	0	1	17	1	168	204	990	1	1	7
34	34	2	3980324	1429	5496021	139470054	5301722	25	23	1357	24	0	1	17	1	171	182	985	1	1	7
35	35	3	3980537	2122	4232165	143450591	5303844	35	33	2030	24	0	1	27	1	193	296	1522	1	1	12
36	36	4	3979887	1436	5252872	147430478	5305280	25	23	1364	24	0	1	17	1	186	160	999	1	1	7
37	37	5	3980447	1545	5781970	151410925	5306825	25	23	1473	24	0	1	17	1	188	179	1087	1	1	7
38	38	6	3986312	2218	5145143	155397237	5309043	27	25	2142	24	0	1	19	1	192	297	1634	1	1	8
39	39	7	2839010	11688	4361865	158236247	5320731	6127	207	5330	24	0	1	265	5853	197	1538	3576	1	1	111
40	40	0	2878074	9464	4377145	161114321	5330195	6290	77	3073	24	0	1	112	6170	199	843	2012	1	1	34
