logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	839260	146049	11152622	839260	146049	2378	2317	141304	24	26	1	2352	18	1746	33522	106017	1	1	1420
1	1	1	5434195	868284	69891209	6273455	1014333	9843	10060	848331	24	26	1	7476	2358	8072	167598	672500	46	97	5491
2	2	2	5434195	871170	69211952	11707650	1885503	10247	10060	850813	24	26	1	2	10237	8072	171689	670891	46	97	5491
3	3	3	4094994	713348	60123223	15802644	2598851	9392	8858	695048	24	26	1	656	8727	8228	149551	537249	1	1	4873
4	4	4	4089591	714209	61636898	19892235	3313060	8948	8785	696426	24	26	1	18	8922	8248	153053	535105	1	1	4850
5	5	5	3444471	612745	53535166	23336706	3925805	7360	6751	598584	24	26	1	664	6687	8477	134704	455383	1	1	3782
6	6	6	3790236	679729	59307416	27126942	4605534	7775	7445	664459	24	26	1	347	7419	8748	150520	505030	46	97	4122
7	7	7	4336012	773931	66211452	31462954	5379465	8969	8717	756195	24	26	1	1187	7773	9340	171714	575121	1	1	4766
8	8	0	3546232	491336	35728057	35009186	5870801	7512	4647	479153	24	0	1	220	7283	7853	110756	360523	1	1	2640
9	9	1	3274307	33815	6647097	38283493	5904616	6827	441	26523	24	0	1	90	6729	1761	15883	8860	1	1	246
10	10	2	3879853	11621	5163452	42163346	5916237	8933	33	2631	24	0	1	28	8897	1793	218	601	1	1	12
11	11	3	4098549	47919	12331588	46261895	5964156	9058	483	38354	24	0	1	146	8903	1746	9226	27362	1	1	238
12	12	4	3449557	25540	5324511	49711452	5989696	7251	330	17935	24	0	1	270	6972	1766	9463	6687	1	1	163
13	13	5	3879853	141134	18245327	53591305	6130830	8936	2356	129818	24	0	1	3	8925	1579	33064	95154	1	1	1367
14	14	6	4098549	129343	16694652	57689854	6260173	9065	2111	118143	24	0	1	3	9054	1301	26990	89831	1	1	1212
15	15	7	3449557	55837	6325218	61139411	6316010	7045	467	48301	24	0	1	3	7034	602	12727	34952	1	1	247
16	16	0	3400600	13291	5230822	64540011	6329301	7069	109	6089	24	0	1	93	6968	548	1496	4026	1	1	50
17	17	1	3320861	10517	3647628	67860872	6339818	6752	47	3694	24	0	1	28	6716	457	503	2715	1	1	19
18	18	2	3210935	23067	4395635	71071807	6362885	6690	342	16011	24	0	1	40	6642	469	13289	2234	1	1	179
19	19	3	3863336	90120	10944872	74935143	6453005	7772	677	81647	24	0	1	355	7408	548	25329	55749	1	1	390
20	20	4	4164315	137006	17867648	79099458	6590011	8931	1424	126627	24	0	1	765	8157	1538	34065	90811	91	103	856
21	21	5	3207457	10367	4835374	82306915	6600378	6661	45	3637	24	0	1	40	6613	1573	444	1601	1	1	18
22	22	6	4213723	49062	9440597	86520638	6649440	2709	443	45886	24	0	1	281	2419	1815	9623	34428	1	1	229
23	23	7	4090556	77170	8186772	90611194	6726610	8304	772	68070	24	0	1	446	7849	2225	13871	51954	1	1	424
24	24	0	3445172	15427	5424441	94056366	6742037	1394	183	13826	24	0	1	184	1201	2262	2534	9011	1	1	89
