logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	1836	743	13385760	1836	743	20	20	653	24	26	1	12	1	77	110	451	1	1	11
1	1	0	3726840	660247	45205915	3728676	660990	8499	8210	643514	24	0	1	8411	80	4023	131996	507476	1	1	4563
2	2	0	3341805	15046	3835295	7070481	676036	8469	133	6420	24	0	1	177	8283	135	1553	4713	1	1	65
3	3	0	3871485	69671	10629405	10941966	745707	4457	389	64801	24	0	1	454	3994	231	10454	54096	1	1	235
4	4	0	2894389	12656	3683215	13836355	758363	7060	275	5297	24	0	1	529	6522	108	3515	1656	1	1	145
5	5	0	3910918	11516	4968723	17747273	769879	4320	141	7031	24	0	1	241	4070	156	2437	4419	1	1	73
6	6	0	3977380	29744	6174321	21724653	799623	9104	323	20293	24	0	1	479	8616	207	3929	16138	1	1	178
7	7	0	4423246	63890	9031347	26147899	863513	6786	500	56580	24	0	1	654	6123	373	9046	47141	1	1	316
8	8	0	3224620	69294	7977318	29372519	932807	7736	632	60902	24	0	1	707	7020	406	12981	47495	1	1	397
9	9	0	3022248	30750	5987612	32394767	963557	7176	333	23217	24	0	1	379	6788	161	6020	17016	1	1	185
10	10	0	3755417	23393	5887361	36150184	986950	9040	305	14024	24	0	1	397	8634	149	4002	9854	1	1	171
11	11	0	3423516	10031	4651513	39573700	996981	3327	151	6529	24	0	1	244	3074	115	1605	4791	1	1	77
12	12	0	3591597	19104	6898980	43165297	1016085	3892	194	14994	24	0	1	281	3602	209	2785	11981	1	1	111
13	13	0	3547473	6618	4450304	46712770	1022703	3142	47	3405	24	0	1	80	3054	110	508	2769	1	1	19
14	14	0	3893927	8147	6916000	50606697	1030850	4786	61	3276	24	0	1	86	4692	84	664	2510	1	1	26
15	15	0	3770999	21069	6018991	54377696	1051919	8486	284	12275	24	0	1	357	8120	134	2911	9211	1	1	149
16	16	0	3608859	45743	7771199	57986555	1097662	8425	501	36793	24	0	1	546	7870	313	9544	26916	1	1	317
17	17	0	2807366	2219	3689344	60793921	1099881	1518	31	646	24	0	1	44	1466	101	143	384	1	1	11
18	18	0	3437381	22913	6611561	64231302	1122794	2870	350	19669	24	0	1	395	2466	191	4425	15034	1	1	201
19	19	0	3531244	13496	5841601	67762546	1136290	7829	198	5445	24	0	1	430	7390	100	3627	1700	1	1	103
20	20	0	3854245	9163	5322733	71616791	1145453	6099	99	2941	24	0	1	201	5889	98	1172	1653	1	1	46
21	21	0	4987004	171345	18066934	76603795	1316798	10314	1131	159876	24	0	1	1295	9010	781	22370	136704	1	1	712
22	22	0	2098275	4267	3613135	78702070	1321065	1110	59	3074	24	0	1	70	1032	100	591	2365	1	1	25
23	23	0	3758634	4662	5624002	82460704	1325727	2911	37	1690	24	0	1	55	2848	98	328	1246	1	1	14
24	24	0	4102983	27487	7486329	86563687	1353214	6029	404	21030	24	0	1	552	5468	222	4153	16635	1	1	239
25	25	0	2824953	7927	4535473	89388640	1361141	6934	23	946	24	0	1	49	6877	81	159	688	1	1	7
26	26	0	3666182	17679	6351070	93054822	1378820	4000	283	13372	24	0	1	419	3572	164	3099	10090	1	1	155
27	27	0	3473988	10439	4955423	96528810	1389259	8272	35	2108	24	0	1	49	8215	99	389	1602	1	1	13
28	28	0	3563242	13533	5786372	100092052	1402792	2685	120	10704	24	0	1	174	2502	132	1898	8655	1	1	57
29	29	0	3936287	13181	5647282	104028339	1415973	8454	57	4646	24	0	1	129	8316	99	878	3651	1	1	24
30	30	0	3971101	27231	6890730	107999440	1443204	9688	215	17304	24	0	1	313	9366	84	2976	14226	1	1	118
31	31	0	3633439	9102	5266533	111632879	1452306	4138	98	4842	24	0	1	165	3964	115	1490	3219	1	1	45
32	32	0	1694908	6206	3188895	113327787	1458512	3938	139	2105	24	0	1	349	3580	117	1116	854	1	1	67
33	33	0	3149329	3845	4345684	116477116	1462357	3079	31	711	24	0	1	51	3020	101	160	432	1	1	11
34	34	0	2886351	6023	4624503	119363467	1468380	2963	87	2949	24	0	1	152	2802	111	667	2153	1	1	39
35	35	0	3700722	11129	5839022	123064189	1479509	6707	63	4335	24	0	1	140	6558	129	751	3436	1	1	27
36	36	0	3508974	9296	5666411	126573163	1488805	3023	133	6116	24	0	1	228	2786	140	1529	4428	1	1	63
37	37	0	3500367	20399	4926443	130073530	1509204	8214	195	11966	24	0	1	315	7890	187	1953	9807	1	1	102
38	38	0	3971550	23952	5717892	134045080	1533156	8454	143	15331	24	0	1	284	8161	147	2175	12990	1	1	74
39	39	0	2394412	6481	2817276	136439492	1539637	5707	31	719	24	0	1	53	5646	104	168	429	1	1	11
40	40	0	3541553	10846	4458453	139981045	1550483	7619	73	3130	24	0	1	139	7471	124	812	2176	1	1	32
41	41	0	4360803	26417	5838652	144341848	1576900	7061	203	19129	24	0	1	337	6715	159	2720	16231	1	1	117
42	42	0	4455883	17251	5197332	148797731	1594151	9726	63	7438	24	0	1	112	9606	82	1290	6048	1	1	27
43	43	0	3528182	9387	3860405	152325913	1603538	7794	37	1532	24	0	1	78	7708	79	310	1125	1	1	14
44	44	0	4160577	14939	4945313	156486490	1618477	5916	87	8912	24	0	1	169	5738	124	2043	6727	1	1	39
45	45	0	3447564	10194	6269791	159934054	1628671	8700	71	1399	24	0	1	181	8510	78	328	975	1	1	31
46	46	0	2968010	27113	4995663	162902064	1655784	3225	305	23559	24	0	1	414	2802	252	5063	18224	1	1	166
47	47	0	3175279	56586	7558879	166077343	1712370	3025	543	52994	24	0	1	791	2225	325	12699	39950	1	1	346
48	48	0	4578134	24365	5982841	170655477	1736735	9949	175	14217	24	0	1	265	9675	181	2638	11379	1	1	90
49	49	0	4614383	35532	6616531	175269860	1772267	7624	273	27611	24	0	1	450	7165	163	4580	22848	1	1	148
50	50	0	4158627	12300	4580803	179428487	1784567	8760	87	3429	24	0	1	170	8581	98	1100	2213	1	1	39
51	51	0	3717490	6385	4126674	183145977	1790952	2418	43	3900	24	0	1	91	2319	97	357	3428	1	1	17
52	52	0	3579788	4171	3590275	186725765	1795123	2746	45	1356	24	0	1	74	2664	109	327	902	1	1	18
53	53	0	4934852	55259	8641787	191660617	1850382	5318	312	49605	24	0	1	446	4863	189	9238	40158	1	1	175
54	54	0	2822997	9520	3249106	194483614	1859902	6838	67	2591	24	0	1	108	6722	136	413	2023	1	1	29
55	55	0	3679603	11779	4456514	198163217	1871681	4495	109	7151	24	0	1	150	4336	102	997	6034	1	1	50
56	56	0	4156384	15322	4879843	202319601	1887003	5048	122	10128	24	0	1	227	4812	82	1915	8113	1	1	65
57	57	0	3892276	13359	4579993	206211877	1900362	7965	89	5281	24	0	1	188	7768	132	1444	3686	1	1	40
58	58	0	4122406	9243	7307860	210334283	1909605	3903	73	5243	24	0	1	146	3748	113	761	4351	1	1	32
59	59	0	2236738	2569	2412186	212571021	1912174	1365	33	1147	24	0	1	51	1306	105	204	820	1	1	12
60	60	0	2919850	3170	3194896	215490871	1915344	1251	49	1846	24	0	1	80	1163	127	410	1291	1	1	20
61	61	0	3337365	8087	3479415	218828236	1923431	7206	25	832	24	0	1	42	7156	93	160	561	1	1	8
62	62	0	3393617	20446	4731213	222221853	1943877	8231	358	11833	24	0	1	485	7737	82	4370	7363	1	1	198
63	63	0	4192631	27481	5797512	226414484	1971358	7178	221	20058	24	0	1	322	6847	140	3394	16504	1	1	125
64	64	0	4091388	11509	4534404	230505872	1982867	3536	73	7876	24	0	1	146	3381	116	1066	6676	1	1	32
65	65	0	4506253	13943	5186902	235012125	1996810	5973	77	7869	24	0	1	145	5819	74	1054	6723	1	1	34
66	66	0	3238369	8805	3514725	238250494	2005615	7400	69	1312	24	0	1	178	7213	101	356	837	1	1	30
67	67	0	4715745	28944	6242731	242966239	2034559	5877	174	22869	24	0	1	296	5572	85	3420	19345	1	1	96
68	68	0	3527210	18063	4374643	246493449	2052622	7887	173	9979	24	0	1	234	7644	140	2043	7777	1	1	85
69	69	0	4179925	11627	4859804	250673374	2064249	3911	162	7530	24	0	1	249	3653	122	1589	5801	1	1	81
70	70	0	4390269	25761	5588342	255063643	2090010	8196	321	17220	24	0	1	442	7745	138	3523	13540	1	1	176
71	71	0	3612747	12473	4073994	258676390	2102483	9029	61	3359	24	0	1	120	8901	84	681	2576	1	1	26
72	72	0	3544789	7454	3887234	262221179	2109937	3304	77	4049	24	0	1	157	3138	122	758	3151	1	1	34
73	73	0	4062778	8450	4366444	266283957	2118387	5983	45	2398	24	0	1	88	5887	103	787	1490	1	1	18
74	74	0	3342950	2746	3285875	269626907	2121133	1918	33	771	24	0	1	57	1853	102	153	498	1	1	12
75	75	0	4195677	14651	5203882	273822584	2135784	3505	59	11063	24	0	1	118	3379	83	1339	9623	1	1	25
76	76	0	4317460	20373	5419452	278140044	2156157	4859	211	15279	24	0	1	318	4532	157	3033	12070	1	1	114
77	77	0	3962533	11810	4485364	282102577	2167967	8180	126	3480	24	0	1	271	7900	83	1041	2338	1	1	67
