logical	physical	worker	raw	wire	latency_ns	cumulative_raw	cumulative_wire	b_root	b_need	b_fill	b_control	b_carry	split_ok	c_root	c_block	c_path	c_region_control	c_raw_run	c_array_control	c_array_values	missing_regions
0	0	0	5348202	838288	71027229	5348202	838288	12957	12737	812544	24	26	1	12877	72	4788	171982	635710	30	17	6844
1	1	0	5348204	13989	10065992	10696406	852277	12961	11	993	24	0	1	4	12949	1	870	105	1	1	1
2	2	0	5348198	680	5198602	16044604	852957	12	11	633	24	0	1	4	1	1	513	102	1	1	1
3	3	0	5348178	675	5801680	21392782	853632	12	11	628	24	0	1	4	1	1	515	95	1	1	1
4	4	0	5348216	690	5908860	26740998	854322	12	11	643	24	0	1	4	1	1	518	107	1	1	1
5	5	0	5348218	689	5653100	32089216	855011	12	11	642	24	0	1	4	1	1	517	107	1	1	1
6	6	0	5348244	701	5790360	37437460	855712	12	11	654	24	0	1	4	1	1	518	118	1	1	1
7	7	0	5348246	701	5555951	42785706	856413	12	11	654	24	0	1	4	1	1	518	118	1	1	1
8	8	0	5348518	720	5746140	48134224	857133	12	11	673	24	0	1	4	1	1	514	140	1	1	1
9	9	0	5348202	684	5740730	53482426	857817	12	11	637	24	0	1	4	1	1	514	105	1	1	1
10	10	0	5348180	675	6562519	58830606	858492	12	11	628	24	0	1	4	1	1	515	95	1	1	1
11	11	0	5348180	679	6469419	64178786	859171	12	11	632	24	0	1	4	1	1	516	98	1	1	1
12	12	0	5348319	705	6592929	69527105	859876	12	11	658	24	0	1	4	1	1	513	127	1	1	1
13	13	0	5348303	704	6649558	74875408	860580	12	11	657	24	0	1	4	1	1	515	124	1	1	1
14	14	0	5348303	705	6296050	80223711	861285	12	11	658	24	0	1	4	1	1	515	125	1	1	1
15	15	0	5348210	685	6117039	85571921	861970	12	11	638	24	0	1	4	1	1	516	104	1	1	1
16	16	0	5348180	676	6551459	90920101	862646	12	11	629	24	0	1	4	1	1	516	95	1	1	1
17	17	0	5348198	684	6718339	96268299	863330	12	11	637	24	0	1	4	1	1	517	102	1	1	1
18	18	0	5440278	30825	8781205	101708577	894155	13123	111	17567	24	0	1	180	12934	93	2589	14867	1	1	53
19	19	0	5440181	16443	7408897	107148758	910598	12995	11	3413	24	0	1	4	12983	1	3227	167	1	1	1
20	20	0	5439869	1919	6829768	112588627	912517	12	11	1872	24	0	1	4	1	1	1758	96	1	1	1
21	21	0	5439869	1914	7016608	118028496	914431	12	11	1867	24	0	1	4	1	1	1754	95	1	1	1
22	22	0	5439992	1948	6868059	123468488	916379	12	11	1901	24	0	1	4	1	1	1757	126	1	1	1
23	23	0	5439905	1934	6926489	128908393	918313	12	11	1887	24	0	1	4	1	1	1756	113	1	1	1
24	24	0	5439913	1941	6871118	134348306	920254	12	11	1894	24	0	1	4	1	1	1758	118	1	1	1
25	25	0	5440000	1946	7147168	139788306	922200	12	11	1899	24	0	1	4	1	1	1751	129	1	1	1
26	26	0	5440000	1950	7673467	145228306	924150	12	11	1903	24	0	1	4	1	1	1755	129	1	1	1
27	27	0	5439857	1908	7300187	150668163	926058	12	11	1861	24	0	1	4	1	1	1755	88	1	1	1
28	28	0	5440032	1952	6391949	156108195	928010	12	11	1905	24	0	1	4	1	1	1760	127	1	1	1
29	29	0	5439853	1905	5658901	161548048	929915	12	11	1858	24	0	1	4	1	1	1753	87	1	1	1
30	30	0	5439857	1909	5725530	166987905	931824	12	11	1862	24	0	1	4	1	1	1755	89	1	1	1
31	31	0	5439855	1905	5482780	172427760	933729	12	11	1858	24	0	1	4	1	1	1753	87	1	1	1
32	32	0	5440685	2021	6247890	177868445	935750	12	11	1974	24	0	1	4	1	1	1756	199	1	1	1
33	33	0	5439955	1954	5703990	183308400	937704	12	11	1907	24	0	1	4	1	1	1758	130	1	1	1
34	34	0	5439957	1950	5577211	188748357	939654	12	11	1903	24	0	1	4	1	1	1753	131	1	1	1
35	35	0	5439983	1963	5651930	194188340	941617	12	11	1916	24	0	1	4	1	1	1755	142	1	1	1
36	36	0	5439985	1963	5515621	199628325	943580	12	11	1916	24	0	1	4	1	1	1756	141	1	1	1
37	37	0	5439863	1910	5588940	205068188	945490	12	11	1863	24	0	1	4	1	1	1753	92	1	1	1
38	38	0	5439863	1911	5648720	210508051	947401	12	11	1864	24	0	1	4	1	1	1754	92	1	1	1
39	39	0	5439992	1943	5548501	215948043	949344	12	11	1896	24	0	1	4	1	1	1760	118	1	1	1
40	40	0	5439863	1911	5604090	221387906	951255	12	11	1864	24	0	1	4	1	1	1754	92	1	1	1
41	41	0	5439863	1911	5632461	226827769	953166	12	11	1864	24	0	1	4	1	1	1754	92	1	1	1
42	42	0	5439865	1909	5483560	232267634	955075	12	11	1862	24	0	1	4	1	1	1751	93	1	1	1
43	43	0	5439875	1923	5591221	237707509	956998	12	11	1876	24	0	1	4	1	1	1757	101	1	1	1
44	44	0	5439863	1909	5581590	243147372	958907	12	11	1862	24	0	1	4	1	1	1753	91	1	1	1
45	45	0	5439865	1914	5503731	248587237	960821	12	11	1867	24	0	1	4	1	1	1756	93	1	1	1
46	46	0	5439875	1918	5599400	254027112	962739	12	11	1871	24	0	1	4	1	1	1755	98	1	1	1
47	47	0	5439883	1925	5596001	259466995	964664	12	11	1878	24	0	1	4	1	1	1755	105	1	1	1
48	48	0	5440040	1959	5502020	264907035	966623	12	11	1912	24	0	1	4	1	1	1754	139	1	1	1
49	49	0	5440040	1963	5746611	270347075	968586	12	11	1916	24	0	1	4	1	1	1757	140	1	1	1
50	50	0	5439992	1941	5608130	275787067	970527	12	11	1894	24	0	1	4	1	1	1759	117	1	1	1
51	51	0	5440320	1973	5707131	281227387	972500	12	11	1926	24	0	1	4	1	1	1756	151	1	1	1
52	52	0	5440000	1950	5634540	286667387	974450	12	11	1903	24	0	1	4	1	1	1755	129	1	1	1
53	53	0	5439998	1949	5917160	292107385	976399	12	11	1902	24	0	1	4	1	1	1755	128	1	1	1
54	54	0	5439883	1926	5880160	297547268	978325	12	11	1879	24	0	1	4	1	1	1753	108	1	1	1
55	55	0	5440389	2023	5774340	302987657	980348	12	11	1976	24	0	1	4	1	1	1769	188	1	1	1
56	56	0	5440585	2018	5959720	308428242	982366	12	11	1971	24	0	1	4	1	1	1768	184	1	1	1
57	57	0	5440266	1985	5867670	313868508	984351	12	11	1938	24	0	1	4	1	1	1759	160	1	1	1
58	58	0	5364044	17154	5963210	319232552	1001505	12961	17	4152	24	0	1	11	12942	63	489	3582	1	1	4
