tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
330	2612129	100823	820491039	38016674	31733	121	76580	205116
331	3519742	118228	824010781	38134902	39711	88	88305	184581
332	3357406	113011	827368187	38247913	37082	100	84685	181172
333	2291032	90861	829659219	38338774	30061	41	72595	142504
334	2391016	93752	832050235	38432526	31030	49	74210	147335
335	2285389	92832	834335624	38525358	29987	128	72572	149170
336	3412120	118888	837747744	38644246	39019	155	87609	187868
337	2412619	96688	840160363	38740934	31135	199	74366	157355
338	2283680	90457	842444043	38831391	30026	28	72535	141939
339	2765196	107168	845209239	38938559	33238	357	78176	214630
340	3926903	149560	849136142	39088119	43005	584	96335	423639
341	2364295	91378	851500437	39179497	30151	49	72707	144082
342	2761292	109643	854261729	39289140	33370	583	78123	196977
343	2966529	113456	857228258	39402596	34914	464	81027	192587
344	1870574	82537	859098832	39485133	26609	14	64863	123615
345	2279952	88177	861378784	39573310	29011	40	70429	138649
346	3002265	102011	864381049	39675321	34391	58	78516	159627
347	2913350	102797	867294399	39778118	34066	122	78462	165852
348	5305306	213866	872599705	39991984	52728	3108	114459	461054
349	4025920	145124	876625625	40137108	45083	413	107208	247173
350	4445763	157026	881071388	40294134	45108	982	100844	344823
351	6215560	236282	887286948	40530416	52521	3325	115866	1166902
352	3444930	110037	890731878	40640453	36639	116	82884	172582
353	2320007	92225	893051885	40732678	29848	278	70910	150335
354	5706894	198551	898758779	40931229	58452	886	130526	339942
355	3850865	133456	902609644	41064685	42857	338	95964	223277
356	3453513	116054	906063157	41180739	38680	77	88333	183229
357	3215002	111532	909278159	41292271	36198	172	82123	179813
358	3472388	116674	912750547	41408945	37588	194	84336	209944
359	3182392	110324	915932939	41519269	36668	134	83797	174350
360	3884747	132862	919817686	41652131	43497	248	97763	215871
361	3275903	108889	923093589	41761020	35842	56	81213	195975
362	3322471	111466	926416060	41872486	36815	56	83146	182972
363	5611010	164731	932027070	42037217	51753	417	110894	295150
364	2901550	98547	934928620	42135764	33541	35	76768	152702
365	3661848	122750	938590468	42258514	40659	163	90013	193603
366	2060519	86024	940650987	42344538	27624	18	68013	130891
367	3946582	130626	944597569	42475164	42756	202	95071	208260
368	2901334	104696	947498903	42579860	34014	184	78211	169333
369	3899176	137208	951398079	42717068	42254	705	92751	241405
370	3445202	134966	954843281	42852034	39064	1036	87823	258884
371	5300007	196603	960143288	43048637	55484	1108	125653	360475
372	2665497	93420	962808785	43142057	31529	48	72927	145038
373	4076475	129245	966885260	43271302	42325	226	95231	211504
374	2287772	119131	969173032	43390433	30222	1336	73517	279442
375	3817186	123351	972990218	43513784	41238	79	92157	192868
376	78178	28892	973068396	43542676	1647	1623	1763	84895
377	8742132	272239	981810528	43814915	63485	2702	134414	1364782
378	4424056	148546	986234584	43963461	46343	494	101778	257994
379	3454626	117394	989689210	44080855	39056	176	86607	183372
380	3710924	123185	993400134	44204040	40907	102	91530	192132
381	3362712	131706	996762846	44335746	40975	274	97601	227990
382	4893327	168059	1001656173	44503805	49432	1007	107193	303609
383	3260404	115161	1004916577	44618966	37681	236	84639	185291
384	3493082	124169	1008409659	44743135	39412	500	87863	206161
385	3541111	122693	1011950770	44865828	39649	269	88800	201000
386	3007407	99918	1014958177	44965746	33941	43	77501	154680
387	3169415	105330	1018127592	45071076	35799	28	81589	163389
388	3687154	123087	1021814746	45194163	40479	152	89217	205832
389	3897226	139268	1025711972	45333431	42272	898	93513	257564
390	3962726	132356	1029674698	45465787	42251	502	93157	223942
391	3307878	113912	1032982576	45579699	37578	111	84481	186484
392	2979177	98782	1035961753	45678481	33763	15	77165	152309
393	3439611	119864	1039401364	45798345	38626	311	87286	240565
394	4069562	141421	1043470926	45939766	43097	909	94759	249279
395	4989508	183595	1048460434	46123361	49966	1566	108496	402763
396	3515301	114379	1051975735	46237740	38802	55	86552	177020
397	5134301	191392	1057110036	46429132	57959	386	134372	316973
398	5066392	156733	1062176428	46585865	47260	755	104082	269100
399	4039984	125992	1066216412	46711857	41480	153	91033	205273
400	3397846	111128	1069614258	46822985	37105	39	82985	179722
401	3498674	118942	1073112932	46941927	38429	212	85558	197922
402	3654899	120536	1076767831	47062463	39789	138	87630	192582
403	3002431	110338	1079770262	47172801	33894	508	77511	211435
404	3538357	116997	1083308619	47289798	38700	91	86138	191113
405	3453720	115221	1086762339	47405019	37486	139	83629	194694
406	3451809	111842	1090214148	47516861	37442	53	83545	175811
407	2931158	99478	1093145306	47616339	33294	30	76411	157286
408	3577184	115822	1096722490	47732161	38787	140	86587	182957
409	3445808	111271	1100168298	47843432	37490	27	83589	174433
410	3640308	119869	1103808606	47963301	38490	226	85339	251313
411	2952044	98086	1106760650	48061387	32957	23	75382	154756
412	3698570	121498	1110459220	48182885	39970	195	87994	194675
413	3483981	119952	1113943201	48302837	37754	363	84040	225549
414	3417405	111650	1117360606	48414487	37277	54	83253	180507
415	3398656	111516	1120759262	48526003	37144	69	83019	180552
416	3782692	119311	1124541954	48645314	39064	157	86540	195897
417	3603714	115192	1128145668	48760506	38377	97	85128	181511
418	3341496	111454	1131487164	48871960	36478	167	83164	183956
419	2917855	99418	1134405019	48971378	32975	51	75740	163651
420	2829270	97907	1137234289	49069285	32247	118	74317	157721
421	3748364	123055	1140982653	49192340	40085	206	88445	206782
422	3690925	125407	1144673578	49317747	39176	577	87380	253969
423	3133063	107614	1147806641	49425361	34662	235	79010	185631
424	2854794	97249	1150661435	49522610	32269	61	74298	159978
425	2858020	96975	1153519455	49619585	32333	34	74442	159162
426	3024717	100088	1156544172	49719673	33295	52	76101	158876
427	2852423	96703	1159396595	49816376	32219	42	74223	158628
428	3045918	100754	1162442513	49917130	33634	45	76899	159808
429	3691941	120977	1166134454	50038107	39957	124	87932	196827
430	3077382	109559	1169211836	50147666	34533	346	78903	222799
431	2855987	95759	1172067823	50243425	32126	19	73999	151520
432	2977400	104211	1175045223	50347636	33719	177	77121	174592
433	3570437	116038	1178615660	50463674	38302	87	84920	194159
434	3460856	112290	1182076516	50575964	37521	65	83686	176418
435	3629045	120538	1185705561	50696502	40039	104	90153	189287
436	3850635	127569	1189556196	50824071	42400	108	94479	199347
437	3758524	113570	1193314720	50937641	38014	77	84778	179544
438	3688973	116575	1197003693	51054216	39388	82	87548	180189
439	4541965	143020	1201545658	51197236	45502	453	100356	236703
440	4775914	151314	1206321572	51348550	48194	446	105851	250600
441	4045035	128185	1210366607	51476735	42475	218	92843	202096
442	4142426	139070	1214509033	51615805	43649	593	95988	241137
443	5507990	203442	1220017023	51819247	53764	2427	115451	424663
444	6084031	242878	1226101054	52062125	58352	3856	123939	537097
445	3504522	114598	1229605576	52176723	38829	44	87468	178550
446	4046457	130519	1233652033	52307242	43192	206	94974	206637
447	4218388	142046	1237870421	52449288	44428	642	97412	244856
448	3838673	118625	1241709094	52567913	40488	46	89422	183573
449	3977412	129514	1245686506	52697427	42484	273	94330	207904
450	3814544	120538	1249501050	52817965	40591	83	89769	186806
451	5522045	169935	1255023095	52987900	50704	971	109398	299944
452	3172887	109608	1258195982	53097508	36256	123	82174	175033
453	3598386	119375	1261794368	53216883	40023	69	90038	186191
454	6184433	234526	1267978801	53451409	57028	3427	121779	533338
455	4540705	163295	1272519506	53614704	48115	916	105797	284734
456	4013596	138174	1276533102	53752878	43183	536	97023	240013
457	3982638	134455	1280515740	53887333	43346	284	95808	220902
458	4253028	134969	1284768768	54022302	44154	284	97184	218154
459	4346015	139248	1289114783	54161550	45907	215	101022	222476
460	3735015	129303	1292849798	54290853	40076	683	88848	228425
461	4259135	133386	1297108933	54424239	42796	343	95240	218328
462	3026939	101155	1300135872	54525394	34367	36	78628	157549
463	3215595	104452	1303351467	54629846	35122	69	80018	162726
464	5568394	211581	1308919861	54841427	57465	2142	129385	441569
465	4442281	155997	1313362142	54997424	49459	322	113762	258702
466	3028667	103774	1316390809	55101198	34415	87	78676	166204
467	4140675	130349	1320531484	55231547	42040	316	92935	221196
468	3340053	108328	1323871537	55339875	36916	26	83329	167797
469	3860593	121571	1327732130	55461446	39732	253	88648	197955
470	3601779	116214	1331333909	55577660	39441	44	87679	179148
471	4017589	133330	1335351498	55710990	43198	381	95311	220658
472	2998257	102891	1338349755	55813881	34844	32	79736	160528
473	3891969	131084	1342241724	55944965	42396	233	94605	212861
474	3959361	131729	1346201085	56076694	43429	178	96956	211186
475	5627541	179864	1351828626	56256558	52343	1213	112539	315900
476	4897058	173257	1356725684	56429815	49739	1408	108570	328796
477	3307763	105815	1360033447	56535630	35580	63	80968	164194
478	2703770	96335	1362737217	56631965	31809	81	74006	156005
479	3571061	116260	1366308278	56748225	38626	128	87145	184837
480	3537875	115199	1369846153	56863424	38181	161	85177	180050
481	4158033	137590	1374004186	57001014	44197	259	98418	258719
482	3597894	116660	1377602080	57117674	38939	121	87340	183116
483	4161670	142212	1381763750	57259886	43857	745	96841	253698
484	3138524	107423	1384902274	57367309	36245	29	82827	169007
485	3416968	112763	1388319242	57480072	38123	28	86919	175793
486	4373208	159059	1392692450	57639131	46483	954	101448	297270
487	4324011	163562	1397016461	57802693	48804	545	113048	269611
488	4087967	140105	1401104428	57942798	44209	545	98144	237927
489	859109	34959	1401963537	57977757	11744	40	29926	52297
490	5256151	200561	1407219688	58178318	52863	2154	114766	384175
491	4909494	179136	1412129182	58357454	50325	1381	109615	322588
492	2565592	102781	1414694774	58460235	32762	338	78258	174165
493	3590708	114578	1418285482	58574813	39156	26	86884	176318
494	3210145	116586	1421495627	58691399	36861	337	83057	197611
495	4491959	146081	1425987586	58837480	46721	405	102947	240338
496	4149810	147088	1430137396	58984568	45263	768	100663	259726
497	3600343	122681	1433737739	59107249	40388	188	89768	194905
498	2971287	101508	1436709026	59208757	34306	53	78292	158170
499	4031425	141543	1440740451	59350300	44527	520	99486	243229
500	3175574	106276	1443916025	59456576	35160	163	79869	167152
501	3108250	107286	1447024275	59563862	35875	92	81528	168175
502	4728516	159107	1451752791	59722969	48365	624	105605	265292
503	4668185	395996	1456420976	60118965	49453	6311	104177	971131
504	3021649	105426	1459442625	60224391	35036	132	79450	165369
505	2943108	106706	1462385733	60331097	35311	89	80498	171742
506	3114990	113116	1465500723	60444213	35665	473	80603	192041
507	4759269	168307	1470259992	60612520	50383	472	114996	300026
508	3483060	118892	1473743052	60731412	39987	88	89363	187588
509	1974106	82960	1475717158	60814372	26861	43	65511	133786
510	2481744	92881	1478198902	60907253	31255	16	74150	145776
511	3880823	132428	1482079725	61039681	43149	248	96176	212707
512	3777095	121439	1485856820	61161120	40518	69	89145	190701
513	4172407	134690	1490029227	61295810	44820	166	99684	214144
514	3911764	130140	1493940991	61425950	42768	240	93970	211967
515	4991331	165133	1498932322	61591083	49879	773	107765	276011
516	3266924	110289	1502199246	61701372	37388	55	83280	169950
517	869492	37485	1503068738	61738857	11894	167	30056	58591
518	15072061	4901459	1518140799	66640316	136317	105239	178492	13405045
519	2760080	189098	1520900879	66829414	31703	2192	73698	563642
520	608	213	1520901487	66829627	24	11	29	428
521	2714206	107741	1523615693	66937368	34734	52	86010	176552
522	2826093	112061	1526441786	67049429	34203	488	79811	204329
523	3112395	135661	1529554181	67185090	35237	1695	79572	341373
524	3088209	120181	1532642390	67305271	35411	902	79651	250454
525	102633493	39171762	1635275883	106477033	857754	857747	861270	108199993
526	3147299	111083	1638423182	106588116	36112	297	81628	182351
527	2231196	92108	1640654378	106680224	29864	146	72338	149125
528	2129017	86858	1642783395	106767082	28384	82	69711	139407
529	3147949	105877	1645931344	106872959	36031	29	81804	164302
530	3318000	110742	1649249344	106983701	37610	49	84431	171276
531	25229237	9425347	1674478581	116409048	206738	206717	211894	26049901
532	306189	116869	1674784770	116525917	2654	2632	2726	318629
533	4438943	143827	1679223713	116669744	45747	449	101361	244936
534	2511883	96512	1681735596	116766256	31418	119	76144	156362
535	7985337	3041043	1689720933	119807299	67085	67064	67148	8421174
536	2105967	88679	1691826900	119895978	28604	155	69174	141326
537	3214568	115066	1695041468	120011044	36442	241	83097	246860
538	4677230	161929	1699718698	120172973	48127	989	105086	307968
539	7549488	344388	1707268186	120517361	68779	4209	147831	1495324
540	2089055	89275	1709357241	120606636	28931	204	68749	143625
541	3426501	131999	1712783742	120738635	41422	372	99070	234004
542	158	64	1712783900	120738699	6	2	6	73
543	2020128	87866	1714804028	120826565	27903	302	67359	144434
544	1978641	84132	1716782669	120910697	27122	16	65862	125875
545	3925800	361257	1720708469	121271954	54149	13415	137208	978495
546	2011694	85851	1722720163	121357805	27614	23	66925	129070
547	2060531	94081	1724780694	121451886	28334	732	68080	175784
548	1978642	84062	1726759336	121535948	27130	14	65866	125778
549	4015435	182291	1730774771	121718239	53658	1749	111297	323620
550	2088854	86540	1732863625	121804779	28756	15	69953	135028
551	2096497	88948	1734960122	121893727	28510	233	68649	144565
552	2080640	87429	1737040762	121981156	28317	17	68345	130995
553	2062302	100921	1739103064	122082077	28682	1345	68586	182791
554	2294538	99376	1741397602	122181453	31639	393	73981	171341
555	2138474	90350	1743536076	122271803	29746	129	71271	142569
556	1843791	80187	1745379867	122351990	25842	15	63417	119398
557	2069099	85173	1747448966	122437163	28178	72	67388	131697
558	3928380	193491	1751377346	122630654	46495	2982	110084	452595
559	4136152	131443	1755513498	122762097	42923	220	94288	222402
560	3536882	109359	1759050380	122871456	37182	27	84456	169992
561	2118169	93635	1761168549	122965091	29350	337	70917	155368
562	1978548	84035	1763147097	123049126	27121	13	65855	125677
563	2114844	90554	1765261941	123139680	28781	398	69065	148224
564	2317281	90401	1767579222	123230081	29659	32	72664	145267
565	2469287	99327	1770048509	123329408	31384	334	76101	167963
566	2324616	104783	1772373125	123434191	30304	857	73374	209139
567	2342450	101293	1774715575	123535484	29440	369	71383	244851
568	2162199	89554	1776877774	123625038	28852	170	70287	152222
569	2321400	87677	1779199174	123712715	29206	23	70980	137574
