tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire	p29_wire	p29_cum_wire	p29_ratio	p29_b_root	p29_b_need	p29_b_fill
0	2364113	2364113	586990	586990	0	-1	0	4.03	NA	0	439796	439796	5.38	4323	4198	431225
1	2525815	4889928	207453	794443	0	-1	0	6.16	NA	0	103390	543186	9.00	4619	520	98227
2	2749866	7639794	172550	966993	0	-1	0	7.90	NA	0	66597	609783	12.53	4894	196	61483
3	2156755	9796549	98361	1065354	0	-1	0	9.20	NA	0	17591	627374	15.62	4147	103	13317
4	2024712	11821261	86180	1151534	0	-1	0	10.27	NA	0	8268	635642	18.60	4090	45	4109
5	1957958	13779219	103805	1255339	0	-1	0	10.98	NA	0	22506	658148	20.94	4644	713	17125
6	2091912	15871131	88913	1344252	0	-1	0	11.81	NA	0	10186	668334	23.75	4172	37	5953
7	2172271	18043402	88255	1432507	0	-1	0	12.60	NA	398458	7380	675714	26.70	4251	39	3066
8	2023269	20066671	83746	1516253	0	-1	0	13.23	NA	398458	5458	681172	29.46	4133	29	1272
9	2164713	22231384	88477	1604730	0	-1	0	13.85	NA	398458	8808	689980	32.22	4141	45	4598
10	2197076	24428460	90683	1695413	0	-1	0	14.41	NA	398458	5518	695498	35.12	254	57	5183
11	2032919	26461379	83610	1779023	0	-1	0	14.87	NA	398458	5071	700569	37.77	4039	29	979
12	2070861	28532240	88851	1867874	0	-1	0	15.28	NA	398458	4506	705075	40.47	239	47	4196
13	2642429	31174669	135288	2003162	0	-1	0	15.56	NA	398458	31725	736800	42.31	4452	97	27152
14	2078480	33253149	95051	2098213	0	-1	0	15.85	NA	398458	11665	748465	44.43	128	81	11432
15	2017151	35270300	86695	2184908	0	-1	0	16.14	NA	432936	6973	755438	46.69	4105	29	2815
16	1186096	36456396	51385	2236293	0	-1	0	16.30	NA	432936	3262	758700	48.05	374	29	2835
17	804563	37260959	32546	2268839	0	-1	0	16.42	NA	432936	2527	761227	48.95	1592	27	884
18	2278690	39539649	104791	2373630	0	-1	0	16.66	NA	432936	18837	780064	50.69	3838	85	14890
19	3728430	43268079	293885	2667515	0	-1	0	16.22	NA	432936	159696	939760	46.04	4994	389	154289
20	1972844	45240923	85660	2753175	0	-1	0	16.43	NA	432936	4887	944647	47.89	42	37	4784
21	2144957	47385880	128167	2881342	0	-1	0	16.45	NA	432936	30418	975065	48.60	4422	61	25911
22	2803559	50189439	148536	3029878	0	-1	0	16.56	NA	432936	50875	1025940	48.92	4238	382	46231
23	2608982	52798421	201528	3231406	0	-1	0	16.34	NA	638122	90656	1116596	47.29	4976	614	85042
24	2711408	55509829	122612	3354018	0	-1	0	16.55	NA	638122	14895	1131491	49.06	5043	63	9765
25	2754076	58263905	120637	3474655	0	-1	0	16.77	NA	638122	10434	1141925	51.02	4780	51	5579
26	2231230	60495135	90597	3565252	0	-1	0	16.97	NA	638122	6417	1148342	52.68	4255	35	2103
27	2035107	62530242	98585	3663837	0	-1	0	17.07	NA	638122	14505	1162847	53.77	2416	31	12034
28	2229800	64760042	91875	3755712	0	-1	0	17.24	NA	638122	6725	1169572	55.37	3664	59	2978
29	340176	65100218	27918	3783630	0	-1	0	17.21	NA	638122	18062	1187634	54.82	32	29	17977
30	2157873	67258091	87513	3871143	0	-1	0	17.37	NA	638122	7166	1194800	56.29	4114	37	2991
31	2338973	69597064	104489	3975632	0	-1	0	17.51	NA	682760	18542	1213342	57.36	4154	39	14325
32	2900286	72497350	156090	4131722	0	-1	0	17.55	NA	682760	32351	1245693	58.20	855	148	31324
33	2318494	74815844	97000	4228722	0	-1	0	17.69	NA	682760	7183	1252876	59.72	99	37	7023
34	2183853	76999697	85928	4314650	0	-1	0	17.85	NA	682760	1312	1254188	61.39	30	25	1233
35	1990855	78990552	100600	4415250	0	-1	0	17.89	NA	682760	20033	1274221	61.99	4583	368	15058
36	2154058	81144610	90893	4506143	0	-1	0	18.01	NA	682760	8430	1282651	63.26	4346	41	4019
37	1128812	82273422	49083	4555226	0	-1	0	18.06	NA	682760	4373	1287024	63.93	2016	37	2296
38	2187559	84460981	97453	4652679	0	-1	0	18.15	NA	682760	8462	1295486	65.20	391	39	8008
39	2198654	86659635	91157	4743836	0	-1	0	18.27	NA	733364	12293	1307779	66.26	4095	63	8111
40	1931435	88591070	85849	4829685	0	-1	0	18.34	NA	733364	8631	1316410	67.30	4262	25	4320
41	1930969	90522039	84248	4913933	0	-1	0	18.42	NA	733364	7259	1323669	68.39	4299	25	2911
42	2258959	92780998	100847	5014780	0	-1	0	18.50	NA	733364	13238	1336907	69.40	3272	65	9877
43	1954631	94735629	84622	5099402	0	-1	0	18.58	NA	733364	2456	1339363	70.73	30	25	2377
44	2180122	96915751	95751	5195153	0	-1	0	18.66	NA	733364	8016	1347379	71.93	154	55	7783
45	1988692	98904443	85019	5280172	0	-1	0	18.73	NA	733364	2126	1349505	73.29	69	35	1998
46	1973702	100878145	86673	5366845	0	-1	0	18.80	NA	733364	8215	1357720	74.30	4103	29	4059
47	2158936	103037081	90814	5457659	0	-1	0	18.88	NA	755699	10403	1368123	75.31	4092	29	6258
48	2227342	105264423	96215	5553874	0	-1	0	18.95	NA	755699	9831	1377954	76.39	104	55	9648
49	2539200	107803623	144510	5698384	0	-1	0	18.92	NA	755699	42915	1420869	75.87	4351	51	38489
50	2175896	109979519	88590	5786974	0	-1	0	19.00	NA	755699	1818	1422687	77.30	42	31	1721
51	2230579	112210098	91008	5877982	0	-1	0	19.09	NA	755699	6166	1428853	78.53	4349	29	1764
52	811012	113021110	34521	5912503	0	-1	0	19.12	NA	755699	3928	1432781	78.88	1589	23	2292
53	2095473	115116583	89795	6002298	0	-1	0	19.18	NA	755699	5768	1438549	80.02	2426	41	3277
54	2325526	117442109	104460	6106758	0	-1	0	19.23	NA	755699	11812	1450361	80.97	48	39	11701
55	2224832	119666941	91232	6197990	0	-1	0	19.31	NA	799897	6817	1457178	82.12	4237	33	2523
56	1979969	121646910	87348	6285338	0	-1	0	19.35	NA	799897	5580	1462758	83.16	471	126	4959
57	2343022	123989932	102951	6388289	0	-1	0	19.41	NA	799897	14879	1477637	83.91	3754	49	11052
58	2053542	126043474	85218	6473507	0	-1	0	19.47	NA	799897	2190	1479827	85.17	30	25	2111
59	1848150	127891624	80559	6554066	0	-1	0	19.51	NA	799897	4553	1484380	86.16	3999	29	501
60	2080255	129971879	88959	6643025	0	-1	0	19.57	NA	799897	5226	1489606	87.25	33	27	5142
61	2193366	132165245	84812	6727837	0	-1	0	19.64	NA	799897	780	1490386	88.68	85	27	644
62	2144778	134310023	89505	6817342	0	-1	0	19.70	NA	799897	4585	1494971	89.84	61	39	4461
63	2133036	136443059	89455	6906797	0	-1	0	19.75	NA	819129	7879	1502850	90.79	2422	53	5380
64	2146766	138589825	90976	6997773	0	-1	0	19.80	NA	819129	4160	1507010	91.96	53	35	4048
65	1961807	140551632	90380	7088153	0	-1	0	19.83	NA	819129	7647	1514657	92.79	53	27	7543
66	2115257	142666889	89211	7177364	0	-1	0	19.88	NA	819129	6094	1520751	93.81	2493	45	3532
67	2721104	145387993	126948	7304312	0	-1	0	19.90	NA	819129	22380	1543131	94.22	211	63	22082
68	2432008	147820001	104018	7408330	0	-1	0	19.95	NA	819129	8645	1551776	95.26	327	35	8259
69	2515999	150336000	104609	7512939	0	-1	0	20.01	NA	819129	12813	1564589	96.09	4167	69	8553
70	2868901	153204901	149198	7662137	0	-1	0	20.00	NA	819129	39233	1603822	95.52	530	113	38566
71	2395218	155600119	97500	7759637	0	-1	0	20.05	NA	873972	3081	1606903	96.83	46	33	2978
72	2371626	157971745	98180	7857817	0	-1	0	20.10	NA	873972	4220	1611123	98.05	163	39	3994
73	2083801	160055546	85593	7943410	0	-1	0	20.15	NA	873972	6388	1617511	98.95	4075	29	2260
74	2171678	162227224	90866	8034276	0	-1	0	20.19	NA	873972	8173	1625684	99.79	4439	29	3681
75	2079828	164307052	88079	8122355	0	-1	0	20.23	NA	873972	4787	1630471	100.77	47	33	4683
76	2107367	166414419	86679	8209034	0	-1	0	20.27	NA	873972	6287	1636758	101.67	4079	35	2149
77	2144943	168559362	87414	8296448	0	-1	0	20.32	NA	873972	3982	1640740	102.73	2320	31	1607
78	2134812	170694174	84014	8380462	0	-1	0	20.37	NA	873972	656	1641396	103.99	34	27	571
79	2142802	172836976	86835	8467297	0	-1	0	20.41	NA	885639	5237	1646633	104.96	4028	29	1156
80	2097141	174934117	85586	8552883	0	-1	0	20.45	NA	885639	4786	1651419	105.93	2377	37	2348
81	2208781	177142898	93638	8646521	0	-1	0	20.49	NA	885639	4338	1655757	106.99	242	27	4045
82	2124692	179267590	85738	8732259	0	-1	0	20.53	NA	885639	2079	1657836	108.13	107	29	1919
83	2096365	181363955	85300	8817559	0	-1	0	20.57	NA	885639	2187	1660023	109.25	119	27	2017
84	2109446	183473401	89630	8907189	0	-1	0	20.60	NA	885639	3833	1663856	110.27	37	29	3743
85	1938917	185412318	83612	8990801	0	-1	0	20.62	NA	885639	1866	1665722	111.31	57	27	1758
86	1091762	186504080	49035	9039836	0	-1	0	20.63	NA	885639	5832	1671554	111.58	1808	45	3955
87	2066228	188570308	94946	9134782	0	-1	0	20.64	NA	903917	10233	1681787	112.12	48	35	10126
88	2122662	190692970	94442	9229224	0	-1	0	20.66	NA	903917	9373	1691160	112.76	96	35	9218
89	866805	191559775	43357	9272581	0	-1	0	20.66	NA	903917	9006	1700166	112.67	1323	37	7622
90	875623	192435398	47453	9320034	0	-1	0	20.65	NA	903917	12507	1712673	112.36	1694	107	10682
91	1393722	193829120	75905	9395939	0	-1	0	20.63	NA	903917	18520	1731193	111.96	1487	113	16896
92	1218267	195047387	59347	9455286	0	-1	0	20.63	NA	903917	8969	1740162	112.09	2396	57	6492
93	2053765	197101152	93052	9548338	0	-1	0	20.64	NA	903917	8711	1748873	112.70	190	25	8472
94	1026436	198127588	45960	9594298	0	-1	0	20.65	NA	903917	5146	1754019	112.96	1992	35	3095
95	2426369	200553957	210943	9805241	0	-1	0	20.45	NA	1007084	98149	1852168	108.28	4733	1149	92243
96	1061132	201615089	52983	9858224	0	-1	0	20.45	NA	1007084	10014	1862182	108.27	1947	59	7984
97	1089866	202704955	47168	9905392	0	-1	0	20.46	NA	1007084	1423	1863605	108.77	28	25	1346
98	649898	203354853	26998	9932390	0	-1	0	20.47	NA	1007084	4395	1868000	108.86	1013	39	3319
99	1085211	204440064	47071	9979461	0	-1	0	20.49	NA	1007084	3887	1871887	109.22	2175	27	1661
100	931709	205371773	45318	10024779	0	-1	0	20.49	NA	1007084	6507	1878394	109.33	178	33	6272
101	853345	206225118	37176	10061955	0	-1	0	20.50	NA	1007084	4272	1882666	109.54	338	77	3833
102	1063005	207288123	48566	10110521	0	-1	0	20.50	NA	1007084	5317	1887983	109.79	1986	29	3278
103	2021777	209309900	84765	10195286	0	-1	0	20.53	NA	1024771	4886	1892869	110.58	2676	31	2155
104	1842478	211152378	82563	10277849	0	-1	0	20.54	NA	1024771	3897	1896766	111.32	2575	37	1261
105	839718	211992096	33583	10311432	0	-1	0	20.56	NA	1024771	1303	1898069	111.69	313	35	931
106	856092	212848188	37065	10348497	0	-1	0	20.57	NA	1024771	4692	1902761	111.86	1354	35	3279
107	1820234	214668422	82075	10430572	0	-1	0	20.58	NA	1024771	2173	1904934	112.69	26	23	2100
108	840054	215508476	35787	10466359	0	-1	0	20.59	NA	1024771	2891	1907825	112.96	123	33	2711
109	873697	216382173	36775	10503134	0	-1	0	20.60	NA	1024771	1986	1909811	113.30	32	27	1903
110	910026	217292199	40140	10543274	0	-1	0	20.61	NA	1024771	4722	1914533	113.50	1756	41	2901
111	2032426	219324625	88605	10631879	951028	0	1	20.63	230.62	1036431	7889	1922422	114.09	2277	59	5529
112	788879	220113504	32661	10664540	951028	0	0	20.64	231.45	1036431	2535	1924957	114.35	1107	29	1375
113	823749	220937253	32987	10697527	951028	0	0	20.65	232.31	1036431	1328	1926285	114.70	90	79	1135
114	827818	221765071	34575	10732102	951028	0	0	20.66	233.18	1036431	2613	1928898	114.97	90	79	2420
115	833291	222598362	33411	10765513	951028	0	0	20.68	234.06	1036431	1675	1930573	115.30	310	65	1276
116	865976	223464338	36447	10801960	951028	0	0	20.69	234.97	1036431	3293	1933866	115.55	293	69	2907
117	823959	224288297	33335	10835295	951028	0	0	20.70	235.84	1036431	1665	1935531	115.88	90	79	1472
118	828337	225116634	34512	10869807	951028	0	0	20.71	236.71	1036431	3495	1939026	116.10	1131	79	2261
119	1941425	227058059	83545	10953352	951028	0	0	20.73	238.75	1042452	1280	1940306	117.02	94	31	1131
120	2339464	229397523	109140	11062492	951028	0	0	20.74	241.21	1042452	17383	1957689	117.18	411	47	16901
121	1502031	230899554	65361	11127853	951028	0	0	20.75	242.79	1042452	4835	1962524	117.65	3242	29	1540
122	1856259	232755813	83868	11211721	951028	0	0	20.76	244.74	1042452	9621	1972145	118.02	4180	113	5304
123	1836063	234591876	81612	11293333	951028	0	0	20.77	246.67	1042452	5832	1977977	118.60	4006	35	1767
124	1826652	236418528	80902	11374235	951028	0	0	20.79	248.59	1042452	5425	1983402	119.20	4012	27	1362
125	2280466	238698994	109412	11483647	951028	0	0	20.79	250.99	1042452	24004	2007406	118.91	3646	67	20267
126	1825852	240524846	80195	11563842	951028	0	0	20.80	252.91	1042452	4676	2012082	119.54	3508	29	1115
127	2014222	242539068	85994	11649836	951028	0	0	20.82	255.03	1069569	1189	2013271	120.47	38	29	1098
128	2114877	244653945	87053	11736889	951028	0	0	20.84	257.25	1069569	2327	2015598	121.38	98	30	2172
129	2010535	246664480	85957	11822846	951028	0	0	20.86	259.37	1069569	2663	2018261	122.22	1797	28	811
130	2483424	249147904	109377	11932223	951028	0	0	20.88	261.98	1069569	22969	2041230	122.06	134	48	22760
131	2485872	251633776	102231	12034454	951028	0	0	20.91	264.59	1069569	12972	2054202	122.50	4271	60	8614
132	2102661	253736437	92641	12127095	951028	0	0	20.92	266.80	1069569	6927	2061129	123.11	48	38	6814
133	2255861	255992298	99799	12226894	951028	0	0	20.94	269.17	1069569	7780	2068909	123.73	278	60	7415
134	1854886	257847184	84224	12311118	951028	0	0	20.94	271.12	1069569	5791	2074700	124.28	1647	40	4077
135	2021571	259868755	83053	12394171	951028	0	0	20.97	273.25	1091303	1014	2075714	125.19	31	26	930
136	273380	260142135	12860	12407031	951028	0	0	20.97	273.54	1091303	2889	2078603	125.15	460	72	2330
137	2141761	262283896	86471	12493502	951028	0	0	20.99	275.79	1091303	3909	2082512	125.95	1883	34	1965
138	866457	263150353	38845	12532347	951028	0	0	21.00	276.70	1091303	2983	2085495	126.18	1872	98	986
139	2125819	265276172	93035	12625382	951028	0	0	21.01	278.94	1091303	9334	2094829	126.63	2702	113	6492
140	2012273	267288445	84169	12709551	951028	0	0	21.03	281.05	1091303	6546	2101375	127.20	4219	86	2214
141	866611	268155056	38421	12747972	951028	0	0	21.04	281.96	1091303	2075	2103450	127.48	1748	28	272
142	2074012	270229068	87932	12835904	951028	0	0	21.05	284.14	1091303	4502	2107952	128.20	133	40	4302
143	646	270229714	185	12836089	951028	0	0	21.05	284.14	1104841	290	2108242	128.18	33	28	202
144	3756776	273986490	120870	12956959	951028	0	0	21.15	288.10	1104841	18413	2126655	128.83	5236	200	12950
145	8674	273995164	494	12957453	951028	0	0	21.15	288.10	1104841	329	2126984	128.82	112	20	170
146	223874	274219038	28681	12986134	951028	0	0	21.12	288.34	1104841	12195	2139179	128.19	344	18	11806
147	2042090	276261128	87535	13073669	951028	0	0	21.13	290.49	1104841	4516	2143695	128.87	45	36	4408
