tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
0	7069925	1426248	7069925	1426248	87207	87207	246945	5177247
1	4103275	181281	11173200	1607529	51369	563	146405	342588
2	7176133	309345	18349333	1916874	87815	1005	249167	610140
3	6224340	260455	24573673	2177329	75094	425	219795	495709
4	8166516	378256	32740189	2555585	92077	5200	265922	1034197
5	6348398	263788	39088587	2819373	75622	706	221882	543757
6	7789896	378296	46878483	3197669	92299	5040	263134	907387
7	3233616	136733	50112099	3334402	40642	240	114990	260146
8	5851842	242665	55963941	3577067	68781	745	205302	504031
9	6238873	260990	62202814	3838057	74953	504	219567	516772
10	3218884	135061	65421698	3973118	40569	137	114762	252473
11	6381050	267727	71802748	4240845	75418	949	222123	568400
12	5611209	227590	77413957	4468435	65814	375	197299	457600
13	7574081	325414	84988038	4793849	89312	2020	256153	751107
14	7652092	368733	92640130	5162582	91288	4143	258631	876643
15	24011	1420	92664141	5164002	522	18	1032	2561
16	24039	1223	92688180	5165225	523	8	1033	2218
17	6349276	262384	99037456	5427609	75531	740	221330	547513
18	6803954	290799	105841410	5718408	83383	664	237983	562221
19	7471485	325966	113312895	6044374	90294	1672	255810	699850
20	23828	1219	113336723	6045593	523	8	1027	2006
21	3789287	165269	117126010	6210862	47228	668	132755	350638
22	6342375	269420	123468385	6480282	75762	968	221841	544928
23	6258057	264759	129726442	6745041	72837	1419	217180	582513
24	3474858	150595	133201300	6895636	42417	680	120505	316774
25	7039799	298954	140241099	7194590	86206	729	245017	593018
26	3303754	138653	143544853	7333243	41901	78	117931	250172
27	3072809	125774	146617662	7459017	37852	200	108109	241260
28	7792239	339478	154409901	7798495	89665	3080	258400	859894
29	6254866	257887	160664767	8056382	75118	354	220367	497887
30	6287332	260561	166952099	8316943	75272	477	220647	522493
31	4536210	180810	171488309	8497753	50621	879	156369	396418
32	8107854	356598	179596163	8854351	91496	4066	266308	946239
33	7076256	298658	186672419	9153009	86089	818	245548	600145
34	5487586	221717	192160005	9374726	64511	170	193898	434141
35	7389537	315863	199549542	9690589	83839	2560	245747	761139
36	7130980	304732	206680522	9995321	87337	903	247577	604605
37	7325119	320861	214005641	10316182	87962	1916	250722	691717
38	8429800	354026	222435441	10670208	85986	5173	262606	1079315
39	8200336	350678	230635777	11020886	91168	3799	265180	970324
40	5437100	220102	236072877	11240988	63607	294	191135	443156
41	6260569	264061	242333446	11505049	75385	560	220582	508883
42	6811262	283445	249144708	11788494	77503	1878	229457	686074
43	7622579	338032	256767287	12126526	90236	2732	257918	787669
44	6603791	288387	263371078	12414913	77167	2096	226610	657139
45	5641210	242431	269012288	12657344	67001	955	201178	483126
46	7504302	320989	276516590	12978333	89743	1679	256192	719672
47	3837985	164019	280354575	13142352	47663	270	136394	304925
48	6818735	282555	287173310	13424907	82170	746	236598	595328
49	7176383	300615	294349693	13725522	87770	589	249165	597334
50	23896	1158	294373589	13726680	522	6	1032	1990
51	7933729	346813	302307318	14073493	91528	3330	263373	882913
52	6545807	273825	308853125	14347318	78362	533	227887	542723
53	9246475	419410	318099600	14766728	97193	7947	289562	1357029
54	7889281	341785	325988881	15108513	90437	2995	261909	860969
55	7291990	306446	333280871	15414959	88058	955	250727	640980
