group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	112	404433872	10503570	1216755	332.39	0	0	168172	10997	10997	6403	4594	tu
1	112	224	423356880	6957168	855817	494.68	0	404433872	112977	16208	16208	11138	5070	tu
2	224	336	258284061	2476863	296797	870.24	0	827790752	40939	7703	7703	5108	2595	tu
3	336	448	272097910	5088548	578536	470.32	12332989	1073741824	87575	58613	14145	11062	3083	tu
4	448	560	336095262	7803003	875616	383.84	284430899	1073741824	157681	83094	55622	51142	4480	tu
5	560	672	284615863	4147316	514544	553.14	620526161	1073741824	68813	26889	12236	8592	3644	tu
6	672	784	273533566	4146223	564845	484.26	905142024	1073741824	66892	24931	11947	9392	2555	tu
7	784	896	211592897	4940624	666125	317.65	1178675590	1073741824	82141	43580	14041	11872	2169	tu
8	896	1008	369964738	6905711	841298	439.75	1390268487	1073741824	115191	64250	22026	18270	3756	tu
9	1008	1120	442700204	4983131	622514	711.15	1760233225	1073741824	83506	44898	16455	12076	4379	tu
10	1120	1232	331069674	3974073	531525	622.87	2202933429	1073741824	66316	28640	12848	8496	4352	tu
11	1232	1238	12526413	626668	73607	170.18	2534003103	1073741824	12308	11671	1368	1197	171	tu
