tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
0	2271271	486803	2271271	486803	29237	29237	82802	1741249
1	2427956	135658	4699227	622461	30665	2026	87104	308367
2	2320434	98314	7019661	720775	29805	87	84357	166363
3	2405067	100271	9424728	821046	30566	46	86635	168057
4	2424637	100689	11849365	921735	30647	51	86952	169669
5	2672906	145927	14522271	1067662	33221	2290	94827	318120
6	2420949	102744	16943220	1170406	30560	165	86806	177324
7	2636832	116071	19580052	1286477	32838	666	93647	210181
8	2636899	108293	22216951	1394770	32838	61	93647	183665
9	2276151	97309	24493102	1492079	29366	94	83053	163015
10	2459881	105845	26952983	1597924	30941	332	87967	189363
11	2579598	105359	29532581	1703283	32017	78	91199	179907
12	3111738	223263	32644319	1926546	38211	7445	110313	653353
13	2453083	102137	35097402	2028683	30875	87	87743	173433
14	3140841	125851	38238243	2154534	38453	43	111280	221174
15	2520090	113388	40758333	2267922	31515	589	89500	222964
16	3230463	143188	43988796	2411110	39226	666	113846	267686
17	2435196	100848	46423992	2511958	30720	49	87298	168544
18	2421313	100107	48845305	2612065	30630	34	86871	167866
19	2424860	100249	51270165	2712314	30649	34	86955	168478
20	2421157	101357	53691322	2813671	30570	80	86929	172036
21	3294270	130031	56985592	2943702	39799	28	115362	229311
22	2991780	125874	59977372	3069576	37067	318	107032	228197
23	2243242	95571	62220614	3165147	28932	57	81867	162156
24	2357096	100867	64577710	3266014	30031	212	84977	184697
25	2206374	94754	66784084	3360768	28696	56	80951	158788
26	2206105	94320	68990189	3455088	28694	36	80950	157663
27	2221070	94858	71211259	3549946	28779	51	81359	159022
28	1947178	86411	73158437	3636357	26308	39	73922	139879
29	2128442	93624	75286879	3729981	28024	157	78774	162713
30	2367154	99622	77654033	3829603	30111	75	85426	174637
31	2360643	105924	80014676	3935527	30157	531	85184	192933
32	2001109	88326	82015785	4023853	26751	53	75289	145166
33	2218995	95143	84234780	4118996	28852	39	81402	161210
34	2221096	95466	86455876	4214462	28862	45	81423	163164
35	2129659	92189	88585535	4306651	27993	74	78744	158045
36	2247320	96929	90832855	4403580	28962	100	81850	180509
37	2510325	106131	93343180	4509711	31374	250	89286	190029
38	2367646	99916	95710826	4609627	30132	84	85438	172178
39	2218055	95075	97928881	4704702	28872	50	81419	157057
40	2259459	99577	100188340	4804279	29066	244	81765	197321
41	2342905	99347	102531245	4903626	29882	75	84683	181927
42	2218314	94941	104749559	4998567	28872	48	81421	157135
43	2215383	94021	106964942	5092588	28841	20	81396	154433
44	2542324	107300	109507266	5199888	32714	138	91295	187808
45	2256868	96063	111764134	5295951	29116	52	82297	160072
46	2244955	95707	114009089	5391658	28952	51	81877	159865
47	2374112	100698	116383201	5492356	30179	121	85540	176692
48	2349335	98770	118732536	5591126	29980	58	84909	167097
49	2358544	100277	121091080	5691403	30029	157	85223	176267
50	3060837	123678	124151917	5815081	37718	74	109029	218488
51	2369403	101985	126521320	5917066	30187	315	85062	207738
52	2373013	100756	128894333	6017822	30201	259	85074	202166
53	2377010	99825	131271343	6117647	30187	125	85061	201489
54	2381057	99839	133652400	6217486	30201	132	85073	204623
55	2402776	101166	136055176	6318652	30456	161	85972	190077
56	2405301	100639	138460477	6419291	30469	132	85984	188716
57	2405513	100900	140865990	6520191	30456	128	85977	189992
58	2408013	100617	143274003	6620808	30469	132	85984	191427
59	2328322	98445	145602325	6719253	29844	52	84519	165936
60	2434997	101649	148037322	6820902	30204	286	86038	230948
61	2345615	99277	150382937	6920179	29962	139	84913	179188
62	2387226	99827	152770163	7020006	30238	131	85795	182252
63	2375009	100325	155145172	7120331	30193	145	85455	181199
64	2342102	98355	157487274	7218686	29933	39	84814	168187
65	3010053	122935	160497327	7341621	37298	89	107504	220614
66	2852520	117754	163349847	7459375	35977	79	103257	204878
67	2993519	122184	166343366	7581559	37163	51	107080	215165
68	2305589	96125	168648955	7677684	29397	60	83303	166114
69	2852488	116932	171501443	7794616	35977	33	103258	202390
70	2993495	121826	174494938	7916442	37163	41	107082	214445
71	2869240	117996	177364178	8034438	36042	79	103456	206505
72	3000296	122921	180364474	8157359	37213	95	107194	220385
73	2376953	99055	182741427	8256414	30170	80	85551	174286
74	2345793	97992	185087220	8354406	29930	79	84735	172100
75	2370703	99259	187457923	8453665	30061	170	84944	193511
76	2377683	99999	189835606	8553664	30175	85	85603	175913
77	2206188	94308	192041794	8647972	28693	37	80947	157798
78	3001004	124713	195042798	8772685	37453	191	107423	223008
79	2972283	122471	198015081	8895156	37088	133	106691	218496
80	3012646	123352	201027727	9018508	37335	97	107582	220290
81	2368681	100171	203396408	9118679	30142	130	85348	176542
82	2377693	100398	205774101	9219077	30200	121	85632	175485
83	2400484	99890	208174585	9318967	30334	53	86259	175294
84	3013940	122916	211188525	9441883	37312	81	107567	222822
85	2377649	99100	213566174	9540983	30174	38	85603	173587
86	3005612	122319	216571786	9663302	37268	44	107442	215815
87	2348487	99940	218920273	9763242	29975	134	84736	175731
88	2348611	98629	221268884	9861871	29972	85	84765	173678
89	2337947	98770	223606831	9960641	29947	79	84679	171272
90	2337992	98300	225944823	10058941	29946	78	84711	172971
91	2344278	99057	228289101	10157998	29936	73	84702	167675
92	2344556	98784	230633657	10256782	29940	60	84702	167196
93	2330751	98912	232964408	10355694	29879	77	84536	168549
94	2331112	98682	235295520	10454376	29883	65	84545	168041
95	2346925	99825	237642445	10554201	29954	104	84728	174350
96	2328573	98088	239971018	10652289	29874	52	84555	164096
97	2372874	100850	242343892	10753139	30140	239	85077	191974
98	2273420	97971	244617312	10851110	29268	257	82212	186895
99	3038128	126122	247655440	10977232	37514	238	108077	235148
100	2372439	100830	250027879	11078062	30204	125	85401	185120
101	2376944	102066	252404823	11180128	30199	206	85381	196121
102	2368489	99107	254773312	11279235	30086	91	85415	172971
103	2368621	97893	257141933	11377128	30087	30	85415	166359
104	2368771	97898	259510704	11475026	30087	30	85415	166509
105	2368746	97904	261879450	11572930	30087	30	85415	166484
106	2368198	97910	264247648	11670840	30086	29	85414	165930
107	2371350	98539	266618998	11769379	30093	37	85445	168795
108	2365502	98221	268984500	11867600	30070	37	85368	167790
109	2365636	97530	271350136	11965130	30071	5	85368	163884
110	2365786	97528	273715922	12062658	30071	5	85368	163884
111	2365761	97532	276081683	12160190	30071	5	85368	163884
