group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	8	9031025	1268292	129910	69.52	0	0	19919	202	202	95	107	tu
1	8	16	7908828	1108091	115653	68.38	0	9031025	17792	641	641	250	391	tu
2	16	24	9910220	558080	69791	142.00	0	16939853	8945	449	449	173	276	tu
3	24	32	5908379	36938	7095	832.75	0	26850073	625	91	91	8	83	tu
4	32	40	7970295	25704	5189	1536.00	0	32758452	517	123	123	8	115	tu
5	40	48	7851215	109128	17012	461.51	0	40728747	1763	156	156	35	121	tu
6	48	56	6792484	37672	7305	929.84	0	48579962	640	118	118	17	101	tu
7	56	64	7384515	32001	6184	1194.13	0	55372446	639	147	147	11	136	tu
8	64	72	7356138	58610	9378	784.40	0	62756961	1000	155	155	16	139	tu
9	72	80	6828153	57189	9434	723.78	0	70113099	1010	152	152	24	128	tu
10	80	88	9333119	43080	8225	1134.73	0	76941252	833	144	144	15	129	tu
11	88	96	9552437	63322	9847	970.09	0	86274371	1073	99	99	17	82	tu
12	96	104	11286534	208114	28934	390.08	0	95826808	3309	167	167	89	78	tu
13	104	112	11366529	86712	13238	858.63	0	107113342	1449	170	170	38	132	tu
14	112	120	11262066	66177	9954	1131.41	0	118479871	1156	89	89	19	70	tu
15	120	128	14087739	274463	25670	548.80	0	129741937	4818	589	589	134	455	tu
16	128	136	8792017	21244	3433	2561.03	0	143829676	379	76	76	11	65	tu
17	136	144	9807492	0	213	46044.56	0	152621693	3	3	3	0	3	tu
18	144	152	6204467	0	202	30715.18	0	162429185	1	1	1	0	1	tu
19	152	160	7847222	0	208	37727.03	0	168633652	2	2	2	0	2	tu
20	160	168	9107330	249	459	19841.68	0	176480874	5	2	2	0	2	tu
21	168	176	5302236	0	202	26248.69	0	185588204	1	1	1	0	1	tu
22	176	184	7352050	0	202	36396.29	0	190890440	1	1	1	0	1	tu
23	184	192	7356138	0	202	36416.52	0	198242490	1	1	1	0	1	tu
24	192	200	6828140	145	341	20023.87	0	205598628	6	4	4	0	4	tu
25	200	208	9332971	284	490	19046.88	0	212426768	6	4	4	0	4	tu
26	208	216	9552289	0	221	43223.03	0	221759739	5	5	5	0	5	tu
27	216	224	11286534	0	202	55873.93	0	231312028	1	1	1	0	1	tu
28	224	232	11366529	0	202	56269.95	0	242598562	1	1	1	0	1	tu
29	232	240	11617364	9244	2018	5756.87	0	253965091	153	28	28	3	25	tu
30	240	248	7566976	24687	5373	1408.33	0	265582455	593	217	217	10	207	tu
31	248	256	9453337	11647	3913	2415.88	0	273149431	390	265	265	8	257	tu
32	256	264	6655253	1921	1374	4843.71	0	282602768	136	133	133	0	133	tu
33	264	272	6462465	2173	1270	5088.56	0	289258021	149	148	148	0	148	tu
34	272	280	8538501	1839	1436	5946.03	0	295720486	157	157	157	1	156	tu
35	280	288	5754377	2471	1676	3433.40	0	304258987	140	127	127	1	126	tu
36	288	296	8260133	1838	1380	5985.60	0	310013364	149	149	149	0	149	tu
37	296	304	8622175	3810	2217	3889.12	0	318273497	245	226	226	1	225	tu
38	304	312	6554997	2009	1387	4726.03	0	326895672	166	160	160	0	160	tu
39	312	320	8304776	3008	1852	4484.22	0	333450669	214	204	204	0	204	tu
40	320	328	10693081	2289	1459	7329.05	0	341755445	272	272	272	0	272	tu
41	328	336	11405071	2333	1555	7334.45	0	352448526	215	215	215	0	215	tu
42	336	344	10923583	3219	1950	5601.84	0	363853597	234	224	224	2	222	tu
43	344	352	7701424	13982	2114	3643.06	0	374777180	321	111	111	11	100	tu
