group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	112	118479871	3692933	388779	304.75	0	0	59562	2814	2814	796	2018	tu
1	112	224	124118691	362562	35873	3459.95	0	118479871	6381	769	769	164	605	tu
2	224	336	121255035	69092	15247	7952.71	0	242598562	2970	2291	2291	24	2267	tu
3	336	448	121294958	18036	4311	28136.15	0	363853597	602	376	376	13	363	tu
4	448	560	118824381	39419	5302	22411.24	0	485148555	737	172	172	21	151	tu
5	560	672	118342313	49864	5138	23032.76	0	603972936	796	60	60	26	34	tu
6	672	784	144075692	4608341	168793	853.56	0	722315249	73463	5837	5837	3599	2238	tu
7	784	857	80861294	10798	2627	30780.85	0	866390941	209	47	47	16	31	tu
