group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	8	50112099	9108798	727796	68.85	0	0	143713	6947	6947	4831	2116	tu
1	8	16	42552042	1823747	77697	547.67	0	50112099	29185	2813	2813	2131	682	tu
2	16	24	37062301	1397089	56614	654.65	0	92664141	22296	2394	2394	1870	524	tu
3	24	32	41761867	1625035	55686	749.95	0	129726442	25917	3036	3036	2432	604	tu
4	32	40	59147468	5556058	147315	401.50	0	171488309	87164	11844	11844	10689	1155	tu
5	40	48	49718798	2376284	93577	531.31	0	230635777	37543	5901	5901	5414	487	tu
6	48	56	52926296	4617931	135721	389.96	0	280354575	72745	12384	12384	11797	587	tu
7	56	64	60829928	4348293	117112	519.42	0	333280871	68476	13508	13508	13102	406	tu
8	64	72	63505326	8152976	238388	266.39	0	394110799	127673	29549	29549	29205	344	tu
9	72	80	58495326	5524431	140595	416.06	0	457616125	86535	23598	23598	23197	401	tu
10	80	88	60421157	4324713	118708	508.99	0	516111451	67985	19964	19964	19842	122	tu
11	88	96	60994481	4707303	158362	385.16	0	576532608	73854	23565	23565	23239	326	tu
12	96	104	61894055	5625900	152666	405.42	0	637527089	88510	30865	30865	30371	494	tu
13	104	112	40294936	1789002	70727	569.72	0	699421144	28179	10400	10400	9957	443	tu
14	112	120	49703952	4513896	105135	472.76	0	739716080	70766	27005	27005	26491	514	tu
15	120	128	45961907	1260240	57977	792.76	0	789420032	19887	8011	8011	7604	407	tu
16	128	136	41608730	1852785	67083	620.26	0	835381939	29300	11612	11612	11336	276	tu
17	136	144	48692248	1986464	74047	657.59	0	876990669	31432	12953	12953	12461	492	tu
18	144	152	52223129	2758190	69547	750.90	0	925682917	43527	18692	18692	17591	1101	tu
19	152	160	55379981	4239766	137401	403.05	0	977906046	67332	29520	29520	28821	699	tu
20	160	168	47258184	2035861	72627	650.70	0	1033286027	31745	14289	14289	13786	503	tu
21	168	176	46188281	2115246	185301	249.26	6802387	1073741824	37073	29154	15908	15555	353	tu
22	176	184	28924306	899455	102408	282.44	52990668	1073741824	15077	12284	6519	6171	348	tu
23	184	192	33567648	380466	47845	701.59	81914974	1073741824	6823	6039	3043	2768	275	tu
24	192	200	35332888	662312	75471	468.17	115482622	1073741824	11919	10343	5199	4736	463	tu
25	200	208	39801330	344399	42477	937.01	150815510	1073741824	5760	4390	2554	2218	336	tu
26	208	216	43444878	1386536	125946	344.95	190616840	1073741824	22078	11405	9086	8746	340	tu
27	216	224	44918059	486081	50169	895.33	234061718	1073741824	7724	5188	3152	2929	223	tu
28	224	232	42567599	918286	95207	447.11	278979777	1073741824	14488	7929	5731	5441	290	tu
29	232	240	47415921	711335	71003	667.80	321547376	1073741824	11300	5694	4285	3996	289	tu
30	240	248	48229562	535013	64661	745.88	368963297	1073741824	9135	6029	3520	3141	379	tu
31	248	256	34306914	346275	42905	799.60	417192859	1073741824	5619	3059	1985	1719	266	tu
32	256	264	38030737	219987	24623	1544.52	451499773	1073741824	3640	2171	1222	1089	133	tu
33	264	272	41618799	427093	51869	802.38	489530510	1073741824	6952	4849	2299	1944	355	tu
34	272	280	44389273	707475	73642	602.77	531149309	1073741824	11274	5759	3483	3145	338	tu
35	280	288	36330952	300874	32174	1129.20	575538582	1073741824	4985	2969	1603	1275	328	tu
36	288	296	37413916	377195	47949	780.29	611869534	1073741824	6358	4325	1966	1512	454	tu
37	296	304	34908968	1424516	82788	421.67	649283450	1073741824	22820	20200	5933	5583	350	tu
38	304	312	41573519	154244	20535	2024.52	684192418	1073741824	2964	1763	894	611	283	tu
39	312	320	26656563	158634	22893	1164.40	725765937	1073741824	2795	2111	790	536	254	tu
40	320	328	39971573	258156	27793	1438.19	752422500	1073741824	4242	3162	1107	797	310	tu
41	328	336	32153177	128557	16147	1991.28	792394073	1073741824	2134	1340	756	310	446	tu
