tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
0	1111313	258121	1111313	258121	16256	16256	42386	901760
1	1104640	51397	2215953	309518	16229	6	42301	71392
2	1111427	51865	3327380	361383	16256	18	42386	73985
3	1123736	52968	4451116	414351	16282	56	42518	81528
4	1119581	52770	5570697	467121	16277	53	42502	79296
5	1109391	52654	6680088	519775	16260	38	42381	74765
6	1224270	76614	7904358	596389	17677	1455	46339	164964
7	1126667	53157	9031025	649546	16290	62	42569	81860
8	1369741	95991	10400766	745537	19576	2514	51841	223028
9	1168350	61363	11569116	806900	17062	410	44774	96747
10	214310	10394	11783426	817294	3009	91	8020	18245
11	858997	40283	12642423	857577	12307	120	32750	60743
12	221150	9472	12863573	867049	3121	50	8226	16314
13	919338	44332	13782911	911381	13722	103	35797	65489
14	1813167	223446	15596078	1134827	23525	11075	66274	739934
15	1343775	63189	16939853	1198016	19266	99	50251	93508
16	840989	40114	17780842	1238130	12860	57	33171	58128
17	1361166	82249	19142008	1320379	19833	1391	52758	164030
18	1065261	48630	20207269	1369009	15037	37	40416	70502
19	1155706	70503	21362975	1439512	17097	1124	44925	132567
20	1254613	62960	22617588	1502472	18293	201	48490	97682
21	2156053	168960	24773641	1671432	30223	4937	81029	410806
22	630003	27873	25403644	1699305	9278	17	24341	41737
23	1446429	71881	26850073	1771186	20742	154	55293	110210
24	1543572	74341	28393645	1845527	21887	71	58635	109617
25	210007	8381	28603652	1853908	2943	19	7922	14649
26	1341834	67925	29945486	1921833	19874	143	51847	100516
27	11192	1157	29956678	1922990	266	40	426	2582
28	746326	34667	30703004	1957657	11045	36	29206	50168
29	802893	38129	31505897	1995786	12347	29	31949	54405
30	102214	4546	31608111	2000332	1599	16	4155	7806
31	1150341	57608	32758452	2057940	16959	167	44343	86915
32	1697061	79015	34455513	2136955	23215	158	63342	128017
33	811031	38034	35266544	2174989	12452	9	32198	53467
34	846319	39795	36112863	2214784	12921	13	33299	56429
35	851146	37797	36964009	2252581	12183	6	32541	54674
36	724853	32734	37688862	2285315	10683	6	28314	46391
37	1144269	54243	38833131	2339558	16856	29	44171	74819
38	622239	27169	39455370	2366727	9169	6	24122	39034
39	1273377	61686	40728747	2428413	18632	71	49158	88753
40	650986	28300	41379733	2456713	9516	9	25052	40832
41	354545	16529	41734278	2473242	5394	5	14469	24075
42	1149413	56850	42883691	2530092	16941	187	43705	86121
43	1240270	56883	44123961	2586975	17196	21	46789	82628
44	1705459	83493	45829420	2670468	24199	284	64871	135871
45	1619994	83028	47449414	2753496	23186	270	61830	129069
46	1113360	63974	48562774	2817470	16509	747	43184	121788
47	17188	1002	48579962	2818472	348	12	604	1645
48	803111	37929	49383073	2856401	12331	22	31923	54731
49	898645	42889	50281718	2899290	13661	22	35907	61047
50	1082936	50493	51364654	2949783	15894	13	41620	70862
51	810229	38045	52174883	2987828	12445	11	32185	54310
52	763024	35350	52937907	3023178	11191	36	29584	51706
53	5297	453	52943204	3023631	103	17	153	1416
54	921806	44655	53865010	3068286	14092	31	36660	61984
55	1507436	79273	55372446	3147559	21735	482	57794	125781
56	610513	23744	55982959	3171303	8050	21	21382	35368
57	58777	2539	56041736	3173842	996	14	2184	4209
58	915518	44594	56957254	3218436	13917	74	36432	63885
59	1425503	67534	58382757	3285970	20334	180	53203	103954
60	1084107	50629	59466864	3336599	15914	15	41646	70748
61	622851	27343	60089715	3363942	9179	15	24138	39584
62	1127345	52214	61217060	3416156	15739	72	42605	76182
63	1539901	72490	62756961	3488646	21965	12	58868	106606
