tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire	p29_wire	p29_cum_wire	p29_ratio	p29_b_root	p29_b_need	p29_b_fill
0	1111313	1111313	258121	258121	0	-1	0	4.31	NA	0	192116	192116	5.78	2981	2882	186203
1	1104640	2215953	51397	309518	0	-1	0	7.16	NA	0	3390	195506	11.33	2898	29	439
2	1111427	3327380	51865	361383	0	-1	0	9.21	NA	0	1032	196538	16.93	103	101	804
3	1123736	4451116	52968	414351	0	-1	0	10.74	NA	0	1925	198463	22.43	184	182	1535
4	1119581	5570697	52770	467121	0	-1	0	11.93	NA	0	1824	200287	27.81	180	183	1437
5	1109391	6680088	52654	519775	0	-1	0	12.85	NA	0	1520	201807	33.10	71	67	1358
6	1224270	7904358	76614	596389	0	-1	0	13.25	NA	0	20844	222651	35.50	216	197	20407
7	1126667	9031025	53157	649546	0	-1	0	13.90	NA	129910	2238	224889	40.16	216	220	1778
8	1369741	10400766	95991	745537	0	-1	0	13.95	NA	129910	33834	258723	40.20	503	457	32850
9	1168350	11569116	61363	806900	0	-1	0	14.34	NA	129910	5974	264697	43.71	233	133	5584
10	214310	11783426	10394	817294	0	-1	0	14.42	NA	129910	2819	267516	44.05	537	91	2167
11	858997	12642423	40283	857577	0	-1	0	14.74	NA	129910	5559	273075	46.30	2193	128	3214
12	221150	12863573	9472	867049	0	-1	0	14.84	NA	129910	1520	274595	46.85	511	27	958
13	919338	13782911	44332	911381	0	-1	0	15.12	NA	129910	4317	278912	49.42	2241	101	1951
14	1813167	15596078	223446	1134827	0	-1	0	13.74	NA	129910	143376	422288	36.93	3583	1432	138337
15	1343775	16939853	63189	1198016	0	-1	0	14.14	NA	245563	5278	427566	39.62	3426	63	1765
16	840989	17780842	40114	1238130	0	-1	0	14.36	NA	245563	3512	431078	41.25	2446	23	1019
17	1361166	19142008	82249	1320379	0	-1	0	14.50	NA	245563	21550	452628	42.29	3351	286	17889
18	1065261	20207269	48630	1369009	0	-1	0	14.76	NA	245563	3172	455800	44.33	2452	45	651
19	1155706	21362975	70503	1439512	0	-1	0	14.84	NA	245563	19334	475134	44.96	3000	204	16106
20	1254613	22617588	62960	1502472	0	-1	0	15.05	NA	245563	6248	481382	46.98	3158	105	2961
21	2156053	24773641	168960	1671432	0	-1	0	14.82	NA	245563	71964	553346	44.77	4989	763	66188
