tu	raw_bytes	wire_bytes	cumulative_raw_bytes	cumulative_wire_bytes	cumulative_ratio	exact
1	5348202	650708	5348202	650708	8.21905063408	true
2	5348204	896	10696406	651604	16.4155008257	true
3	5348198	529	16044604	652133	24.6032695784	true
4	5348178	65	21392782	652198	32.8010542811	true
5	5348216	65	26740998	652263	40.9972633738	true
6	5348218	73	32089216	652336	49.1912388708	true
7	5348244	63	37437460	652399	57.3843000986	true
8	5348246	62	42785706	652461	65.5758826964	true
9	5348518	62	48134224	652523	73.7663254782	true
10	5348202	64	53482426	652587	81.9544765679	true
11	5348180	70	58830606	652657	90.1401593793	true
12	5348180	62	64178786	652719	98.325291588	true
13	5348319	65	69527105	652784	106.508592429	true
14	5348303	68	74875408	652852	114.689712217	true
15	5348303	64	80223711	652916	122.869880658	true
16	5348210	64	85571921	652980	131.048303164	true
17	5348180	66	90920101	653046	139.224650331	true
18	5348198	63	96268299	653109	147.400049609	true
19	5440278	3142	101708577	656251	154.984262119	true
20	5440181	3236	107148758	659487	162.472888776	true
21	5439869	1706	112588627	661193	170.281032921	true
22	5439869	59	118028496	661252	178.492459758	true
23	5439992	63	123468488	661315	186.701478116	true
24	5439905	63	128908393	661378	194.908801018	true
25	5439913	67	134348306	661445	203.113344269	true
26	5440000	70	139788306	661515	211.315398744	true
27	5440000	72	145228306	661587	219.515053954	true
28	5439857	71	150668163	661658	227.713052665	true
29	5440032	83	156108195	661741	235.905278651	true
30	5439853	79	161548048	661820	244.09665468	true
31	5439857	69	166987905	661889	252.289893018	true
32	5439855	62	172427760	661951	260.484174811	true
33	5440685	80	177868445	662031	268.670870397	true
34	5439955	79	183308400	662110	276.854903264	true
35	5439957	73	188748357	662183	285.039569122	true
36	5439983	67	194188340	662250	293.225126463	true
37	5439985	63	199628325	662313	301.410851063	true
38	5439863	70	205068188	662383	309.591562585	true
39	5439863	58	210508051	662441	317.776301588	true
40	5439992	98	215948043	662539	325.94012277	true
41	5439863	58	221387906	662597	334.121503719	true
42	5439863	58	226827769	662655	342.30145249	true
43	5439865	59	232267634	662714	350.479443621	true
44	5439875	64	237707509	662778	358.65328813	true
45	5439863	64	243147372	662842	366.825536101	true
46	5439865	60	248587237	662902	374.998471871	true
47	5439875	60	254027112	662962	383.169943375	true
48	5439883	72	259466995	663034	391.332865283	true
49	5440040	79	264907035	663113	399.490034127	true
50	5440040	61	270347075	663174	407.656323981	true
51	5439992	68	275787067	663242	415.816650634	true
52	5440320	77	281227387	663319	423.970046086	true
53	5440000	69	286667387	663388	432.126277533	true
54	5439998	64	292107385	663452	440.284127563	true
55	5439883	63	297547268	663515	448.440906385	true
56	5440389	88	302987657	663603	456.5796975	true
57	5440585	115	308428242	663718	464.69772102	true
58	5440266	72	313868508	663790	472.84307989	true
59	5364044	594	319232552	664384	480.494039592	true
60	5363956	1041	324596508	665425	487.803295638	true
61	5363849	618	329960357	666043	495.403985929	true
62	5364246	96	335324603	666139	503.385333992	true
63	5364720	99	340689323	666238	511.362790774	true
64	5364682	106	346054005	666344	519.332364364	true
65	5363591	74	351417596	666418	527.323085511	true
66	5363591	58	356781187	666476	535.324883417	true
67	5364488	76	362145675	666552	543.311962157	true
68	5334777	296	367480452	666848	551.070786746	true
69	5334755	433	372815207	667281	558.707961114	true
70	5334755	258	378149962	667539	566.48369908	true
71	5334755	58	383484717	667597	574.425464764	true
72	5334759	63	388819476	667660	582.361495372	true
73	5334761	63	394154237	667723	590.296031438	true
74	5335187	66	399489424	667789	598.22702081	true
75	5335217	65	404824641	667854	606.157395179	true
76	5337737	361	410162378	668215	613.817974754	true
77	5337465	549	415499843	668764	621.295169896	true
78	5337443	339	420837286	669103	628.957404166	true
79	5337657	69	426174943	669172	636.86906057	true
80	5337443	57	431512386	669229	644.790327377	true
81	5337568	69	436849954	669298	652.698729116	true
82	5337566	67	442187520	669365	660.60747126	true
83	5337568	62	447525088	669427	668.519626487	true
84	5337473	65	452862561	669492	676.427143267	true
85	5337630	65	458200191	669557	684.333359221	true
86	5330377	206	463530568	669763	692.081479568	true
87	5362943	452	468893511	670215	699.616557373	true
88	5362003	1071	474255514	671286	706.48801554	true
89	5362251	642	479617765	671928	713.793390066	true
90	5361995	76	484979760	672004	721.691775644	true
91	5362251	72	490342011	672076	729.593098102	true
92	5361902	71	495703913	672147	737.49330578	true
93	5362305	84	501066218	672231	745.378029279	true
94	5361854	68	506428072	672299	753.278038492	true
95	5366392	512	511794464	672811	760.680880663	true
96	5366392	1259	517160856	674070	767.221291557	true
97	5366334	674	522527190	674744	774.408056982	true
98	5366312	67	527893502	674811	782.283486784	true
99	5366410	67	533259912	674878	790.157498096	true
100	5366408	67	538626320	674945	798.029943181	true
101	5366410	58	543992730	675003	805.911573726	true
102	5366629	62	549359359	675065	813.787352329	true
103	5366754	70	554726113	675135	821.652133277	true
104	5366354	68	560092467	675203	829.517148176	true
105	5366324	67	565458791	675270	837.381774698	true
106	6750353	59495	572209144	734765	778.764835015	true
107	6750329	1094	578959473	735859	786.780447069	true
108	6750476	648	585709949	736507	795.253743685	true
109	6750329	72	592460278	736579	804.340441419	true
110	6751642	109	599211920	736688	813.386291076	true
111	6751701	113	605963621	736801	822.425079499	true
112	6750834	103	612714455	736904	831.47120249	true
113	6751239	64687	619465694	801591	772.795221004	true
114	5372661	2910	624838355	804501	776.678158262	true
115	5373322	660	630211677	805161	782.715105426	true
116	5372899	372	635584576	805533	789.023635282	true
117	5372776	72	640957352	805605	795.622360834	true
118	5372637	67	646329989	805672	802.224713035	true
119	5372830	72	651702819	805744	808.821187623	true
120	5372665	74	657075484	805818	815.414254832	true
121	5372947	79	662448431	805897	822.001361216	true
122	5372738	76	667821169	805973	828.590001154	true
123	5331293	215	673152462	806188	834.981991793	true
124	5331295	326	678483757	806514	841.25477921	true
125	5331295	191	683815052	806705	847.664328348	true
126	5331295	57	689146347	806762	854.212700896	true
127	5335656	254	694482003	807016	860.555432606	true
128	5335690	364	699817693	807380	866.776106666	true
129	5375199	682	705192892	808062	872.696515861	true
130	5375199	301	710568091	808363	879.021047475	true
131	5375179	193	715943270	808556	885.4591024	true
132	5375159	68	721318429	808624	892.031932023	true
133	5375227	67	726693656	808691	898.604851544	true
134	5375199	65	732068855	808756	905.178885844	true
135	5375340	83	737444195	808839	911.731747604	true
136	5375233	75	742819428	808914	918.292214005	true
137	5375481	75	748194909	808989	924.851770543	true
138	5375219	74	753570128	809063	931.410938332	true
139	5375215	71	758945343	809134	937.972379111	true
140	5375171	67	764320514	809201	944.537283073	true
141	5375171	60	769695685	809261	951.109326904	true
142	5375163	65	775070848	809326	957.674469868	true
143	5375191	65	780446039	809391	964.238592967	true
144	6731365	530	787177404	809921	971.918747631	true
145	6731252	577	793908656	810498	979.531912479	true
