group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	8	42785706	5062153	497108	86.07	0	0	79470	2202	2202	1570	632	tu
1	8	16	42786215	2490	730	58611.25	0	42785706	51	12	12	1	11	tu
2	16	24	43336472	116094	13151	3295.30	0	85571921	1858	119	119	72	47	tu
3	24	32	43519367	1639	750	58025.82	0	128908393	57	25	25	0	25	tu
4	32	40	43520283	2384	757	57490.47	0	172427760	59	26	26	0	26	tu
5	40	48	43518952	920	579	75162.27	0	215948043	39	26	26	1	25	tu
6	48	56	43520662	2360	879	49511.56	0	259466995	67	32	32	1	31	tu
7	56	64	43066348	41606	4328	9950.63	0	302987657	731	65	65	30	35	tu
8	64	72	42765471	9710	2103	20335.46	0	346054005	153	21	21	6	15	tu
9	72	80	42692910	12678	2310	18481.78	0	388819476	202	21	21	9	12	tu
10	80	88	42743128	32015	4330	9871.39	0	431512386	507	31	31	16	15	tu
11	88	96	42905342	42506	4528	9475.56	0	474255514	652	50	50	36	14	tu
12	96	104	42931611	2327	671	63981.54	0	517160856	47	9	9	1	8	tu
13	104	112	52621988	1315392	136325	386.00	0	560092467	20668	1040	1040	845	195	tu
14	112	120	44361029	48008	5584	7944.31	0	612714455	772	66	66	39	27	tu
15	120	128	42742209	13683	2624	16288.95	0	657075484	218	21	21	13	8	tu
16	128	136	43001735	49947	4756	9041.58	0	699817693	756	40	40	31	9	tu
17	136	144	44357976	14118	2188	20273.30	0	742819428	227	23	23	11	12	tu
18	144	152	49677949	19154	3113	15958.22	0	787177404	297	25	25	17	8	tu
19	152	160	42690277	31820	3585	11908.03	0	836855353	525	73	73	25	48	tu
20	160	168	42706872	9009	2265	18855.13	0	879545630	156	17	17	9	8	tu
21	168	176	42701957	16072	2585	16519.13	0	922252502	227	22	22	11	11	tu
22	176	184	42947040	42564	4985	8615.25	0	964954459	741	109	109	43	66	tu
23	184	192	42736597	28557	5384	7937.70	0	1007901499	502	111	111	18	93	tu
24	192	200	47742964	628192	58749	812.66	0	1050638096	10050	902	902	553	349	tu
25	200	208	42698362	4996613	491661	86.85	24639236	1073741824	78458	78264	3477	2848	629	tu
26	208	216	42688866	23900	3509	12165.54	67337598	1073741824	388	38	37	22	15	tu
27	216	224	42746470	3472	855	49995.87	110026464	1073741824	69	19	17	3	14	tu
28	224	232	42798213	43958	5126	8349.24	152772934	1073741824	701	48	47	34	13	tu
29	232	240	42810780	18432	2963	14448.46	195571147	1073741824	273	20	19	10	9	tu
30	240	248	42746565	2880	772	55371.20	238381927	1073741824	54	10	10	2	8	tu
31	248	256	42694753	9848	1598	26717.62	281128492	1073741824	150	13	13	5	8	tu
32	256	264	42756382	25646	3067	13940.78	323823245	1073741824	388	38	34	22	12	tu
33	264	272	44673741	126227	13677	3266.34	366579627	1073741824	1945	641	188	112	76	tu
34	272	280	44516537	48463	4033	11038.07	411253368	1073741824	745	47	46	35	11	tu
35	280	288	42173147	18007	2752	15324.54	455769905	1073741824	388	87	87	11	76	tu
36	288	296	48116911	24130	4286	11226.53	497943052	1073741824	415	46	46	23	23	tu
37	296	304	51123219	28311	4237	12065.90	546059963	1073741824	417	34	31	23	8	tu
38	304	312	42837339	2428	737	58123.93	597183182	1073741824	43	11	11	3	8	tu
39	312	320	43551344	184277	17519	2485.95	640020521	1073741824	2898	320	189	134	55	tu
40	320	328	43966572	1306	557	78934.60	683571865	1073741824	28	9	9	1	8	tu
41	328	336	43052695	27006	4366	9860.90	727538437	1073741824	472	122	48	24	24	tu
42	336	344	42797724	49778	6510	6574.15	770591132	1073741824	787	62	53	37	16	tu
43	344	352	42976516	3831	874	49172.22	813388856	1073741824	63	12	11	1	10	tu
44	352	360	42979309	46598	6151	6987.37	856365372	1073741824	754	61	54	35	19	tu
45	360	368	42903274	23546	2392	17936.15	899344681	1073741824	355	44	40	27	13	tu
46	368	376	42871477	57449	4778	8972.68	942247955	1073741824	873	69	52	43	9	tu
47	376	384	42726436	2814	742	57582.80	985119432	1073741824	48	11	11	2	9	tu
48	384	392	43066552	26363	3327	12944.56	1027845868	1073741824	407	28	20	10	10	tu
49	392	400	43066702	2038	614	70141.21	1070912420	1073741824	27	9	9	1	8	tu
50	400	408	43066668	2167	630	68359.79	1113979122	1073741824	35	14	12	4	8	tu
51	408	416	42890873	5028084	494058	86.81	1157045790	1073741824	78932	78741	2629	1999	630	tu
52	416	424	42730778	18231	2206	19370.25	1199936663	1073741824	296	33	24	9	15	tu
53	424	432	43055546	168975	22219	1937.78	1242667441	1073741824	2747	193	151	115	36	tu
54	432	440	42714160	10558	815	52410.01	1285722987	1073741824	187	21	18	8	10	tu
55	440	448	42716800	13312	866	49326.56	1328437147	1073741824	205	20	19	8	11	tu
56	448	456	42727008	31839	1976	21622.98	1371153947	1073741824	474	40	33	21	12	tu
57	456	464	42760703	26342	3031	14107.79	1413880955	1073741824	384	51	43	19	24	tu
58	464	472	42862752	2767	702	61058.05	1456641658	1073741824	58	16	15	7	8	tu
59	472	480	42806825	14445	2499	17129.58	1499504410	1073741824	243	77	28	20	8	tu
60	480	488	42714739	2511	751	56877.15	1542311235	1073741824	34	10	9	1	8	tu
61	488	496	43844694	163714	20369	2152.52	1585025974	1073741824	2511	1956	155	121	34	tu
62	496	504	43068324	12894	2373	18149.31	1628870668	1073741824	224	38	35	13	22	tu
63	504	512	43751861	43717	5298	8258.18	1671938992	1073741824	648	82	68	30	38	tu
64	512	520	43214062	15786	3228	13387.26	1715690853	1073741824	246	20	15	5	10	tu
65	520	528	42694437	8550	1263	33803.99	1758904915	1073741824	119	15	14	6	8	tu
66	528	536	42720628	15538	2882	14823.26	1801599352	1073741824	261	25	20	9	11	tu
67	536	544	42757099	44735	6319	6766.43	1844319980	1073741824	712	131	59	35	24	tu
68	544	552	42955174	6592	1167	36808.20	1887077079	1073741824	90	13	12	3	9	tu
69	552	560	42930305	37044	4439	9671.17	1930032253	1073741824	553	60	51	41	10	tu
70	560	568	42903610	36684	3998	10731.27	1972962558	1073741824	575	40	27	17	10	tu
71	568	576	42801373	9427	1937	22096.73	2015866168	1073741824	142	21	15	7	8	tu
72	576	584	42696768	29432	3610	11827.36	2058667541	1073741824	434	41	28	20	8	tu
73	584	592	44817333	1604314	161282	277.88	2101364309	1073741824	25212	23307	1458	1206	252	tu
74	592	600	43003118	9944	2057	20905.75	2146181642	1073741824	183	21	19	11	8	tu
75	600	608	42822774	46186	5449	7858.83	2189184760	1073741824	699	77	69	34	35	tu
76	608	616	42876653	4873	1213	35347.61	2232007534	1073741824	94	17	17	7	10	tu
77	616	624	43076370	5065153	497553	86.58	2274884187	1073741824	79574	79178	3531	2887	644	tu
78	624	632	43739174	2667	763	57325.26	2317960557	1073741824	48	14	12	4	8	tu
79	632	640	43322960	71506	8039	5389.10	2361699731	1073741824	1184	131	119	68	51	tu
80	640	648	42803647	1827	699	61235.55	2405022691	1073741824	34	11	9	1	8	tu
81	648	650	10700794	323	355	30143.08	2447826338	1073741824	6	2	2	0	2	tu
