tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
111	3350332	152424	404433872	20396215	47887	58	126430	253192
112	3439469	194959	407873341	20591174	50488	3556	125964	465931
113	4692869	238155	412566210	20829329	65269	1771	165629	447784
114	2637187	118142	415203397	20947471	36533	101	97414	198985
115	681	184	415204078	20947655	12	5	18	452
116	2409700	109090	417613778	21056745	34553	60	90607	177738
117	2524092	112247	420137870	21168992	35111	50	93181	185017
118	3294128	153846	423431998	21322838	47709	329	122781	259731
119	3798909	172411	427230907	21495249	52428	134	135689	278124
120	3950423	186458	431181330	21681707	54313	705	140294	320243
121	3063938	135088	434245268	21816795	42999	64	112702	221236
122	2856621	126262	437101889	21943057	40263	29	105502	207412
123	5042192	310901	442144081	22253958	73998	5635	178412	657806
124	4617031	217367	446761112	22471325	63838	783	163468	373608
125	2072253	95272	448833365	22566597	29443	127	77683	154687
126	2568030	139240	451401395	22705837	36857	1584	95192	266261
127	4567300	292270	455968695	22998107	62924	5951	190743	722051
128	3953449	177005	459922144	23175112	54455	133	140821	290143
129	1955142	94206	461877286	23269318	27281	462	74028	164845
130	1647856	84075	463525142	23353393	23256	617	62739	141343
131	2236210	141125	465761352	23494518	31681	3879	170004	448802
132	2592390	127936	468353742	23622454	36644	955	95412	242403
133	1743095	122028	470096837	23744482	26738	3649	67216	246191
134	2022895	121658	472119732	23866140	29698	2265	79101	246297
135	2052673	105174	474172405	23971314	29851	840	77671	201290
136	1976770	92424	476149175	24063738	27646	220	74871	151064
137	2369083	121692	478518258	24185430	33209	1125	88907	234140
138	1856721	86170	480374979	24271600	26151	204	70443	139321
139	2076342	92003	482451321	24363603	28648	158	76706	151915
140	1927715	88721	484379036	24452324	26992	181	72595	145832
141	1758615	85234	486137651	24537558	24759	410	66411	138127
142	1962959	98717	488100610	24636275	28258	652	74504	172644
143	2301824	123027	490402434	24759302	32869	1339	86894	228592
144	4466037	273092	494868471	25032394	63326	4689	158525	575691
145	2786401	150181	497654872	25182575	40028	1650	103571	335918
146	4042791	198672	501697663	25381247	55636	1254	174283	397883
147	2341791	106032	504039454	25487279	33500	42	87916	171258
148	5338306	334637	509377760	25821916	73551	6978	219356	812206
149	3345805	151659	512723565	25973575	47700	49	125440	250847
