tu	raw	cumulative_raw	fastintern_wire	fastintern_cum_wire	grz2_cum_wire	grz2_group	grz2_group_closes	fastintern_ratio	grz2_ratio	grz2_fine_cum_wire
0	5348202	5348202	1085684	1085684	0	-1	0	4.93	NA	0
1	5348204	10696406	206194	1291878	0	-1	0	8.28	NA	0
2	5348198	16044604	206187	1498065	0	-1	0	10.71	NA	0
3	5348178	21392782	206188	1704253	0	-1	0	12.55	NA	0
4	5348216	26740998	206202	1910455	0	-1	0	14.00	NA	0
5	5348218	32089216	206210	2116665	0	-1	0	15.16	NA	0
6	5348244	37437460	206221	2322886	0	-1	0	16.12	NA	0
7	5348246	42785706	206223	2529109	0	-1	0	16.92	NA	497108
8	5348518	48134224	206264	2735373	0	-1	0	17.60	NA	497108
9	5348202	53482426	206193	2941566	0	-1	0	18.18	NA	497108
10	5348180	58830606	206181	3147747	0	-1	0	18.69	NA	497108
11	5348180	64178786	206179	3353926	0	-1	0	19.14	NA	497108
12	5348319	69527105	206234	3560160	0	-1	0	19.53	NA	497108
13	5348303	74875408	206230	3766390	0	-1	0	19.88	NA	497108
14	5348303	80223711	206230	3972620	0	-1	0	20.19	NA	497108
15	5348210	85571921	206198	4178818	0	-1	0	20.48	NA	497838
16	5348180	90920101	206179	4384997	0	-1	0	20.73	NA	497838
17	5348198	96268299	206192	4591189	0	-1	0	20.97	NA	497838
18	5440278	101708577	228183	4819372	0	-1	0	21.10	NA	497838
19	5440181	107148758	208707	5028079	0	-1	0	21.31	NA	497838
20	5439869	112588627	208599	5236678	0	-1	0	21.50	NA	497838
21	5439869	118028496	208595	5445273	0	-1	0	21.68	NA	497838
22	5439992	123468488	208624	5653897	0	-1	0	21.84	NA	497838
23	5439905	128908393	208600	5862497	0	-1	0	21.99	NA	510989
24	5439913	134348306	208606	6071103	0	-1	0	22.13	NA	510989
25	5440000	139788306	208634	6279737	0	-1	0	22.26	NA	510989
26	5440000	145228306	208635	6488372	0	-1	0	22.38	NA	510989
27	5439857	150668163	208558	6696930	0	-1	0	22.50	NA	510989
28	5440032	156108195	208633	6905563	0	-1	0	22.61	NA	510989
29	5439853	161548048	208562	7114125	0	-1	0	22.71	NA	510989
30	5439857	166987905	208562	7322687	0	-1	0	22.80	NA	510989
31	5439855	172427760	208551	7531238	0	-1	0	22.90	NA	511739
32	5440685	177868445	208783	7740021	0	-1	0	22.98	NA	511739
33	5439955	183308400	208620	7948641	0	-1	0	23.06	NA	511739
34	5439957	188748357	208623	8157264	0	-1	0	23.14	NA	511739
35	5439983	194188340	208643	8365907	0	-1	0	23.21	NA	511739
36	5439985	199628325	208644	8574551	0	-1	0	23.28	NA	511739
37	5439863	205068188	208570	8783121	0	-1	0	23.35	NA	511739
38	5439863	210508051	208572	8991693	0	-1	0	23.41	NA	511739
39	5439992	215948043	208628	9200321	0	-1	0	23.47	NA	512496
40	5439863	221387906	208572	9408893	0	-1	0	23.53	NA	512496
41	5439863	226827769	208571	9617464	0	-1	0	23.58	NA	512496
42	5439865	232267634	208572	9826036	0	-1	0	23.64	NA	512496
43	5439875	237707509	208584	10034620	0	-1	0	23.69	NA	512496
44	5439863	243147372	208568	10243188	0	-1	0	23.74	NA	512496
45	5439865	248587237	208571	10451759	0	-1	0	23.78	NA	512496
46	5439875	254027112	208580	10660339	0	-1	0	23.83	NA	512496
47	5439883	259466995	208582	10868921	0	-1	0	23.87	NA	513075
48	5440040	264907035	208645	11077566	0	-1	0	23.91	NA	513075
49	5440040	270347075	208644	11286210	0	-1	0	23.95	NA	513075
50	5439992	275787067	208631	11494841	0	-1	0	23.99	NA	513075
51	5440320	281227387	208674	11703515	0	-1	0	24.03	NA	513075
52	5440000	286667387	208634	11912149	0	-1	0	24.07	NA	513075
53	5439998	292107385	208633	12120782	0	-1	0	24.10	NA	513075
54	5439883	297547268	208594	12329376	0	-1	0	24.13	NA	513075
55	5440389	302987657	208751	12538127	0	-1	0	24.17	NA	513954
56	5440585	308428242	208759	12746886	0	-1	0	24.20	NA	513954
57	5440266	313868508	208689	12955575	0	-1	0	24.23	NA	513954
58	5364044	319232552	211554	13167129	0	-1	0	24.24	NA	513954
59	5363956	324596508	206423	13373552	0	-1	0	24.27	NA	513954
60	5363849	329960357	206385	13579937	0	-1	0	24.30	NA	513954
61	5364246	335324603	206465	13786402	0	-1	0	24.32	NA	513954
62	5364720	340689323	206547	13992949	0	-1	0	24.35	NA	513954
63	5364682	346054005	206546	14199495	0	-1	0	24.37	NA	518282
64	5363591	351417596	206311	14405806	0	-1	0	24.39	NA	518282
65	5363591	356781187	206311	14612117	0	-1	0	24.42	NA	518282
66	5364488	362145675	206497	14818614	0	-1	0	24.44	NA	518282
67	5334777	367480452	208012	15026626	0	-1	0	24.46	NA	518282
68	5334755	372815207	205899	15232525	0	-1	0	24.47	NA	518282
69	5334755	378149962	205898	15438423	0	-1	0	24.49	NA	518282
70	5334755	383484717	205902	15644325	0	-1	0	24.51	NA	518282
71	5334759	388819476	205904	15850229	0	-1	0	24.53	NA	520385
72	5334761	394154237	205906	16056135	0	-1	0	24.55	NA	520385
73	5335187	399489424	206040	16262175	0	-1	0	24.57	NA	520385
74	5335217	404824641	206063	16468238	0	-1	0	24.58	NA	520385
75	5337737	410162378	208005	16676243	0	-1	0	24.60	NA	520385
76	5337465	415499843	206013	16882256	0	-1	0	24.61	NA	520385
77	5337443	420837286	205999	17088255	0	-1	0	24.63	NA	520385
78	5337657	426174943	206071	17294326	0	-1	0	24.64	NA	520385
79	5337443	431512386	206004	17500330	0	-1	0	24.66	NA	522695
80	5337568	436849954	206050	17706380	0	-1	0	24.67	NA	522695
81	5337566	442187520	206046	17912426	0	-1	0	24.69	NA	522695
82	5337568	447525088	206050	18118476	0	-1	0	24.70	NA	522695
83	5337473	452862561	206019	18324495	0	-1	0	24.71	NA	522695
84	5337630	458200191	206074	18530569	0	-1	0	24.73	NA	522695
85	5330377	463530568	206955	18737524	0	-1	0	24.74	NA	522695
86	5362943	468893511	211651	18949175	0	-1	0	24.74	NA	522695
87	5362003	474255514	206539	19155714	0	-1	0	24.76	NA	527025
88	5362251	479617765	206588	19362302	0	-1	0	24.77	NA	527025
