group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
0	0	8	19580052	2568237	255187	76.73	0	0	40845	1226	1226	394	832	tu
1	8	16	21178281	730579	71414	296.56	0	19580052	12036	774	774	266	508	tu
2	16	24	21462281	112375	14957	1434.93	0	40758333	2060	399	399	41	358	tu
3	24	32	17794062	115700	14965	1189.05	0	62220614	2068	389	389	41	348	tu
4	32	40	17914205	100435	10244	1748.75	0	80014676	1762	254	254	45	209	tu
5	40	48	18454320	119106	10914	1690.89	0	97928881	2095	226	226	47	179	tu
6	48	56	19671975	220703	12390	1587.73	0	116383201	3566	355	355	220	135	tu
7	56	64	19089996	193638	12343	1546.63	0	136055176	3311	316	316	89	227	tu
8	64	72	22219006	64514	7471	2974.03	0	155145172	1237	302	302	28	274	tu
9	72	80	20650903	116883	10722	1926.03	0	177364178	1924	271	271	62	209	tu
10	80	88	20905192	109543	9446	2213.13	0	198015081	1877	245	245	56	189	tu
11	88	96	18722172	87779	7643	2449.58	0	218920273	1622	269	269	48	221	tu
12	96	104	19499488	171135	11876	1641.92	0	237642445	2780	238	238	93	145	tu
13	104	112	18939750	21216	2488	7612.44	0	257141933	339	31	31	11	20	tu
14	112	120	18943845	18174	2280	8308.70	0	276081683	292	38	38	14	24	tu
15	120	128	20440684	63245	9126	2239.83	0	295025528	1000	138	138	27	111	tu
16	128	136	19961780	236578	21758	917.45	0	315466212	3836	398	398	143	255	tu
17	136	144	17882929	792706	88344	202.42	0	335427992	12661	996	996	472	524	tu
18	144	152	18401907	86939	14146	1300.86	0	353310921	1530	365	365	54	311	tu
19	152	160	19844309	57597	8186	2424.18	0	371712828	1111	300	300	48	252	tu
20	160	168	18465177	64875	9745	1894.84	0	391557137	1263	325	325	47	278	tu
21	168	176	23453635	61743	7781	3014.22	0	410022314	1089	225	225	40	185	tu
22	176	184	17519637	74247	9944	1761.83	0	433475949	1353	316	316	41	275	tu
23	184	192	13436721	72017	11045	1216.54	0	450995586	1357	374	374	43	331	tu
24	192	200	19819145	88849	12087	1639.71	0	464432307	1633	390	390	52	338	tu
25	200	208	20260723	77508	10165	1993.18	0	484251452	1474	353	353	55	298	tu
26	208	216	19742668	46029	7322	2696.35	0	504512175	959	271	271	25	246	tu
27	216	224	19146165	54218	7422	2579.65	0	524254843	955	214	214	37	177	tu
28	224	232	19864685	62564	10409	1908.41	0	543401008	1229	341	341	37	304	tu
29	232	240	20701270	61402	7882	2626.40	0	563265693	1285	358	358	46	312	tu
30	240	248	20675287	154019	16125	1282.19	0	583966963	2567	385	385	114	271	tu
31	248	256	19939602	40411	6569	3035.41	0	604642250	852	265	265	29	236	tu
32	256	259	7467164	25586	4998	1494.03	0	624581852	497	134	134	16	118	tu
