tu	raw_bytes	wire_bytes	cumulative_raw_bytes	cumulative_wire_bytes	cumulative_ratio	exact
1	1111313	198614	1111313	198614	5.59534071113	true
2	1104640	244	2215953	198858	11.1433937785	true
3	1111427	498	3327380	199356	16.6906438733	true
4	1123736	839	4451116	200195	22.2339019456	true
5	1119581	895	5570697	201090	27.7025063404	true
6	1109391	436	6680088	201526	33.1475243889	true
7	1224270	9767	7904358	211293	37.4094645824	true
8	1126667	1093	9031025	212386	42.5217528462	true
9	1369741	16531	10400766	228917	45.4346597238	true
10	1168350	2686	11569116	231603	49.9523581301	true
11	214310	1461	11783426	233064	50.5587563931	true
12	858997	2673	12642423	235737	53.6293538986	true
13	221150	325	12863573	236062	54.4923494675	true
14	919338	1215	13782911	237277	58.0878509084	true
15	1813167	69836	15596078	307113	50.782864939	true
16	1343775	854	16939853	307967	55.0054161647	true
17	840989	339	17780842	308306	57.6727082833	true
18	1361166	8064	19142008	316370	60.5051300692	true
19	1065261	497	20207269	316867	63.7720841867	true
20	1155706	9109	21362975	325976	65.5354228532	true
21	1254613	1267	22617588	327243	69.1155746647	true
22	2156053	33210	24773641	360453	68.7291852197	true
23	630003	355	25403644	360808	70.407651715	true
24	1446429	862	26850073	361670	74.2391489479	true
25	1543572	412	28393645	362082	78.4177202954	true
26	210007	289	28603652	362371	78.9347160783	true
27	1341834	1320	29945486	363691	82.3377152583	true
28	11192	224	29956678	363915	82.3177884946	true
29	746326	440	30703004	364355	84.2667288771	true
30	802893	269	31505897	364624	86.4065365966	true
31	102214	295	31608111	364919	86.6167861909	true
32	1150341	770	32758452	365689	89.5800858106	true
33	1697061	3712	34455513	369401	93.2740111694	true
34	811031	446	35266544	369847	95.3544141226	true
35	846319	362	36112863	370209	97.5472314287	true
36	851146	266	36964009	370475	99.7746379648	true
37	724853	196	37688862	370671	101.677395858	true
38	1144269	440	38833131	371111	104.640204683	true
39	622239	191	39455370	371302	106.262207044	true
40	1273377	680	40728747	371982	109.491176992	true
41	650986	307	41379733	372289	111.14949139	true
