group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	anchor_samples	anchor_occupied	anchor_usable	anchor_collisions	anchor_matches	closed_by
65	520	528	26365411	755284	103272	255.30	515713063	1073741824	12218	5618	1946	1588	358	tu
66	528	536	18783425	305483	48501	387.28	542078474	1073741824	4999	2190	835	595	240	tu
67	536	544	18844866	372610	60345	312.29	560861899	1073741824	6123	4096	957	809	148	tu
68	544	552	20823995	248047	39154	531.85	579706765	1073741824	4064	1517	711	438	273	tu
69	552	560	19995401	83390	15246	1311.52	600530760	1073741824	1487	487	406	170	236	tu
70	560	568	18502590	71693	13175	1404.37	620526161	1073741824	1337	900	375	146	229	tu
71	568	576	20215996	339811	46844	431.56	639028751	1073741824	5454	3534	891	646	245	tu
72	576	584	18766937	140171	24207	775.27	659244747	1073741824	2370	756	450	271	179	tu
73	584	592	17863899	159694	21452	832.74	678011684	1073741824	2629	684	438	312	126	tu
74	592	600	19571675	200825	28902	677.17	695875583	1073741824	3244	767	554	360	194	tu
75	600	608	22034265	403676	59431	370.75	715447258	1073741824	7121	2567	1150	834	316	tu
76	608	616	21951136	377351	56520	388.38	737481523	1073741824	6648	2571	1167	870	297	tu
77	616	624	18370459	268458	40824	449.99	759432659	1073741824	4626	1200	804	605	199	tu
78	624	632	19137077	469599	60680	315.38	777803118	1073741824	7387	2026	1187	941	246	tu
79	632	640	22863062	147603	26451	864.36	796940195	1073741824	2615	845	682	304	378	tu
80	640	648	20420349	154134	22510	907.17	819803257	1073741824	2542	759	558	276	282	tu
81	648	656	19219341	255559	35524	541.02	840223606	1073741824	4199	1731	750	550	200	tu
82	656	664	21796512	410326	51394	424.11	859442947	1073741824	6650	2212	1111	833	278	tu
83	664	672	23902565	448540	55440	431.14	881239459	1073741824	7218	1657	1201	910	291	tu
84	672	680	22971210	142329	20183	1138.15	905142024	1073741824	2339	653	496	346	150	tu
85	680	688	26539137	448762	66371	399.86	928113234	1073741824	7262	4292	1240	945	295	tu
86	688	696	29987756	260971	40333	743.50	954652371	1073741824	5435	3319	1077	750	327	tu
87	696	704	26464372	318130	43882	603.08	984640127	1073741824	5250	2510	982	675	307	tu
88	704	712	16946347	71245	11473	1477.06	1011104499	1073741824	1257	383	277	136	141	tu
89	712	720	23532142	320268	38625	609.25	1028050846	1073741824	5193	1718	873	669	204	tu
90	720	728	25506137	111323	15970	1597.13	1051582988	1073741824	1875	623	475	240	235	tu
91	728	736	15857420	59567	10589	1497.54	1077089125	1073741824	1002	376	204	128	76	tu
92	736	744	16343549	2121257	289148	56.52	1092946545	1073741824	34165	12962	4810	4624	186	tu
93	744	752	14004114	414009	56603	247.41	1109290094	1073741824	8134	7666	1287	1126	161	tu
94	752	760	14943523	153073	24285	615.34	1123294208	1073741824	2608	2057	511	387	124	tu
95	760	768	11696909	276747	40309	290.18	1138237731	1073741824	4715	2174	799	651	148	tu
96	768	776	13973872	429543	52300	267.19	1149934640	1073741824	7458	6805	1278	1058	220	tu
97	776	784	14767078	85729	12692	1163.49	1163908512	1073741824	1397	509	297	202	95	tu
