tu	raw	cumulative_raw	p29batch_wire	p29batch_cum_wire	p29batch_ratio	grz2_cum_wire	grz2_group_closes	grz2_ratio	grz2_fine_cum_wire	fastintern_wire	fastintern_cum_wire	fastintern_ratio	pred_cum_wire	pred_ratio	predfrozen_cum_wire	p29socket_wire	p29socket_cum_wire	p29socket_ratio	p29socket_b_root	p29socket_b_need	p29socket_b_fill
180	2268959	445197735	565	663023	671.47	409592	0	1086.93	613426	95930	19412858	22.93	739257	602.22	4974955	4990	1504513	295.91	3858	38	1067
181	2511893	447709628	766	663789	674.48	409592	0	1093.06	613426	105772	19518630	22.94	743000	602.57	5001909	4839	1509352	296.62	2783	91	1938
182	2212354	449921982	420	664209	677.38	409592	0	1098.46	613426	93550	19612180	22.94	744554	604.28	5019885	2222	1511574	297.65	1832	26	337
183	1073604	450995586	538	664747	678.45	409592	0	1101.08	623370	50052	19662232	22.94	745958	604.59	5049582	3848	1515422	297.60	2855	74	892
184	1366959	452362545	873	665620	679.61	409592	0	1104.42	623370	63304	19725536	22.93	747147	605.45	5066660	3141	1518563	297.89	1759	52	1303
185	325	452362870	146	665766	679.46	409592	0	1104.42	623370	130	19725666	22.93	747239	605.38	5066752	182	1518745	297.85	20	16	119
186	2118251	454481121	683	666449	681.94	409592	0	1109.59	623370	94502	19820168	22.93	749071	606.73	5112719	6755	1525500	297.92	4594	48	2086
187	2356187	456837308	1050	667499	684.40	409592	0	1115.35	623370	100342	19920510	22.93	751537	607.87	5146247	7304	1532804	298.04	3393	96	3788
188	1007976	457845284	644	668143	685.25	409592	0	1117.81	623370	51283	19971793	22.92	752666	608.30	5169668	5962	1538766	297.54	2181	30	3724
189	2223884	460069168	621	668764	687.94	409592	0	1123.24	623370	94633	20066426	22.93	754862	609.47	5196418	3550	1542316	298.30	2716	52	755
190	1704348	461773516	432	669196	690.04	409592	0	1127.40	623370	81452	20147878	22.92	756681	610.26	5225936	3210	1545526	298.78	2801	42	340
191	2658791	464432307	771	669967	693.22	409592	0	1133.89	634415	110776	20258654	22.93	760617	610.60	5254477	4446	1549972	299.64	3014	64	1341
192	2439350	466871657	815	670782	696.01	409592	0	1139.85	634415	102631	20361285	22.93	762933	611.94	5293438	5986	1555958	300.05	3970	76	1913
193	2405856	469277513	974	671756	698.58	409592	0	1145.72	634415	103434	20464719	22.93	765481	613.05	5316148	6046	1562004	300.43	2229	115	3675
194	2456741	471734254	486	672242	701.73	409592	0	1151.72	634415	102455	20567174	22.94	767901	614.32	5340499	3480	1565484	301.33	2465	32	956
195	2470543	474204797	505	672747	704.88	409592	0	1157.75	634415	102348	20669522	22.94	769243	616.46	5382782	5673	1571157	301.82	4199	52	1395
196	2362976	476567773	246	672993	708.13	409592	0	1163.52	634415	100086	20769608	22.95	770172	618.78	5404604	2814	1573971	302.78	2070	26	691
197	2654731	479222504	706	673699	711.33	409592	0	1170.00	634415	110749	20880357	22.95	773228	619.77	5454896	7353	1581324	303.05	5144	54	2128
198	2396038	481618542	580	674279	714.27	409592	0	1175.85	634415	100546	20980903	22.96	775260	621.23	5479401	4045	1585369	303.79	2546	48	1424
199	2632910	484251452	1757	676036	716.31	409592	0	1182.28	646502	109574	21090477	22.96	778505	622.03	5530561	9492	1594861	303.63	5374	108	3983
200	2478645	486730097	586	676622	719.35	409592	0	1188.33	646502	104638	21195115	22.96	NA	NA	NA	2619	1597480	304.69	436	64	2092
201	2652393	489382490	691	677313	722.54	409592	0	1194.80	646502	111252	21306367	22.97	NA	NA	NA	4835	1602315	305.42	2577	56	2175
202	2441544	491824034	426	677739	725.68	409592	0	1200.77	646502	103228	21409595	22.97	NA	NA	NA	3582	1605897	306.26	2141	38	1376
203	2479012	494303046	438	678177	728.87	409592	0	1206.82	646502	102862	21512457	22.98	NA	NA	NA	4120	1610017	307.02	2566	50	1477
204	2399600	496702646	439	678616	731.93	409592	0	1212.68	646502	99919	21612376	22.98	NA	NA	NA	5679	1615696	307.42	4511	38	1103
205	2873750	499576396	630	679246	735.49	409592	0	1219.69	646502	117278	21729654	22.99	NA	NA	NA	5668	1621364	308.12	4527	64	1050
206	2382075	501958471	316	679562	738.65	409592	0	1225.51	646502	100935	21830589	22.99	NA	NA	NA	3339	1624703	308.95	2487	28	797
207	2553704	504512175	1000	680562	741.32	409592	0	1231.74	656667	108640	21939229	23.00	NA	NA	NA	7297	1632000	309.14	4361	80	2829
208	2391960	506904135	254	680816	744.55	409592	0	1237.58	656667	99365	22038594	23.00	NA	NA	NA	754	1632754	310.46	55	30	642
209	2622336	509526471	476	681292	747.88	409592	0	1243.99	656667	108643	22147237	23.01	NA	NA	NA	2071	1634825	311.67	379	40	1625
210	2619518	512145989	362	681654	751.33	409592	0	1250.38	656667	107907	22255144	23.01	NA	NA	NA	1436	1636261	313.00	217	38	1154
211	2494372	514640361	1705	683359	753.10	409592	0	1256.47	656667	105664	22360808	23.02	NA	NA	NA	7022	1643283	313.18	4430	76	2489
212	2495241	517135602	450	683809	756.26	409592	0	1262.56	656667	104596	22465404	23.02	NA	NA	NA	5787	1649070	313.59	4452	38	1270
213	2487428	519623030	395	684204	759.46	409592	0	1268.64	656667	104047	22569451	23.02	NA	NA	NA	6219	1655289	313.92	5086	32	1074
214	2305717	521928747	758	684962	761.98	409592	0	1274.26	656667	97213	22666664	23.03	NA	NA	NA	4926	1660215	314.37	3586	90	1223
215	2326096	524254843	318	685280	765.02	409592	0	1279.94	663989	98134	22764798	23.03	NA	NA	NA	1128	1661343	315.56	45	26	1030
216	2408422	526663265	382	685662	768.11	409592	0	1285.82	663989	100967	22865765	23.03	NA	NA	NA	1344	1662687	316.75	154	36	1127
217	2386717	529049982	423	686085	771.11	409592	0	1291.65	663989	99760	22965525	23.04	NA	NA	NA	1033	1663720	317.99	133	30	843
218	2342635	531392617	250	686335	774.25	409592	0	1297.37	663989	98795	23064320	23.04	NA	NA	NA	2731	1666451	318.88	2232	24	448
219	2489940	533882557	732	687067	777.05	409592	0	1303.45	663989	104289	23168609	23.04	NA	NA	NA	1636	1668087	320.06	247	76	1286
220	2368695	536251252	341	687408	780.11	409592	0	1309.23	663989	99106	23267715	23.05	NA	NA	NA	1739	1669826	321.14	844	32	836
221	2422110	538673362	390	687798	783.19	409592	0	1315.15	663989	102301	23370016	23.05	NA	NA	NA	3977	1673803	321.83	2280	36	1634
222	2475405	541148767	665	688463	786.02	409592	0	1321.19	663989	104754	23474770	23.05	NA	NA	NA	3214	1677017	322.69	361	62	2764
223	2252241	543401008	499	688962	788.72	592040	1	917.85	671411	95915	23570685	23.05	NA	NA	NA	5395	1682412	322.99	4966	44	358
224	2374208	545775216	30218	719180	758.89	592040	0	921.86	671411	103023	23673708	23.05	NA	NA	NA	14156	1696568	321.69	4400	100	9629
225	2693052	548468268	836	720016	761.74	592040	0	926.40	671411	111462	23785170	23.06	NA	NA	NA	3968	1700536	322.53	1308	70	2563
226	2666456	551134724	708	720724	764.70	592040	0	930.91	671411	109741	23894911	23.06	NA	NA	NA	5328	1705864	323.08	3893	44	1364
227	2553937	553688661	386	721110	767.83	592040	0	935.22	671411	105935	24000846	23.07	NA	NA	NA	6076	1711940	323.43	4925	38	1086
228	2346114	556034775	304	721414	770.76	592040	0	939.18	671411	98645	24099491	23.07	NA	NA	NA	5308	1717248	323.79	4403	32	846
229	2409340	558444115	392	721806	773.68	592040	0	943.25	671411	100192	24199683	23.08	NA	NA	NA	2271	1719519	324.77	1374	38	832
230	2340205	560784320	453	722259	776.43	592040	0	947.21	671411	97858	24297541	23.08	NA	NA	NA	3096	1722615	325.54	2550	44	475
231	2481373	563265693	614	722873	779.20	592040	0	951.40	681820	102545	24400086	23.08	NA	NA	NA	3866	1726481	326.25	2264	50	1525
232	2362237	565627930	253	723126	782.20	592040	0	955.39	681820	98488	24498574	23.09	NA	NA	NA	581	1727062	327.51	161	30	363
233	2474320	568102250	562	723688	785.01	592040	0	959.57	681820	102782	24601356	23.09	NA	NA	NA	5402	1732464	327.92	4292	50	1033
234	2476482	570578732	701	724389	787.67	592040	0	963.75	681820	102861	24704217	23.10	NA	NA	NA	5076	1737540	328.38	4039	56	954
235	2531228	573109960	493	724882	790.63	592040	0	968.03	681820	105733	24809950	23.10	NA	NA	NA	1829	1739369	329.49	180	46	1576
236	2943150	576053110	764	725646	793.85	592040	0	973.00	681820	119674	24929624	23.11	NA	NA	NA	4694	1744063	330.29	3789	58	820
237	2636019	578689129	617	726263	796.80	592040	0	977.45	681820	108402	25038026	23.11	NA	NA	NA	2766	1746829	331.28	272	58	2409
238	2613053	581302182	766	727029	799.56	592040	0	981.86	681820	106507	25144533	23.12	NA	NA	NA	1941	1748770	332.41	361	48	1505
239	2664781	583966963	771	727800	802.37	592040	0	986.36	689702	109418	25253951	23.12	NA	NA	NA	2786	1751556	333.40	194	56	2509
240	2622925	586589888	631	728431	805.28	592040	0	990.79	689702	107358	25361309	23.13	NA	NA	NA	2227	1753783	334.47	105	50	2045
241	2648297	589238185	1283	729714	807.49	592040	0	995.27	689702	110649	25471958	23.13	NA	NA	NA	6023	1759806	334.83	1509	150	4337
242	2526827	591765012	492	730206	810.41	592040	0	999.54	689702	105673	25577631	23.14	NA	NA	NA	1501	1761307	335.98	189	38	1247
243	2599094	594364106	566	730772	813.34	592040	0	1003.93	689702	109321	25686952	23.14	NA	NA	NA	6036	1767343	336.30	4186	46	1777
244	2747044	597111150	1157	731929	815.80	592040	0	1008.57	689702	132910	25819862	23.13	NA	NA	NA	12561	1779904	335.47	5567	58	6909
245	2567770	599678920	739	732668	818.49	592040	0	1012.90	689702	106833	25926695	23.13	NA	NA	NA	4729	1784633	336.02	2228	60	2414
246	2585609	602264529	490	733158	821.47	592040	0	1017.27	689702	107391	26034086	23.13	NA	NA	NA	2104	1786737	337.08	280	48	1749
247	2377721	604642250	449	733607	824.20	592040	0	1021.29	705827	101841	26135927	23.13	NA	NA	NA	2383	1789120	337.96	51	28	2277
248	2439147	607081397	314	733921	827.18	592040	0	1025.41	705827	102497	26238424	23.14	NA	NA	NA	866	1789986	339.15	150	36	653
249	2498732	609580129	418	734339	830.11	592040	0	1029.63	705827	104804	26343228	23.14	NA	NA	NA	1637	1791623	340.24	65	34	1511
250	2492858	612072987	357	734696	833.10	592040	0	1033.84	705827	103723	26446951	23.14	NA	NA	NA	903	1792526	341.46	157	34	685
251	2305541	614378528	442	735138	835.73	592040	0	1037.73	705827	96565	26543516	23.15	NA	NA	NA	4752	1797278	341.84	4260	38	427
252	2433637	616812165	367	735505	838.62	592040	0	1041.84	705827	100733	26644249	23.15	NA	NA	NA	797	1798075	343.04	60	32	678
253	2824965	619637130	867	736372	841.47	592040	0	1046.61	705827	123835	26768084	23.15	NA	NA	NA	2453	1800528	344.14	1148	30	1248
254	2529647	622166777	625	736997	844.19	592040	0	1050.89	705827	104688	26872772	23.15	NA	NA	NA	2897	1803425	344.99	582	50	2238
255	2415075	624581852	600	737597	846.78	592040	0	1054.97	712396	100279	26973051	23.16	NA	NA	NA	5670	1809095	345.25	4561	42	1040
256	2465497	627047349	581	738178	849.45	592040	0	1059.13	712396	102460	27075511	23.16	NA	NA	NA	3254	1812349	345.99	1836	50	1341
257	2299995	629347344	408	738586	852.10	592040	0	1063.01	712396	96799	27172310	23.16	NA	NA	NA	2841	1815190	346.71	2146	38	630
258	2701672	632049016	851	739437	854.77	628319	1	1005.94	717502	110261	27282571	23.17	NA	NA	NA	5474	1820664	347.15	2344	62	2872
