tu	raw	cumulative_raw	p29batch_wire	p29batch_cum_wire	p29batch_ratio	grz2_cum_wire	grz2_group_closes	grz2_ratio	grz2_fine_cum_wire	fastintern_wire	fastintern_cum_wire	fastintern_ratio	pred_cum_wire	pred_ratio	predfrozen_cum_wire	p29socket_wire	p29socket_cum_wire	p29socket_ratio	p29socket_b_root	p29socket_b_need	p29socket_b_fill
44	2542324	109507266	1058	436545	250.85	0	0	NA	366767	107300	5199888	21.06	411541	266.09	1701190	8122	799254	137.01	5551	83	2464
45	2256868	111764134	372	436917	255.80	0	0	NA	366767	96063	5295951	21.10	412681	270.82	1701592	1433	800687	139.59	56	39	1314
46	2244955	114009089	420	437337	260.69	0	0	NA	366767	95707	5391658	21.15	413425	275.77	1701967	1562	802249	142.11	50	37	1451
47	2374112	116383201	605	437942	265.75	0	0	NA	377681	100698	5492356	21.19	414532	280.76	1704846	2765	805014	144.57	355	45	2341
48	2349335	118732536	470	438412	270.82	0	0	NA	377681	98770	5591126	21.24	415339	285.87	1705269	1463	806477	147.22	58	41	1340
49	2358544	121091080	948	439360	275.61	0	0	NA	377681	100277	5691403	21.28	417280	290.19	1724653	4667	811144	149.28	1847	63	2733
50	3060837	124151917	1015	440375	281.92	0	0	NA	377681	123678	5815081	21.35	429274	289.21	1787562	7896	819040	151.58	6364	71	1437
51	2369403	126521320	1733	442108	286.18	0	0	NA	377681	101985	5917066	21.38	432495	292.54	1839070	10445	829485	152.53	5161	119	5141
52	2373013	128894333	228	442336	291.39	0	0	NA	377681	100756	6017822	21.42	435336	296.08	1890733	7439	836924	154.01	5174	21	2220
53	2377010	131271343	657	442993	296.33	0	0	NA	377681	99825	6117647	21.46	436893	300.47	1890906	2431	839355	156.40	26	21	2360
54	2381057	133652400	630	443623	301.27	0	0	NA	377681	99839	6217486	21.50	438628	304.71	1942586	7303	846658	157.86	5175	21	2083
55	2402776	136055176	1135	444758	305.91	0	0	NA	390071	101166	6318652	21.53	440866	308.61	1945246	3169	849827	160.10	329	77	2739
56	2405301	138460477	499	445257	310.97	0	0	NA	390071	100639	6419291	21.57	442088	313.20	1997881	6852	856679	161.62	5174	21	1633
57	2405513	140865990	304	445561	316.15	0	0	NA	390071	100900	6520191	21.60	442595	318.27	2050529	7626	864305	162.98	5172	21	2409
58	2408013	143274003	230	445791	321.39	0	0	NA	390071	100617	6620808	21.64	443098	323.35	2050680	1877	866182	165.41	26	19	1808
59	2328322	145602325	671	446462	326.12	0	0	NA	390071	98445	6719253	21.67	445539	326.80	2095469	5906	872088	166.96	4445	53	1384
60	2434997	148037322	1406	447868	330.54	0	0	NA	390071	101649	6820902	21.70	448636	329.97	2097582	4883	876971	168.81	284	110	4465
61	2345615	150382937	402	448270	335.47	0	0	NA	390071	99277	6920179	21.73	450024	334.17	2097805	1821	878792	171.12	36	25	1736
62	2387226	152770163	916	449186	340.10	0	0	NA	390071	99827	7020006	21.76	452392	337.69	2110730	3584	882376	173.13	1326	53	2181
63	2375009	155145172	383	449569	345.10	0	0	NA	402414	100325	7120331	21.79	453690	341.96	2112154	2340	884716	175.36	208	29	2079
64	2342102	157487274	355	449924	350.03	0	0	NA	402414	98355	7218686	21.82	455391	345.83	2112433	1165	885881	177.77	46	29	1066
65	3010053	160497327	1367	451291	355.64	0	0	NA	402414	122935	7341621	21.86	459780	349.07	2172898	8470	894351	179.46	6231	61	2154
66	2852520	163349847	3193	454484	359.42	0	0	NA	402414	117754	7459375	21.90	463123	352.71	2202492	6834	901185	181.26	2960	75	3775
67	2993519	166343366	737	455221	365.41	0	0	NA	402414	122184	7581559	21.94	466108	356.88	2246606	6082	907267	183.35	4523	55	1480
68	2305589	168648955	473	455694	370.09	0	0	NA	402414	96125	7677684	21.97	467726	360.57	2281554	4812	912079	184.91	3577	43	1168
69	2852488	171501443	599	456293	375.86	0	0	NA	402414	116932	7794616	22.00	470371	364.61	2310931	3869	915948	187.24	2885	63	897
70	2993495	174494938	487	456780	382.01	0	0	NA	402414	121826	7916442	22.04	473734	368.34	2330423	3054	919002	189.87	1805	53	1172
71	2869240	177364178	669	457449	387.72	0	0	NA	409885	117996	8034438	22.08	476050	372.57	2340628	2746	921748	192.42	958	69	1695
72	3000296	180364474	644	458093	393.73	0	0	NA	409885	122921	8157359	22.11	478181	377.19	2359510	3755	925503	194.88	1748	59	1924
73	2376953	182741427	439	458532	398.54	0	0	NA	409885	99055	8256414	22.13	479951	380.75	2394486	5288	930791	196.33	3556	43	1665
74	2345793	185087220	447	458979	403.26	0	0	NA	409885	97992	8354406	22.15	481033	384.77	2395251	1619	932410	198.50	124	29	1442
75	2370703	187457923	721	459700	407.78	0	0	NA	409885	99259	8453665	22.17	482070	388.86	2395525	2675	935085	200.47	44	29	2578
76	2377683	189835606	531	460231	412.48	0	0	NA	409885	99999	8553664	22.19	484475	391.84	2415876	3570	938655	202.24	1851	35	1660
77	2206188	192041794	353	460584	416.95	0	0	NA	409885	94308	8647972	22.21	485034	395.93	2416184	1125	939780	204.35	40	31	1030
78	3001004	195042798	783	461367	422.75	0	0	NA	409885	124713	8772685	22.23	486955	400.54	2417288	2918	942698	206.90	145	69	2680
79	2972283	198015081	791	462158	428.46	0	0	NA	420607	122471	8895156	22.26	489055	404.89	2440500	4671	947369	209.02	2234	73	2340
80	3012646	201027727	563	462721	434.45	0	0	NA	420607	123352	9018508	22.29	490794	409.60	2441493	2018	949387	211.74	137	61	1796
81	2368681	203396408	572	463293	439.02	0	0	NA	420607	100171	9118679	22.31	492471	413.01	2486682	6674	956061	212.74	4466	47	2137
