tu	raw_bytes	wire_bytes	cumulative_raw_bytes	cumulative_wire_bytes	cumulative_ratio	exact
1	2364113	773944	2364113	773944	3.05463056759	true
2	2525815	16019	4889928	789963	6.19007219325	true
3	2749866	9837	7639794	799800	9.55213053263	true
4	2156755	1982	9796549	801782	12.2184696089	true
5	2024712	1233	11821261	803015	14.721096119	true
6	1957958	7222	13779219	810237	17.0064055332	true
7	2091912	495	15871131	810732	19.5762977161	true
8	2172271	1069	18043402	811801	22.2263855304	true
9	2023269	360	20066671	812161	24.7077500643	true
10	2164713	1403	22231384	813564	27.3259190426	true
11	2197076	1498	24428460	815062	29.9712905276	true
12	2032919	340	26461379	815402	32.4519427227	true
13	2070861	943	28532240	816345	34.951203229	true
14	2642429	2738	31174669	819083	38.0604517491	true
15	2078480	1358	33253149	820441	40.5308230574	true
16	2017151	2267	35270300	822708	42.8709821711	true
17	1186096	1466	36456396	824174	44.2338583843	true
18	804563	452	37260959	824626	45.1852827827	true
19	2278690	1676	39539649	826302	47.851329175	true
20	3728430	17818	43268079	844120	51.2582085485	true
21	1972844	505	45240923	844625	53.5633245523	true
22	2144957	22025	47385880	866650	54.6770668667	true
23	2803559	5993	50189439	872643	57.5142859107	true
24	2608982	45819	52798421	918462	57.4856891194	true
25	2711408	2027	55509829	920489	60.3047173839	true
26	2754076	866	58263905	921355	63.2371941326	true
27	2231230	610	60495135	921965	65.61543551	true
28	2035107	600	62530242	922565	67.7786844287	true
29	2229800	572	64760042	923137	70.1521464311	true
30	340176	230	65100218	923367	70.5030805736	true
31	2157873	856	67258091	924223	72.7725786958	true
32	2338973	3071	69597064	927294	75.0539354293	true
33	2900286	7035	72497350	934329	77.5929570847	true
34	2318494	1061	74815844	935390	79.9835833182	true
35	2183853	307	76999697	935697	82.291272709	true
36	1990855	3919	78990552	939616	84.0668443279	true
37	2154058	1001	81144610	940617	86.2674287197	true
38	1128812	1027	82273422	941644	87.37210878	true
39	2187559	1349	84460981	942993	89.566922554	true
40	2198654	1247	86659635	944240	91.777127637	true
41	1931435	664	88591070	944904	93.7566885102	true
42	1930969	631	90522039	945535	95.7363175345	true
43	2258959	2055	92780998	947590	97.9125972203	true
44	1954631	412	94735629	948002	99.9318872745	true
45	2180122	2087	96915751	950089	102.007023553	true
46	1988692	522	98904443	950611	104.043023908	true
47	1973702	555	100878145	951166	106.057349611	true
48	2158936	500	103037081	951666	108.270213499	true
49	2227342	2170	105264423	953836	110.359037612	true
50	2539200	5402	107803623	959238	112.384645938	true
51	2175896	487	109979519	959725	114.594825601	true
52	2230579	435	112210098	960160	116.866041076	true
53	811012	631	113021110	960791	117.633397898	true
54	2095473	846	115116583	961637	119.708978544	true
55	2325526	1707	117442109	963344	121.910873997	true
56	2224832	503	119666941	963847	124.155536096	true
57	1979969	1433	121646910	965280	126.022408006	true
58	2343022	2430	123989932	967710	128.12715793	true
59	2053542	253	126043474	967963	130.215177646	true
60	1848150	403	127891624	968366	132.069510908	true
61	2080255	636	129971879	969002	134.129629247	true
62	2193366	320	132165245	969322	136.348133025	true
63	2144778	751	134310023	970073	138.453521539	true
64	2133036	1021	136443059	971094	140.504481543	true
65	2146766	510	138589825	971604	142.640237175	true
66	1961807	942	140551632	972546	144.51926387	true
67	2115257	772	142666889	973318	146.577879994	true
68	2721104	2714	145387993	976032	148.958223706	true
69	2432008	1007	147820001	977039	151.293859303	true
70	2515999	2228	150336000	979267	153.518907509	true
71	2868901	7365	153204901	986632	155.280693308	true
72	2395218	780	155600119	987412	157.583783669	true
73	2371626	717	157971745	988129	159.869556505	true
74	2083801	364	160055546	988493	161.918744999	true
75	2171678	494	162227224	988987	164.03372744	true
76	2079828	944	164307052	989931	165.978287376	true
77	2107367	635	166414419	990566	167.999324629	true
78	2144943	431	168559362	990997	170.090688468	true
79	2134812	282	170694174	991279	172.195894395	true
80	2142802	343	172836976	991622	174.297238262	true
81	2097141	459	174934117	992081	176.330478056	true
