tu	raw	wire	cumulative_raw	cumulative_wire	keys	missing	occurrences	body_bytes
0	5348202	1085684	5348202	1085684	63066	63066	164543	4213867
1	5348204	206194	10696406	1291878	63066	1	164543	352459
2	5348198	206187	16044604	1498065	63066	1	164543	352453
3	5348178	206188	21392782	1704253	63066	1	164543	352430
4	5348216	206202	26740998	1910455	63066	1	164543	352469
5	5348218	206210	32089216	2116665	63066	1	164543	352471
6	5348244	206221	37437460	2322886	63066	1	164543	352497
7	5348246	206223	42785706	2529109	63066	1	164543	352499
8	5348518	206264	48134224	2735373	63068	3	164543	352789
9	5348202	206193	53482426	2941566	63066	1	164543	352457
10	5348180	206181	58830606	3147747	63066	1	164543	352434
11	5348180	206179	64178786	3353926	63066	1	164543	352434
12	5348319	206234	69527105	3560160	63066	1	164543	352573
13	5348303	206230	74875408	3766390	63066	1	164543	352557
14	5348303	206230	80223711	3972620	63066	1	164543	352557
15	5348210	206198	85571921	4178818	63066	1	164543	352463
16	5348180	206179	90920101	4384997	63066	1	164543	352434
17	5348198	206192	96268299	4591189	63066	1	164543	352453
18	5440278	228183	101708577	4819372	63827	941	165920	458756
19	5440181	208707	107148758	5028079	63827	2	165920	352818
20	5439869	208599	112588627	5236678	63826	1	165920	352495
21	5439869	208595	118028496	5445273	63826	1	165920	352495
22	5439992	208624	123468488	5653897	63826	1	165920	352617
23	5439905	208600	128908393	5862497	63826	1	165920	352532
24	5439913	208606	134348306	6071103	63826	1	165920	352540
25	5440000	208634	139788306	6279737	63826	1	165920	352625
26	5440000	208635	145228306	6488372	63826	1	165920	352625
27	5439857	208558	150668163	6696930	63826	1	165920	352483
28	5440032	208633	156108195	6905563	63827	2	165920	352671
29	5439853	208562	161548048	7114125	63826	1	165920	352479
30	5439857	208562	166987905	7322687	63826	1	165920	352483
31	5439855	208551	172427760	7531238	63826	1	165920	352481
32	5440685	208783	177868445	7740021	63829	4	165920	353346
33	5439955	208620	183308400	7948641	63826	1	165920	352582
34	5439957	208623	188748357	8157264	63826	1	165920	352584
35	5439983	208643	194188340	8365907	63826	1	165920	352610
36	5439985	208644	199628325	8574551	63826	1	165920	352612
37	5439863	208570	205068188	8783121	63826	1	165920	352489
38	5439863	208572	210508051	8991693	63826	1	165920	352489
39	5439992	208628	215948043	9200321	63827	2	165920	352629
40	5439863	208572	221387906	9408893	63826	1	165920	352489
41	5439863	208571	226827769	9617464	63826	1	165920	352489
42	5439865	208572	232267634	9826036	63826	1	165920	352491
43	5439875	208584	237707509	10034620	63826	1	165920	352501
44	5439863	208568	243147372	10243188	63826	1	165920	352489
45	5439865	208571	248587237	10451759	63826	1	165920	352491
46	5439875	208580	254027112	10660339	63826	1	165920	352501
47	5439883	208582	259466995	10868921	63826	1	165920	352510
48	5440040	208645	264907035	11077566	63826	1	165920	352665
49	5440040	208644	270347075	11286210	63826	1	165920	352665
50	5439992	208631	275787067	11494841	63827	2	165920	352629
51	5440320	208674	281227387	11703515	63827	2	165920	352955
52	5440000	208634	286667387	11912149	63826	1	165920	352625
53	5439998	208633	292107385	12120782	63826	1	165920	352623
54	5439883	208594	297547268	12329376	63826	1	165920	352510
55	5440389	208751	302987657	12538127	63828	3	165920	353035
56	5440585	208759	308428242	12746886	63829	4	165920	353241
57	5440266	208689	313868508	12955575	63827	2	165920	352901
58	5364044	211554	319232552	13167129	63103	185	164627	385692
59	5363956	206423	324596508	13373552	63103	4	164627	353057
60	5363849	206385	329960357	13579937	63102	3	164627	352940
61	5364246	206465	335324603	13786402	63103	4	164627	353345
62	5364720	206547	340689323	13992949	63105	6	164627	353839
63	5364682	206546	346054005	14199495	63105	6	164627	353798
64	5363591	206311	351417596	14405806	63100	1	164627	352661
65	5363591	206311	356781187	14612117	63100	1	164627	352661
66	5364488	206497	362145675	14818614	63105	6	164627	353606
67	5334777	208012	367480452	15026626	62971	67	164368	358601
68	5334755	205899	372815207	15232525	62971	1	164368	352016
69	5334755	205898	378149962	15438423	62971	1	164368	352016
70	5334755	205902	383484717	15644325	62971	1	164368	352016
71	5334759	205904	388819476	15850229	62971	1	164368	352020
72	5334761	205906	394154237	16056135	62971	1	164368	352022
73	5335187	206040	399489424	16262175	62973	3	164368	352471
74	5335217	206063	404824641	16468238	62973	3	164368	352501
75	5337737	208005	410162378	16676243	63008	90	164470	360482
76	5337465	206013	415499843	16882256	63006	1	164470	352267
77	5337443	205999	420837286	17088255	63006	1	164470	352244
78	5337657	206071	426174943	17294326	63008	3	164470	352476
79	5337443	206004	431512386	17500330	63006	1	164470	352244
