phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau	sum_root_tok_memo	sum_full_wire_memo_z	resident_blk	never_blk	reclaim_def_bytes
cold	0	689	689	390784	873018	5469913	483857	12248168	30758	30758	0.9220	0.15500	0.04935	0	390765	12250853	23271	7487	44922
warm	1	1378	689	266596	611579	5469913	483857	659260	43541	12783	0.9744	0.10574	0.00266	0	266478	661519	13317	13421	80526
warm	2	2067	689	243595	554266	5469913	483857	600587	48484	4943	0.9859	0.09662	0.00242	0	243516	603031	13368	11819	70914
warm	3	2756	689	237418	532172	5469913	483857	562495	251938	203454	0.9903	0.09417	0.00227	0	236930	563668	12814	211988	1271928
warm	4	3445	689	134409	327845	5469913	483857	827419	257333	5395	1.0313	0.05331	0.00333	0	134346	829882	110043	113927	683562
warm	5	4134	689	125144	300824	5469913	483857	332614	261707	4374	1.0367	0.04964	0.00134	0	124658	333466	110040	114738	688428
warm	6	4823	689	120112	286350	5469913	483857	314785	264002	2295	1.0396	0.04764	0.00127	0	83601	231057	109454	114152	684912
warm	7	5512	689	117465	279098	5469913	483857	300673	365250	101248	1.0411	0.04659	0.00121	0	79954	213594	109162	213764	1282584
warm	8	6201	689	65413	160301	5469913	483857	417172	367979	2729	1.0649	0.02594	0.00168	0	65126	418515	59664	164818	988908
warm	9	6890	689	62356	151601	5469913	483857	174783	370108	2129	1.0666	0.02473	0.00070	0	60741	171644	58455	164931	989586
warm	10	7579	689	60386	145743	5469913	483857	166239	371384	1276	1.0678	0.02395	0.00067	0	41063	122683	57521	164707	988242
warm	11	8268	689	59234	142331	5469913	483857	159223	422255	50871	1.0685	0.02349	0.00064	0	39257	113365	56998	214667	1288002
warm	12	8957	689	33002	83386	5469913	483857	219135	423760	1505	1.0803	0.01309	0.00088	0	32641	218897	31486	190210	1141260
warm	13	9646	689	31759	80045	5469913	483857	97785	424907	1147	1.0810	0.01260	0.00039	0	27992	88460	30592	190285	1141710
warm	14	10335	689	30770	77321	5469913	483857	93381	425729	822	1.0815	0.01220	0.00038	0	17627	62551	29890	190297	1141782
warm	15	11024	689	30120	75492	5469913	483857	89710	451358	25629	1.0819	0.01195	0.00036	0	16790	56883	29419	215351	1292106
warm	16	11713	689	16900	46362	5469913	483857	121568	452134	776	1.0877	0.00670	0.00049	0	16732	120895	16487	202983	1217898
warm	17	12402	689	16284	44730	5469913	483857	59104	452780	646	1.0881	0.00646	0.00024	0	6983	36110	15994	203054	1218324
warm	18	13091	689	15777	43381	5469913	483857	56820	453172	392	1.0883	0.00626	0.00023	0	8671	37724	15548	202971	1217826
warm	19	13780	689	15476	42532	5469913	483857	54140	466029	12857	1.0885	0.00614	0.00022	0	6961	30495	15273	215542	1293252
warm	20	14469	689	8809	27456	5469913	483857	71433	466415	386	1.0915	0.00349	0.00029	0	8707	69957	8647	209276	1255656
edit	1	15158	689	13999	41472	5469913	483857	85117	466724	309	1.0887	0.00555	0.00034	0	13372	84445	11780	203302	1219812
edit	2	15847	689	13724	40677	5469913	483857	51829	467500	776	1.0889	0.00544	0.00021	0	3374	22679	11559	203851	1223106
