phase	loop	x_end	TUs	sum_root_tok	sum_O_z3	sum_B_z3	sum_A_z3	sum_full_wire_z	blocks_pub	new_blk_loop	Q_loop	tok_per_reg	bits_per_byte	plateau	sum_root_tok_memo	sum_full_wire_memo_z	resident_blk	never_blk	reclaim_def_bytes
cold	0	1238	1238	276115	662647	9433948	200905	11231573	38706	38706	0.9500	0.05718	0.02482	0	276115	11236525	27568	11138	66828
warm	1	2476	1238	117631	317631	9433948	200905	388802	49269	10563	0.9874	0.02436	0.00086	0	117584	393521	14498	14172	85032
warm	2	3714	1238	94612	260359	9433948	200905	319578	54635	5366	0.9936	0.01959	0.00071	0	94531	324157	13070	14026	84156
warm	3	4952	1238	89786	250475	9433948	200905	301187	100579	45944	0.9946	0.01859	0.00067	0	89659	305576	13138	55847	335082
warm	4	6190	1238	61763	184565	9433948	200905	355936	107368	6789	1.0018	0.01279	0.00079	0	61763	360888	32456	37599	225594
warm	5	7428	1238	53157	159379	9433948	200905	211703	112159	4791	1.0045	0.01101	0.00047	0	53089	216269	33092	38052	228312
warm	6	8666	1238	46823	140354	9433948	200905	185696	114977	2818	1.0066	0.00970	0.00041	0	46757	190268	33264	37643	225858
warm	7	9904	1238	43781	131517	9433948	200905	168429	137517	22540	1.0075	0.00907	0.00037	0	41368	168313	33354	58149	348894
warm	8	11142	1238	30199	97470	9433948	200905	197788	140894	3377	1.0112	0.00625	0.00044	0	30199	202740	23359	49047	294282
warm	9	12380	1238	27361	89195	9433948	200905	128701	143533	2639	1.0121	0.00567	0.00028	0	25318	127546	22243	49272	295632
warm	10	13618	1238	24942	81916	9433948	200905	117559	145363	1830	1.0129	0.00516	0.00026	0	22089	113032	21222	49233	295398
warm	11	14856	1238	23397	77281	9433948	200905	108562	156906	11543	1.0134	0.00484	0.00024	0	18536	96168	20567	59468	356808
warm	12	16094	1238	16399	58776	9433948	200905	126467	158920	2014	1.0154	0.00340	0.00028	0	16196	130290	14478	54672	328032
warm	13	17332	1238	14845	54283	9433948	200905	86673	160629	1709	1.0159	0.00307	0.00019	0	11453	76826	13460	54930	329580
warm	14	18570	1238	13543	50436	9433948	200905	81434	161753	1124	1.0163	0.00280	0.00018	0	10045	70898	12620	54813	328878
warm	15	19808	1238	12670	47811	9433948	200905	74874	167795	6042	1.0166	0.00262	0.00017	0	7758	58413	11968	60004	360024
warm	16	21046	1238	9132	38123	9433948	200905	85348	168936	1141	1.0176	0.00189	0.00019	0	8519	86038	8864	57617	345702
warm	17	22284	1238	8284	35605	9433948	200905	62323	169938	1002	1.0179	0.00172	0.00014	0	5098	50323	8107	57776	346656
warm	18	23522	1238	7521	33317	9433948	200905	59618	170592	654	1.0182	0.00156	0.00013	0	4618	48465	7390	57667	346002
warm	19	24760	1238	7029	31845	9433948	200905	54561	173740	3148	1.0183	0.00146	0.00012	0	3500	39494	6922	60323	361938
warm	20	25998	1238	5118	26343	9433948	200905	62523	174305	565	1.0189	0.00106	0.00014	0	4494	61253	5073	58977	353862
edit	1	27236	1238	9823	39929	9433948	200905	85543	174639	334	1.0174	0.00203	0.00019	0	9823	90495	6957	56331	337986
edit	2	28474	1238	9539	39081	9433948	200905	58393	174888	249	1.0175	0.00198	0.00013	0	3085	32966	6712	56312	337872
edit	3	29712	1238	9325	38439	9433948	200905	56718	176066	1178	1.0176	0.00193	0.00013	0	2520	29465	6519	57288	343728
edit	4	30950	1238	8543	36094	9433948	200905	61752	181654	5588	1.0179	0.00177	0.00014	0	4507	46759	5776	62091	372546
edit	5	32188	1238	5408	27021	9433948	200905	74405	181879	225	1.0188	0.00112	0.00016	0	5390	79243	5351	59182	355092
edit	6	33426	1238	5231	26490	9433948	200905	44363	182036	157	1.0189	0.00108	0.00010	0	1777	26449	5202	59162	354972
edit	7	34664	1238	5101	26100	9433948	200905	43204	182749	713	1.0189	0.00106	0.00010	0	1614	24696	5080	59745	358470
edit	8	35902	1238	4614	24639	9433948	200905	47206	185076	2327	1.0191	0.00096	0.00010	0	2428	36045	4603	61585	369510
edit	9	37140	1238	3169	20494	9433948	200905	56666	185211	135	1.0195	0.00066	0.00013	0	2889	59062	3164	60275	361650
edit	10	38378	1238	3061	20170	9433948	200905	36897	185330	119	1.0196	0.00063	0.00008	0	1375	23350	3056	60286	361716
