row	tu	raw_bytes	payload_wire_bytes	definition_wire_bytes	context_wire_bytes	selector_wire_bytes	wire_bytes	cumulative_raw_bytes	cumulative_charged_bytes	cumulative_charged_ratio	vocabulary_assets	online_promoted_assets	online_published_assets	seed_published_assets	online_selected_tus	candidate_state_bytes	logical_state_bytes
empty-frozen	50	898645	25918	0	0	0	25918	50281718	1053984	47.70633899565838	0	0	0	0	0	0	0
empty-frozen	51	1082936	30626	0	0	0	30626	51364654	1084610	47.357717520583435	0	0	0	0	0	0	0
empty-frozen	52	810229	26173	0	0	0	26173	52174883	1110783	46.97126531464742	0	0	0	0	0	0	0
empty-frozen	53	763024	20358	0	0	0	20358	52937907	1131141	46.800449280858885	0	0	0	0	0	0	0
empty-frozen	54	5297	663	0	0	0	663	52943204	1131804	46.77771416252284	0	0	0	0	0	0	0
empty-frozen	55	921806	27948	0	0	0	27948	53865010	1159752	46.44528312949665	0	0	0	0	0	0	0
empty-frozen	56	1507436	37506	0	0	0	37506	55372446	1197258	46.24938484436938	0	0	0	0	0	0	0
empty-frozen	57	610513	14143	0	0	0	14143	55982959	1211401	46.213400021958044	0	0	0	0	0	0	0
empty-frozen	58	58777	4175	0	0	0	4175	56041736	1215576	46.10302934575872	0	0	0	0	0	0	0
empty-frozen	59	915518	7918	0	0	0	7918	56957254	1223494	46.552949176702136	0	0	0	0	0	0	0
empty-frozen	60	1425503	38234	0	0	0	38234	58382757	1261728	46.27206259986305	0	0	0	0	0	0	0
empty-frozen	61	1084107	28402	0	0	0	28402	59466864	1290130	46.09369908458837	0	0	0	0	0	0	0
empty-frozen	62	622851	238	0	0	0	238	60089715	1290368	46.56788993527428	0	0	0	0	0	0	0
empty-frozen	63	1127345	9098	0	0	0	9098	61217060	1299466	47.109397244714366	0	0	0	0	0	0	0
empty-frozen	64	1539901	38507	0	0	0	38507	62756961	1337973	46.9045047994242	0	0	0	0	0	0	0
empty-frozen	65	650272	403	0	0	0	403	63407233	1338376	47.37624778089266	0	0	0	0	0	0	0
empty-frozen	66	904019	26635	0	0	0	26635	64311252	1365011	47.114090655679696	0	0	0	0	0	0	0
