id	name	cfg	out	ratio	groups	C_Bps	C_MiBps	C_reps	F_Bps	F_MiBps	F_reps	C_RSS_GiB	F_RSS_GiB	ring_GiB	exact	size	C	F	PASS
corpus2	rocksdb	gtu224/h1024/g1024	5231761	0.8439	4	1027252233	979.7	3.0317,3.0680,3.0786,	1000906507	954.5	3.1115,3.1494,3.1448,	2.29	2.10	2.00	YES	PASS	PASS	PASS	PASS
corpus4	abseil	gtu224/h1024/g1024	3434235	0.8542	4	1188528489	1133.5	2.1716,2.1921,2.2205,	1048040146	999.5	2.4755,2.4706,2.4627,	2.19	2.06	2.00	YES	PASS	PASS	PASS	PASS
