project	corpus_set	target_profile	prior_profile	target_compiler	target_stdlib	prior_compiler	prior_stdlib	compiler_axis	stdlib_axis	tu_aligned	test_tus	test_raw_bytes	cold_bytes	warm_xprofile_bytes	warm_sameprofile_bytes	gap_closed_pct	xprofile_over_cold_pct	decode_exact	p29_source_sha256	p29_stock_binary_sha256	p29_run_binary_sha256
eigen	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	false	1516	8189328289	2378579	1472243	79370	39.42	61.9	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
eigen	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	false	1522	10096756857	2319462	1400954	79718	41.01	60.4	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
eigen	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	false	1516	8094963600	2375000	1325515	79349	45.72	55.81	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
eigen	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	1516	8094963600	2375000	1209586	79349	50.77	50.93	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
fmt	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	51	131371127	1028826	648205	837	37.03	63.0	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
fmt	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	true	51	131371127	1028826	729167	837	29.15	70.87	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
fmt	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	true	51	131371127	1028826	833751	837	18.98	81.04	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
fmt	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	true	51	192626053	781881	592330	786	24.27	75.76	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
fmt	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	true	51	128551487	1010534	698903	837	30.86	69.16	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
fmt	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	51	128551487	1010534	635813	837	37.11	62.92	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
leveldb	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	94	178753005	925735	560650	4189	39.62	60.56	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
leveldb	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	true	94	178753005	925735	613144	4189	33.92	66.23	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
leveldb	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	true	94	178753005	925735	758258	4189	18.17	81.91	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
leveldb	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	true	94	321953631	942756	775679	4095	17.8	82.28	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
leveldb	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	true	94	174821287	912888	578929	4189	36.75	63.42	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
leveldb	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	94	174821287	912888	549065	4189	40.04	60.15	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
nlohmann-json	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	99	296219113	1200555	717341	4787	40.41	59.75	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
nlohmann-json	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	true	99	296219113	1200555	741408	4787	38.4	61.76	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
nlohmann-json	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	true	99	296219113	1200555	1042516	4787	13.22	86.84	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
nlohmann-json	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	true	99	428239197	1436017	1272682	4787	11.41	88.63	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
nlohmann-json	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	true	99	288512502	1130538	637632	4787	43.78	56.4	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
nlohmann-json	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	99	288512502	1130538	641050	4787	43.48	56.7	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
opencv	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	1500	3598096497	6797670	4159711	76689	39.25	61.19	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
opencv	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	false	1500	3598096497	6797670	4764731	76689	30.25	70.09	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
opencv	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	true	1500	3598096497	6797670	4849204	76689	28.99	71.34	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
opencv	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	true	1500	5252526171	6145513	4083892	76896	33.97	66.45	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
opencv	verified-44	debian-gcc	linuxbrew	gcc-12.2.0	libstdc++-12	clang-22.1.8	libstdc++-12	cross-family	same	false	1500	3524073698	6781623	4719500	76698	30.76	69.59	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
opencv	verified-44	debian-gcc	conan-gcc	gcc-12.2.0	libstdc++-12	gcc-14.2.0	libstdc++-14	same-family	version	true	1500	3524073698	6781623	4149053	76698	39.26	61.18	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
range-v3	verified-44	conan-gcc	debian-gcc	gcc-14.2.0	libstdc++-14	gcc-12.2.0	libstdc++-12	same-family	version	true	537	912083285	848333	611043	27090	28.89	72.03	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
range-v3	verified-44	conan-gcc	linuxbrew	gcc-14.2.0	libstdc++-14	clang-22.1.8	libstdc++-12	cross-family	version	false	537	912083285	848333	633435	27090	26.17	74.67	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
range-v3	verified-44	conan-gcc	fedora-clang-libcxx	gcc-14.2.0	libstdc++-14	clang-20.1.8	libc++	cross-family	family	false	537	912083285	848333	742893	27090	12.84	87.57	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
range-v3	verified-44	fedora-clang-libcxx	debian-gcc	clang-20.1.8	libc++	gcc-12.2.0	libstdc++-12	cross-family	family	false	575	2005784147	936761	828450	27218	11.91	88.44	true	2fccb899d518441ca81357f7543028bfe58fa734155c550926e22ff3e4fc125f	8adb8b394970dd4e67aa82222874ad9a95c2d808c577c649a290b0d7d52a2493	0a092e877a0862d7bce782b22800c9a756711df10bf3961652a1e02449ed0f2e
