project	profile	tus	raw	wp_z19	P29BSC_bytes	P29BSC_Cgbps_full	P29BSC_Cgbps_full_1T	P29BSC_Cgbps_codec	P29BSC_Fgbps_1T	P29BSC_intern_gbps	GRZ2_bytes	GRZ2_Cgbps_j8	GRZ2_Cgbps_1T	GRZ2_Cgbps_j8_codec	GRZ2_Fgbps_1T	P29BSC_ratelegal	GRZ2_ratelegal	selected_codec	selected_bytes	selected_over_z19	selected_Fgbps_1T	selected_F_ok	decode_exact	GRZ2_wire_stable	GRZ2_wire_sha256
range-v3	debian-gcc	537	866488941	756030	840585	0.711	0.674	5.979	3.418	0.963	625132	1.398	1.375	1.533	0.568	False	True	GRZ2	625132	0.827	0.568	True	YES	YES	3879b5dcad92e4771c156861ac7ac6973f0a330cc02d1cc765dd13c2589f1389
range-v3	fedora-clang-libcxx	575	2005784147	949409	936761	0.797	0.778	10.277	6.241	1.114	1036737	1.520	1.531	1.603	1.022	False	True	P29BSC	936761	0.987	6.241	True	YES	YES	f1406ec3ab2b4d3acc705d17861c6e08ba8d1e65976b753c33e43b440a93c0c4
range-v3	linuxbrew	575	1043257878	817018	893451	0.732	0.702	7.156	3.832	1.043	641613	1.449	1.449	1.598	0.663	False	True	GRZ2	641613	0.785	0.663	True	YES	YES	a979946488fb4e7da765e96bc14abffc8bff058f267c048e13311959a45c83d6
re2	conan-gcc	72	87032434	389738	462569	0.295	0.294	0.833	1.155	0.870	367974	0.544	0.544	0.578	0.073	False	False	P29BSC	462569	1.187	1.155	True	YES	YES	c6fd4ad98e2c1747001355ddc4aabd0855ba3795be474cad1cbb06ef0eaa2ea9
re2	debian-gcc	72	84637328	384519	453398	0.271	0.281	0.802	1.163	0.423	362280	0.529	0.529	0.570	0.071	False	False	P29BSC	453398	1.179	1.163	True	YES	YES	923022ac653335e615929b2bed361a63c45216f3e3ee5254191a203d50d0ab9b
re2	fedora-clang-libcxx	72	217114604	445413	500795	0.475	0.470	1.846	2.219	0.724	396468	0.944	0.944	0.990	0.177	False	False	P29BSC	500795	1.124	2.219	True	YES	YES	a673b983b126005eb0689d8f816519d5a0b6dde5e6751c09f788d2bb784846e2
re2	linuxbrew	72	88654287	377050	434331	0.289	0.300	0.861	1.163	0.443	355812	0.591	0.591	0.616	0.075	False	False	P29BSC	434331	1.152	1.163	True	YES	YES	83d1efb24f133a750496349aff1558c2ddd613a89338b65b084b18e544e96e10
rocksdb	conan-gcc	418	1995458263	2405077	2555954	0.754	0.714	4.998	4.690	1.109	2679877	1.160	1.115	1.217	0.900	False	True	P29BSC	2555954	1.063	4.690	True	YES	YES	e288f17e4440d3096af2970d2c76615ed642b91e7223bea65c4bee77d20f4b92
rocksdb	debian-gcc	418	1804295565	2321239	2469686	0.747	0.712	4.572	4.347	1.061	2535516	1.135	1.080	1.189	0.845	False	True	P29BSC	2469686	1.064	4.347	True	YES	YES	deee7cd60fa26511330dd8cea7b5e27a3db3b520be5b4d6a72172a85f1c849ab
rocksdb	fedora-clang-libcxx	418	2407316918	2351699	2281173	0.789	0.761	6.069	5.048	1.146	2553438	1.337	1.235	1.385	1.037	False	True	P29BSC	2281173	0.970	5.048	True	YES	YES	fd5910a849983cd691d02a4c7801985ff23397952e3bed8474655c715eb2ed52
rocksdb	linuxbrew	418	1843673630	2240555	2278544	0.755	0.698	4.674	4.394	1.085	2444715	1.174	1.131	1.231	0.872	False	True	P29BSC	2278544	1.017	4.394	True	YES	YES	70969440bf4e8fe3f6ef05933a92d472bf2332e1701dcae7a8ba646f8266fb9e
spdlog	conan-gcc	168	262532575	565422	714320	0.478	0.477	1.955	2.403	0.875	507502	0.875	0.875	0.956	0.194	False	False	P29BSC	714320	1.263	2.403	True	YES	YES	9cd52129bc8f2479c354f01e52eba44799b69bebc06c3f2828f069053a815e0c
spdlog	debian-gcc	168	255841435	556477	701952	0.489	0.469	1.910	2.390	0.853	502334	0.882	0.882	0.956	0.197	False	False	P29BSC	701952	1.261	2.390	True	YES	YES	7bf9731174cc3657d67d23e17fe328caa2fbbae74d779609ccab094e65439c86
spdlog	fedora-clang-libcxx	168	537083605	621278	773914	0.620	0.609	3.560	4.241	0.895	522291	1.221	1.221	1.325	0.375	False	True	GRZ2	522291	0.841	0.375	False	YES	YES	68a9b6a6756680dd897cea34bf4a34a61c8452b72eebd2dc3556da159c357265
spdlog	linuxbrew	168	263293064	556325	696845	0.482	0.488	1.989	2.476	0.878	498347	0.908	0.878	0.972	0.201	False	False	P29BSC	696845	1.253	2.476	True	YES	YES	006197e680a9780c12299dfc7cdfccfb9d31e031659a498a4404c32949597fe2
