corpus	dict_train_set	dict_bytes	cold_nodict_bytes	cold_withdict_bytes	warm_bytes	gap_closed_pct	cold_withdict_over_z19	cold_withdict_GBps	decode_exact	dict_tus	dict_raw_bytes	dict_distinct_lines	test_tus	test_raw_bytes	dict_line_coverage_pct	wp_z19_bytes	cold_nodict_over_z19	cold_nodict_GBps
cereal	DICT-A	23628157	459374	129344	1503	72.08	0.2745	2.76	true	7840	22477963409	4745129	84	326899429	84.86	471206	0.9749	3.43
abseil	DICT-A	23628157	5058543	4555861	30989	10.00	1.1332	2.89	true	7840	22477963409	4745129	700	2581008467	21.67	4020529	1.2582	4.59
rocksdb	DICT-A	23628157	8537705	8110350	31463	5.02	1.3082	2.82	true	7840	22477963409	4745129	622	3114320596	12.20	6199621	1.3771	3.62
rocksdb	DICT-B	37197391	8537705	8082528	31463	5.35	1.3037	2.89	true	10192	33596772689	6851499	622	3114320596	12.41	6199621	1.3771	3.62
firefox	DICT-A	23628157	37391954	36723636	213148	1.80	0.4566	10.37	true	7840	22477963409	4745129	10010	109591729873	5.46	80430607	0.4649	23.65
llvmfull	DICT-A1	18918151	58526788	58118781	445619	0.70	0.7920	3.44	true	6608	18885324794	4018421	8141	43106403854	0.98	73382413	0.7976	4.40
