group	tu_lo	tu_hi	out_bytes	add_bytes	comp_bytes	ratio	hist_base	hist_extent	closed_by
0	0	112	318073203	23831011	1047848	303.55	0	0	tu
1	112	224	305154563	9706729	365348	835.24	0	318073203	tu
2	224	336	361373970	14110330	442234	817.16	0	623227766	tu
3	336	448	299516152	10819481	658379	454.93	0	984601736	tu
4	448	560	478473505	2687726	286395	1670.68	0	1284117888	tu
5	560	651	536850159	1875986	194914	2754.29	0	1762591393	raw
6	651	700	281566915	2557973	256540	1097.56	151957904	2147483648	tu
