id	raw_bytes	raw_sha256	zstd	level	long	comp_bytes	dec_bytes	roundtrip	secs
corpus2	3114320596	3a1a403a05dbfb3533d192f733f135df0098a9952c037330f3013b21377936a8	v1.4.8	19	31	6199621	3114320596	OK	38.6
corpus4	2581008467	bcb480ff7a8177daaf08d354d1d28c5915eb2a49f29fdea4682230e6ef340f44	v1.4.8	19	31	4020529	2581008467	OK	23.2
