id	name	hist_MB	graw_MB	out	ratio	groups	C_Bps	C_MiBps	F_Bps	F_MiBps	C_RSS_GiB	F_RSS_GiB	ring_GiB	exact	PASS
corpus2	rocksdb	1024	512	5462342	0.8811	7	978085046	932.8	996200050	950.1	1.75	2.07	2.00	YES	FAIL
corpus2	rocksdb	1024	1024	5554883	0.8960	6	977256369	932.0	995085981	949.0	1.83	2.09	2.00	YES	FAIL
corpus2	rocksdb	2048	512	5187098	0.8367	7	1034898679	987.0	747161987	712.5	2.77	4.07	4.00	YES	PASS
corpus2	rocksdb	512	512	6037725	0.9739	7	928788463	885.8	1154906399	1101.4	1.23	1.07	1.00	YES	FAIL
corpus4	abseil	1024	512	3395123	0.8444	7	1136958049	1084.3	1061488162	1012.3	1.65	2.05	2.00	YES	PASS
corpus4	abseil	1024	1024	3670830	0.9130	7	1110015683	1058.6	1051970029	1003.2	1.76	2.05	2.00	YES	PASS
corpus4	abseil	2048	512	3251766	0.8088	7	1178327459	1123.7	735162489	701.1	2.43	4.05	4.00	YES	PASS
corpus4	abseil	512	512	4105540	1.0211	7	1061924899	1012.7	1280198634	1220.9	1.13	1.05	1.00	YES	PASS
