project	profile	raw_bytes	p29_complete_bytes	grz_complete_bytes	p29_C_gbps_2pass_med	p29_C_gbps_2pass_all	p29_plan_s_all	p29_grouped_s_all	grz_C_gbps_med	grz_C_gbps_all	grz_cat_s_all	grz_enc_s_all	grz_F_gbps_med	grz_F_gbps_all	p29_F_gbps_codec_proxy	probe_makespan_med	probe_makespan_all	p29_C_legal_2pass	grz_C_legal	grz_F_legal	p29_complete_exact	grz_complete_exact	p29_F_basis	grz_F_basis	charge	size_winner	p29_gate_pass	grz_gate_pass
fmt	debian-gcc	128551487	1006187	665724	0.1286	0.1273,0.1298	0.34,0.33	0.67,0.66	0.2731	0.2990,0.2472	0.11,0.20	0.32,0.32	0.5309	0.5168,0.5450	0.660	1.018	1.017,1.030,1.018	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
fmt	fedora-clang-libcxx	192626053	783182	600948	0.1705	0.1690,0.1720	0.39,0.38	0.75,0.74	0.3585	0.4013,0.3158	0.17,0.30	0.31,0.31	0.7269	0.7237,0.7302	0.930	1.156	1.161,1.145,1.156	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
fmt	linuxbrew	129410391	760819	595186	0.1348	0.1348,0.1348	0.31,0.30	0.65,0.66	0.3079	0.3406,0.2753	0.12,0.21	0.26,0.26	0.6318	0.6410,0.6227	0.656	0.982	0.982,0.995,0.982	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
leveldb	conan-gcc	178753005	925045	621537	0.1671	0.1655,0.1686	0.38,0.37	0.70,0.69	0.3458	0.3886,0.3030	0.15,0.28	0.31,0.31	0.6846	0.6786,0.6906	0.944	1.101	1.101,1.107,1.092	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
leveldb	debian-gcc	174821287	911927	612569	0.1649	0.1649,0.1649	0.38,0.37	0.68,0.69	0.3407	0.3800,0.3014	0.15,0.27	0.31,0.31	0.6881	0.6867,0.6896	0.945	1.092	1.092,1.093,1.081	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
leveldb	fedora-clang-libcxx	321953631	945669	621604	0.2236	0.2220,0.2251	0.54,0.54	0.91,0.89	0.4253	0.4805,0.3701	0.29,0.49	0.38,0.38	0.8491	0.8455,0.8526	1.473	1.472	1.482,1.472,1.463	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
leveldb	linuxbrew	180059857	785352	575702	0.1740	0.1748,0.1731	0.36,0.35	0.67,0.69	0.3751	0.4287,0.3215	0.15,0.29	0.27,0.27	0.7663	0.7650,0.7677	0.990	1.049	1.055,1.049,1.045	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
nlohmann-json	conan-gcc	296219113	1202534	802802	0.1881	0.1875,0.1887	0.55,0.55	1.03,1.02	0.3913	0.4421,0.3405	0.26,0.45	0.41,0.42	0.7586	0.7667,0.7506	1.037	1.608	1.622,1.608,1.599	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
nlohmann-json	debian-gcc	288512502	1132913	760359	0.1873	0.1873,0.1873	0.55,0.54	0.99,1.00	0.3819	0.4243,0.3394	0.28,0.45	0.40,0.40	0.7491	0.7501,0.7482	1.070	1.559	1.559,1.558,1.561	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
nlohmann-json	fedora-clang-libcxx	428239197	1437035	881905	0.2125	0.2120,0.2131	0.79,0.77	1.23,1.24	0.4352	0.4980,0.3724	0.38,0.65	0.48,0.50	0.7873	0.7976,0.7770	1.399	2.036	2.036,2.031,2.042	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
nlohmann-json	linuxbrew	296702050	1272706	808811	0.1843	0.1843,0.1843	0.59,0.58	1.02,1.03	0.3830	0.4363,0.3297	0.26,0.47	0.42,0.43	0.7091	0.7047,0.7135	1.075	1.633	1.640,1.632,1.633	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
opencv	conan-gcc	3598096497	6795281	6251815	0.3443	0.3437,0.3450	5.02,5.02	5.45,5.41	0.4706	0.5378,0.4034	3.16,5.40	3.53,3.52	1.1523	1.1527,1.1520	5.559	0.523	0.536,0.523,0.512	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
opencv	debian-gcc	3524073698	6779047	6229483	0.3465	0.3455,0.3475	4.90,4.87	5.30,5.27	0.4673	0.5372,0.3973	3.09,5.36	3.47,3.51	1.1335	1.1281,1.1388	5.861	0.498	0.498,0.510,0.490	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
opencv	fedora-clang-libcxx	5252526171	6144420	6609636	0.3673	0.3683,0.3663	6.92,7.00	7.34,7.34	0.5094	0.5836,0.4352	4.59,7.70	4.41,4.37	1.4577	1.4527,1.4627	6.702	0.637	0.637,0.663,0.631	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
opencv	linuxbrew	3610590484	6052292	5959063	0.3602	0.3625,0.3578	4.78,4.85	5.18,5.24	0.4783	0.5504,0.4061	3.16,5.45	3.40,3.44	1.1956	1.1939,1.1973	5.903	0.475	0.473,0.475,0.485	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
range-v3	conan-gcc	912083285	850547	633756	0.3731	0.3769,0.3693	1.15,1.19	1.27,1.28	0.5470	0.6469,0.4471	0.77,1.40	0.64,0.64	1.0943	1.0900,1.0985	6.624	0.678	0.678,0.693,0.668	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
range-v3	debian-gcc	866488941	842644	625132	0.3626	0.3610,0.3641	1.15,1.14	1.25,1.24	0.5294	0.6234,0.4354	0.75,1.35	0.64,0.64	1.0859	1.0882,1.0837	6.442	0.657	0.664,0.647,0.657	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	GRZ2	False	False
range-v3	fedora-clang-libcxx	2005784147	936114	1036737	0.4069	0.4069,0.4069	2.37,2.40	2.56,2.53	0.5743	0.6916,0.4569	1.62,3.05	1.28,1.34	1.1002	1.1070,1.0933	8.760	1.205	1.205,1.210,1.187	False	False	True	OK	YES	codec in-process per-stream proxy (no standalone P29 decoder)	standalone single-thread decode of the wire	INTERIM conservative two-pass P29 (plan+grouped in clock); GRZ charged concat+TU map	P29BSC	False	False
