corpus	row	rep	tus	first_byte_ms	wire_TU50	wire_TU100	wire_TU200	wire_full	wall_TU50	wall_TU100	wall_TU200	C_wall	C_user	C_sys	peakRSS_KiB	exact/ledger/txn
corpus9	t1to4-at100	2	857	23.587	658600	852024	2796642	5420799	0.002	0.003	0.002	2.64	1.15	2.17	1135612	OK/OK/OK
corpus9	t1to4-at100	3	857	22.954	658600	852024	2796642	5420799	0.002	0.002	0.002	2.62	1.10	2.19	1135564	OK/OK/OK
corpus9	t1to8-at100	1	857	23.773	658600	852024	4514831	7909349	0.002	0.002	0.002	2.92	1.23	2.38	1135332	OK/OK/OK
corpus9	t1to8-at100	2	857	23.525	658600	852024	4514831	7909349	0.002	0.003	0.002	2.96	1.29	2.35	1135632	OK/OK/OK
corpus9	t1to8-at100	3	857	23.816	658600	852024	4514831	7909349	0.002	0.003	0.001	3.04	1.30	2.46	1135572	OK/OK/OK
corpus9	t1to4-at200	1	857	22.924	658600	852024	1198746	5368732	0.002	0.003	0.002	2.67	1.17	2.18	1135500	OK/OK/OK
corpus9	t1to4-at200	2	857	23.917	658600	852024	1198746	5368732	0.002	0.003	0.001	2.62	1.09	2.22	1135596	OK/OK/OK
corpus9	t1to4-at200	3	857	23.425	658600	852024	1198746	5368732	0.002	0.003	0.002	2.71	1.19	2.22	1135376	OK/OK/OK
corpus9	t1to8-at200	1	857	23.023	658600	852024	1198746	7858919	0.002	0.002	0.001	2.94	1.23	2.42	1135652	OK/OK/OK
corpus9	t1to8-at200	2	857	23.978	658600	852024	1198746	7858919	0.002	0.003	0.002	3.00	1.30	2.43	1135536	OK/OK/OK
corpus9	t1to8-at200	3	857	22.013	658600	852024	1198746	7858919	0.002	0.002	0.001	2.86	1.25	2.31	1135492	OK/OK/OK
corpus2	ctl-1F	1	622	97.041	2920057	6036920	8802928	15692955	0.009	0.013	0.006	7.31	2.98	5.84	3693956	OK/OK/OK
corpus2	ctl-1F	2	622	82.691	2920057	6036920	8802928	15692955	0.008	0.013	0.005	7.25	3.01	5.77	3693352	OK/OK/OK
corpus2	ctl-1F	3	622	95.207	2920057	6036920	8802928	15692955	0.008	0.013	0.005	7.36	3.10	5.75	3694312	OK/OK/OK
corpus2	ctl-8F	1	622	95.593	10914469	14594662	17912674	26831854	0.019	0.014	0.006	8.79	3.73	6.68	3579336	OK/OK/OK
corpus2	ctl-8F	2	622	92.033	10914469	14594662	17912674	26831854	0.017	0.015	0.006	8.77	3.73	6.69	3579668	OK/OK/OK
corpus2	ctl-8F	3	622	95.465	10914469	14594662	17912674	26831854	0.017	0.014	0.006	8.78	3.68	6.74	3578388	OK/OK/OK
corpus2	t1to4-at50	1	622	85.925	2920057	9801077	12943391	21105387	0.010	0.012	0.006	7.99	3.44	6.14	3603668	OK/OK/OK
corpus2	t1to4-at50	2	622	82.916	2920057	9801077	12943391	21105387	0.009	0.012	0.005	7.84	3.30	6.08	3603216	OK/OK/OK
corpus2	t1to4-at50	3	622	95.899	2920057	9801077	12943391	21105387	0.009	0.015	0.006	8.01	3.38	6.19	3603412	OK/OK/OK
corpus2	t1to8-at50	1	622	91.972	2920057	14477738	17845740	26756155	0.012	0.013	0.006	8.83	3.73	6.72	3582424	OK/OK/OK
corpus2	t1to8-at50	2	622	83.138	2920057	14477738	17845740	26756155	0.009	0.014	0.006	8.75	3.72	6.59	3582064	OK/OK/OK
