project	profile	total_tus	probe_tus	raw_bytes	probe_raw_bytes	identity	p29_complete_bytes	legacy_p29_bytes	p29_complete_exact	lo_grz_complete_bytes	lo_grz_exact	lo_grz_f_bps	lo_z19_long	z19_source	p29_probe_bytes	grz_probe_bytes	selected_at_probe	grz_g1_close_tu	grz_g1_closed_by	grz_g1_add_bytes	grz_anchor_samples	grz_anchor_matches	makespan_s	p29_probe_eUS	grz_probe_eUS	p29_plan_s	producer_extract_s	producer_concat_s	p29_intern_s	p29_plan_s1_s	p29_literal_entropy_s	grz_match_s	grz_entropy_s	grz_total_s	p29_interner	p29_src_sha	p29_bin_sha	grz_src_sha	grz_bin_sha	zstd
eigen	fedora-clang-libcxx	1522	112	10096756857	712973255	PASS	2320794	2319462	OK	4864106	True	766861096	2586364	local-oracle-retained	867332	662518	GRZ2	83	raw	7265355	114665	1828	1.370442060	1.36 0.69 0.67	0.59 0.44 0.15	0.98	12.38	0.64	0.7	0.0	0.243	0.18	0.36	0.54	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
eigen	linuxbrew	1522	112	8152489841	571048074	PASS	2309461	2309107	OK	3874615	True	764751785	2390684	local-oracle-retained	817428	639421	GRZ2	105	raw	6306122	99498	1648	1.188014096	1.18 0.60 0.58	0.50 0.38 0.12	0.76	9.99	0.50	0.6	0.0	0.234	0.14	0.31	0.46	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	conan-gcc	51	51	131371127	131371127	PASS	1020039	1028826	OK	676267	True	386981494	747862	local-oracle-retained	1020039	676267	GRZ2	51	tu	9192517	145753	2675	.682024128	0.67 0.47 0.19	0.33 0.28 0.07	0.34	0.20	0.11	0.2	0.0	0.201	0.09	0.23	0.32	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	debian-gcc	51	51	128551487	128551487	PASS	1006187	1010534	OK	665724	True	379787239	736292	local-oracle-retained	1006187	665724	GRZ2	51	tu	8923938	141764	2422	.678479667	0.66 0.46 0.19	0.32 0.26 0.07	0.35	0.20	0.11	0.2	0.0	0.198	0.08	0.23	0.31	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	fedora-clang-libcxx	51	51	192626053	192626053	PASS	783182	781881	OK	600948	True	466871231	674860	local-oracle-retained	783182	600948	GRZ2	51	tu	7448333	119624	4131	.754102600	0.74 0.50 0.24	0.32 0.25 0.07	0.39	0.28	0.17	0.2	0.0	0.216	0.09	0.21	0.30	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
fmt	linuxbrew	51	51	129410391	129410391	PASS	760819	760746	OK	595186	True	415524739	652104	local-oracle-retained	760819	595186	GRZ2	51	tu	6383604	102138	2640	.668800873	0.66 0.44 0.21	0.27 0.20 0.06	0.31	0.19	0.12	0.2	0.0	0.211	0.07	0.19	0.26	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
leveldb	conan-gcc	94	94	178753005	178753005	PASS	925045	925735	OK	621537	True	452602465	699429	local-oracle-retained	925045	621537	GRZ2	94	tu	6689354	108348	4771	.712037838	0.70 0.45 0.24	0.32 0.24 0.07	0.39	0.27	0.16	0.2	0.0	0.188	0.08	0.22	0.30	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
leveldb	debian-gcc	94	94	174821287	174821287	PASS	911927	912888	OK	612569	True	452529083	687969	local-oracle-retained	911927	612569	GRZ2	94	tu	6514110	105984	4402	.688396376	0.68 0.44 0.23	0.31 0.25 0.06	0.39	0.26	0.16	0.2	0.0	0.183	0.08	0.22	0.30	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
leveldb	fedora-clang-libcxx	94	94	321953631	321953631	PASS	945669	942756	OK	621604	True	514558153	701561	local-oracle-retained	945669	621604	GRZ2	94	tu	7301170	122192	9843	.912080500	0.90 0.53 0.36	0.38 0.29 0.09	0.56	0.48	0.29	0.3	0.0	0.208	0.11	0.24	0.36	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
leveldb	linuxbrew	94	94	180059857	180059857	PASS	785352	785212	OK	575702	True	481902990	642697	local-oracle-retained	785352	575702	GRZ2	94	tu	5298261	86638	5000	.696743497	0.69 0.43 0.25	0.28 0.21 0.06	0.36	0.27	0.16	0.2	0.0	0.189	0.07	0.19	0.26	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
nlohmann-json	conan-gcc	99	99	296219113	296219113	PASS	1202534	1200555	OK	802802	True	481344741	855284	local-oracle-retained	1202534	802802	GRZ2	99	tu	10311326	167692	8452	1.044712111	1.03 0.66 0.37	0.41 0.35 0.09	0.57	0.43	0.26	0.3	0.0	0.280	0.12	0.26	0.39	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
nlohmann-json	debian-gcc	99	99	288512502	288512502	PASS	1132913	1130538	OK	760359	True	482380929	810380	local-oracle-retained	1132913	760359	GRZ2	99	tu	9885933	160432	8052	1.011105513	1.00 0.63 0.36	0.41 0.33 0.11	0.57	0.43	0.25	0.3	0.0	0.267	0.12	0.26	0.38	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
nlohmann-json	fedora-clang-libcxx	99	99	428239197	428239197	PASS	1437035	1436017	OK	881905	True	479292932	936469	local-oracle-retained	1437035	881905	GRZ2	99	tu	14960139	242467	10727	1.266221417	1.25 0.77 0.48	0.48 0.49 0.11	0.83	0.64	0.36	0.5	0.0	0.283	0.17	0.28	0.45	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
nlohmann-json	linuxbrew	99	99	296702050	296702050	PASS	1272706	1271082	OK	808811	True	459019465	873551	local-oracle-retained	1272706	808811	GRZ2	99	tu	12918485	208084	7193	1.077750412	1.07 0.67 0.39	0.44 0.40 0.12	0.59	0.47	0.27	0.3	0.0	0.287	0.14	0.27	0.41	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
opencv	conan-gcc	1500	112	3598096497	34448996	PASS	6795281	6797670	OK	6251815	True	584783051	6073953	local-oracle-retained	461808	335867	GRZ2	112	tu	3033843	48782	1901	.345017993	0.33 0.23 0.10	0.13 0.09 0.03	0.15	4.89	0.03	0.1	0.0	0.107	0.03	0.09	0.12	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
opencv	debian-gcc	1500	112	3524073698	33330108	PASS	6779047	6781623	OK	6229483	True	594573680	6048175	local-oracle-retained	452525	330308	GRZ2	112	tu	2972755	47930	1880	.346369588	0.34 0.23 0.10	0.13 0.09 0.03	0.15	4.78	0.03	0.1	0.0	0.113	0.04	0.09	0.13	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
opencv	fedora-clang-libcxx	1500	112	5252526171	60289533	PASS	6144420	6145513	OK	6609636	True	669254160	6146705	local-oracle-retained	531296	388857	GRZ2	112	tu	4359403	70846	3194	.419398666	0.41 0.28 0.12	0.17 0.13 0.03	0.20	6.73	0.06	0.1	0.0	0.127	0.05	0.11	0.16	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
opencv	linuxbrew	1485	112	3610590484	34519097	PASS	6052292	6054695	OK	5959063	True	624229301	5738870	local-oracle-retained	398089	281410	GRZ2	112	tu	2752750	44520	1909	.310290528	0.30 0.19 0.10	0.12 0.09 0.03	0.15	5.15	0.03	0.1	0.0	0.092	0.03	0.08	0.11	research	89ed3b299332f90898b0bd86338052d67d686e93797d2e332080f7ed33c7c753	3967d6ca12b034c0752485a81f3c0dd64f2196c52d1ab32b18f82fadf678418e	e997b612c3445c951fa8bfc4abd2942fbad532fac85ebae5aa5fe753fe64a6b9	647883b7a346ae48d76ea2ac542240e5c78b4a56049372ee6067f5ec94276af9	v1.4.8
