corpus	variant	raw	out	C_gbps_min	C_gbps_med	F_gbps	exact	load	wire_sha256
corpus14	b1-t16-h32-s8	143868249	517256	1.0276	1.1067	0.2052	YES	3.77	12158708633b63fee173091149f09b24511bee4a7b0c4dde2bf622ab2a1698f4
corpus13	b1-t16-h32-s8	110231455	421830	0.8479	1.0021	0.1668	YES	3.87	e0a2c6907fc271ce2e3cbc40307ebc6fc8f39f55d493ad5e70478ce1cd48806e
corpus8	b1-t16-h32-s8	98384472	460224	0.9838	0.9838	0.1488	YES	3.87	f3282143a1d6d0b6118041961adeaa58f4690e0d09395c60278dd4ac42229311
corpus7	b1-t16-h32-s8	136350082	712090	0.9739	0.9739	0.1938	YES	3.88	2a67a2a8d0f24fdfdd4fe125948a1d7650964b953d854ba620fc5e08edbdd9ba
