tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
94	2	3523430	326606126	2	466901	374637	14463054	48337242	NA	0	
95	2	3520530	330126656	2	466915	374637	14611048	48858279	NA	0	
96	2	3521427	333648083	2	466929	374637	14758999	49379226	NA	0	
97	2	3529654	337177737	2	466943	374637	14907207	49900963	NA	0	
98	2	3535454	340713191	2	466957	374637	15055592	50423757	NA	0	
99	2	3531323	344244514	2	466971	374637	15203664	50945439	NA	0	
100	2	3519157	347763671	2	466985	374637	15351639	51466259	NA	0	
101	2	3518383	351282054	2	466999	374637	15499614	51987046	NA	0	
102	2	3517513	354799567	2	467013	374637	15647564	52507718	NA	0	
103	2	3518384	358317951	2	467027	374637	15795539	53028506	NA	0	
104	2	3518315	361836266	2	467041	374637	15943444	53549273	NA	0	
105	2	3524829	365361095	2	467055	374637	16091609	54070871	NA	0	
106	2	3532515	368893610	2	467069	374637	16239907	54593023	NA	0	
107	2	3520292	372413902	2	467083	374637	16387875	55113851	NA	0	
108	2	3521371	375935273	2	467097	374637	16535925	55635023	NA	0	
109	2	3522719	379457992	2	467111	374637	16683920	56155813	NA	0	
110	2	3525076	382983068	2	467125	374637	16831961	56676941	NA	0	
111	2	3521720	386504788	2	467139	375426	16979955	57197908	NA	0	
112	2	3520553	390025341	2	467153	375426	17127923	57718574	NA	0	
113	2	3520698	393546039	2	467167	375426	17275979	58240050	NA	0	
114	2	3520116	397066155	2	467181	375426	17423953	58761072	NA	0	
115	2	3520659	400586814	2	467195	375426	17571946	59282049	NA	0	
116	2	3526649	404113463	2	467209	375426	17720064	59803626	NA	0	
117	2	3518074	407631537	2	467223	375426	17868035	60324369	NA	0	
118	2	3523605	411155142	2	467237	375426	18016104	60845648	NA	0	
119	2	3523686	414678828	2	467251	375426	18164241	61366959	NA	0	
120	2	3518991	418197819	2	467265	375426	18312184	61887805	NA	0	
121	2	3519520	421717339	2	467279	375426	18460135	62408630	NA	0	
122	2	3519112	425236451	2	467293	375426	18608054	62929522	NA	0	
