tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
80	2	3239711	207734598	2	1007284	665724	10637198	32722778	NA	0	
81	2	2242658	209977256	2	1007299	665724	10743241	33077321	NA	0	
82	2	3073112	213050368	2	1007314	665724	10885478	33582618	NA	0	
83	2	1691182	214741550	2	1007329	665724	10964988	33860539	NA	0	
84	2	1734109	216475659	2	1007344	665724	11046826	34146370	NA	0	
85	2	3567353	220043012	2	1007396	665724	11213986	34705215	NA	0	
86	2	3196680	223239692	2	1007448	665724	11361692	35231297	NA	0	
87	2	2242658	225482350	2	1007463	665724	11467735	35585840	NA	0	
88	2	3073112	228555462	2	1007478	665724	11609972	36091137	NA	0	
89	2	1691182	230246644	2	1007493	665724	11689482	36369058	NA	0	
90	2	1734109	231980753	2	1007508	665724	11771320	36654889	NA	0	
91	2	3627861	235608614	2	1007560	665724	11940178	37222806	NA	0	
92	2	2061745	237670359	2	1007612	665724	12034989	37552811	NA	0	
93	2	1357037	239027396	2	1007664	665724	12095618	37764860	NA	0	
94	2	3124266	242151662	2	1007716	665724	12237864	38255114	NA	0	
95	2	1672314	243823976	2	1007731	665724	12315747	38528807	NA	0	
96	2	2242658	246066634	2	1007746	665724	12421790	38883350	NA	0	
97	2	2994554	249061188	2	1007761	665724	12560809	39365072	NA	0	
98	2	1438876	250500064	2	1007776	665724	12628222	39595249	NA	0	
99	2	3277287	253777351	2	1007828	665724	12775368	40101476	NA	0	
100	2	76523	253853874	2	1007880	665724	12778003	40113041	NA	0	
101	2	3249100	257102974	2	1007953	666155	12929132	40637464	NA	1	
102	3	1672314	258775288	3	1007953	666155	13007015	40911157	NA	0	-21
103	3	1205213	259980501	3	1007962	666155	13060915	41101437	NA	0	
104	3	206630	260187131	3	1007977	666155	13069377	41138075	NA	0	
105	3	2242658	262429789	3	1007992	666155	13175420	41492618	NA	0	
106	3	2994554	265424343	3	1008007	666155	13314439	41974340	NA	0	
107	3	1438876	266863219	3	1008022	666155	13381852	42204517	NA	0	
108	3	2798929	269662148	3	1008037	666155	13510302	42647313	NA	0	
109	3	3220014	272882162	3	1008052	666155	13651754	43127042	NA	0	
110	3	2333077	275215239	3	1008067	666155	13762648	43500715	NA	0	
111	3	3672382	278887621	3	1008082	666701	13924150	44034019	NA	0	
112	3	3094230	281981851	3	1008097	666701	14065911	44525789	NA	0	
113	3	3227576	285209427	3	1008112	666701	14209339	45020328	NA	0	
114	3	4634140	289843567	3	1008127	666701	14392359	45611620	NA	0	
115	3	3260091	293103658	3	1008142	666701	14538219	46127070	NA	0	
116	3	3009491	296113149	3	1008157	666701	14677861	46621547	NA	0	
117	3	2242658	298355807	3	1008172	666701	14783904	46976090	NA	0	
118	3	3073112	301428919	3	1008187	666701	14926141	47481387	NA	0	
119	3	1691182	303120101	3	1008202	666701	15005651	47759308	NA	0	
120	3	1734109	304854210	3	1008217	666701	15087489	48045139	NA	0	
121	3	3326956	308181166	3	1008232	666701	15239441	48574797	NA	0	
122	3	3623532	311804698	3	1008247	666701	15408567	49145801	NA	0	
123	3	3702583	315507281	3	1008262	666701	15573428	49699400	NA	0	
124	3	3160151	318667432	3	1008277	666701	15714911	50181237	NA	0	
125	3	2761846	321429278	3	1008292	666701	15843277	50624971	NA	0	
126	3	2876035	324305313	3	1008307	666701	15975224	51092094	NA	0	
127	3	2242658	326547971	3	1008322	666701	16081267	51446637	NA	0	
128	3	3073112	329621083	3	1008337	666701	16223504	51951934	NA	0	
129	3	1691182	331312265	3	1008352	666701	16303014	52229855	NA	0	
130	3	1734109	333046374	3	1008367	666701	16384852	52515686	NA	0	
131	3	3239711	336286085	3	1008382	666701	16532806	53041510	NA	0	
132	3	2242658	338528743	3	1008397	666701	16638849	53396053	NA	0	
133	3	3073112	341601855	3	1008412	666701	16781086	53901350	NA	0	
134	3	1691182	343293037	3	1008427	666701	16860596	54179271	NA	0	
135	3	1734109	345027146	3	1008442	666701	16942434	54465102	NA	0	
136	3	3567353	348594499	3	1008457	666701	17109594	55023947	NA	0	
137	3	3196680	351791179	3	1008472	666701	17257300	55550029	NA	0	
138	3	2242658	354033837	3	1008487	666701	17363343	55904572	NA	0	
139	3	3073112	357106949	3	1008502	666701	17505580	56409869	NA	0	
140	3	1691182	358798131	3	1008517	666701	17585090	56687790	NA	0	
141	3	1734109	360532240	3	1008532	666701	17666928	56973621	NA	0	
142	3	3627861	364160101	3	1008547	666701	17835786	57541538	NA	0	
143	3	2061745	366221846	3	1008562	666701	17930597	57871543	NA	0	
144	3	1357037	367578883	3	1008577	666701	17991226	58083592	NA	0	
145	3	3124266	370703149	3	1008592	666701	18133472	58573846	NA	0	
146	3	1672314	372375463	3	1008607	666701	18211355	58847539	NA	0	
147	3	2242658	374618121	3	1008622	666701	18317398	59202082	NA	0	
148	3	2994554	377612675	3	1008637	666701	18456417	59683804	NA	0	
149	3	1438876	379051551	3	1008652	666701	18523830	59913981	NA	0	
150	3	3277287	382328838	3	1008667	666701	18670976	60420208	NA	0	
151	3	76523	382405361	3	1008682	666701	18673611	60431773	NA	0	
152	3	3249100	385654461	3	1008718	666701	18824740	60956196	NA	1	
153	4	1672314	387326775	4	1008718	666701	18902623	61229889	NA	0	-21
154	4	1205213	388531988	4	1008727	666701	18956523	61420169	NA	0	
155	4	206630	388738618	4	1008742	666701	18964985	61456807	NA	0	
156	4	2242658	390981276	4	1008757	666701	19071028	61811350	NA	0	
157	4	2994554	393975830	4	1008772	666701	19210047	62293072	NA	0	
158	4	1438876	395414706	4	1008787	666701	19277460	62523249	NA	0	
159	4	2798929	398213635	4	1008802	666701	19405910	62966045	NA	0	
160	4	3220014	401433649	4	1008817	666701	19547362	63445774	NA	0	
161	4	2333077	403766726	4	1008832	666701	19658256	63819447	NA	0	
162	4	3672382	407439108	4	1008847	666701	19819758	64352751	NA	0	
163	4	3094230	410533338	4	1008862	666701	19961519	64844521	NA	0	
164	4	3227576	413760914	4	1008877	666701	20104947	65339060	NA	0	
165	4	4634140	418395054	4	1008892	666701	20287967	65930352	NA	0	
166	4	3260091	421655145	4	1008907	666701	20433827	66445802	NA	0	
167	4	3009491	424664636	4	1008922	666701	20573469	66940279	NA	0	
