tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
94	2	3268176	277750360	2	502854	396468	8964178	29582488	NA	0	
95	2	3232518	280982878	2	502906	396468	9058477	29924221	NA	0	
96	2	3564422	284547300	2	502958	396468	9162954	30300632	NA	0	
97	2	3233744	287781044	2	503010	396468	9258709	30642521	NA	0	
98	2	3305990	291087034	2	503062	396468	9355813	30989420	NA	0	
99	2	3302054	294389088	2	503114	396468	9451824	31335106	NA	0	
100	2	3300921	297690009	2	503166	396468	9550705	31689523	NA	0	
101	2	3071057	300761066	2	503218	396468	9643080	32017662	NA	0	
102	2	3234203	303995269	2	503270	396468	9738731	32359762	NA	0	
103	2	3017881	307013150	2	503285	396468	9829037	32680227	NA	0	
104	2	3279524	310292674	2	503337	396468	9925188	33030989	NA	0	
105	2	3017881	313310555	2	503352	396468	10015494	33351454	NA	0	
106	2	3212840	316523395	2	503404	396468	10109597	33692543	NA	0	
107	2	3017881	319541276	2	503419	396468	10199903	34013008	NA	0	
108	2	3263639	322804915	2	503471	396468	10297292	34361457	NA	0	
109	2	3017881	325822796	2	503486	396468	10387598	34681922	NA	0	
110	2	3249425	329072221	2	503538	396468	10482309	35026652	NA	0	
111	2	3017881	332090102	2	503553	397191	10572615	35347117	NA	0	
112	2	3551761	335641863	2	503605	397191	10676286	35720957	NA	0	
113	2	3017881	338659744	2	503620	397191	10766592	36041422	NA	0	
114	2	3410684	342070428	2	503672	397191	10866580	36408377	NA	0	
115	2	3017881	345088309	2	503687	397191	10956886	36728842	NA	0	
116	2	3201894	348290203	2	503739	397191	11052258	37068841	NA	0	
117	2	3017881	351308084	2	503754	397191	11142564	37389306	NA	0	
118	2	3234436	354542520	2	503806	397191	11236760	37731346	NA	0	
119	2	3017881	357560401	2	503821	397191	11327066	38051811	NA	0	
120	2	3271801	360832202	2	503873	397191	11423077	38401187	NA	0	
121	2	3017881	363850083	2	503888	397191	11513383	38721652	NA	0	
122	2	3566528	367416611	2	503940	397191	11618258	39098229	NA	0	
