tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
94	2	1494907	111645668	2	454512	362280	6111399	17570408	NA	0	
95	2	1091510	112737178	2	454564	362280	6165364	17743830	NA	0	
96	2	1893739	114630917	2	454616	362280	6251217	18025171	NA	0	
97	2	1195003	115825920	2	454668	362280	6311406	18214849	NA	0	
98	2	1709466	117535386	2	454720	362280	6391128	18465018	NA	0	
99	2	1450567	118985953	2	454772	362280	6457890	18675054	NA	0	
100	2	1530552	120516505	2	454824	362280	6534375	18918970	NA	0	
101	2	1025043	121541548	2	454876	362280	6584026	19078469	NA	0	
102	2	1093945	122635493	2	454928	362280	6638388	19251806	NA	0	
103	2	764286	123399779	2	454943	362280	6675887	19375086	NA	0	
104	2	1509484	124909263	2	454995	362280	6751387	19615663	NA	0	
105	2	764286	125673549	2	455010	362280	6788886	19738943	NA	0	
106	2	1419168	127092717	2	455062	362280	6859036	19963396	NA	0	
107	2	764286	127857003	2	455077	362280	6896535	20086676	NA	0	
108	2	1490855	129347858	2	455129	362280	6972128	20323569	NA	0	
109	2	764286	130112144	2	455144	362280	7009627	20446849	NA	0	
110	2	1110682	131222826	2	455196	362280	7064428	20623519	NA	0	
111	2	764286	131987112	2	455211	363001	7101927	20746799	NA	0	
112	2	1880684	133867796	2	455263	363001	7186995	21026937	NA	0	
113	2	764286	134632082	2	455278	363001	7224494	21150217	NA	0	
114	2	1481788	136113870	2	455330	363001	7295060	21381124	NA	0	
115	2	764286	136878156	2	455345	363001	7332559	21504404	NA	0	
116	2	1283114	138161270	2	455397	363001	7396822	21707419	NA	0	
117	2	764286	138925556	2	455412	363001	7434321	21830699	NA	0	
118	2	1196938	140122494	2	455464	363001	7494237	22021631	NA	0	
119	2	764286	140886780	2	455479	363001	7531736	22144911	NA	0	
120	2	1501133	142387913	2	455531	363001	7607158	22383506	NA	0	
121	2	764286	143152199	2	455546	363001	7644657	22506786	NA	0	
122	2	1895521	145047720	2	455598	363001	7730900	22788494	NA	0	
123	2	764286	145812006	2	455613	363001	7768399	22911774	NA	0	
124	2	1430203	147242209	2	455665	363001	7839128	23135852	NA	0	
125	2	764286	148006495	2	455680	363001	7876627	23259132	NA	0	
126	2	1094923	149101418	2	455732	363001	7931084	23433227	NA	0	
127	2	764286	149865704	2	455747	363001	7968583	23556507	NA	0	
128	2	1453058	151318762	2	455799	363001	8035346	23767012	NA	0	
129	2	764286	152083048	2	455814	363001	8072845	23890292	NA	0	
130	2	1893180	153976228	2	455866	363001	8158691	24172692	NA	0	
131	2	764286	154740514	2	455881	363001	8196190	24295972	NA	0	
132	2	1451914	156192428	2	455933	363001	8262764	24506291	NA	0	
133	2	764286	156956714	2	455948	363001	8300263	24629571	NA	0	
134	2	1629581	158586295	2	456000	363001	8374863	24866487	NA	0	
135	2	764286	159350581	2	456015	363001	8412362	24989767	NA	0	
136	2	1631687	160982268	2	456067	363001	8487083	25227226	NA	0	
137	2	764286	161746554	2	456082	363001	8524582	25350506	NA	0	
138	2	1451577	163198131	2	456134	363001	8591483	25560085	NA	0	
139	2	764286	163962417	2	456149	363001	8628982	25683365	NA	0	
140	2	1454020	165416437	2	456201	363001	8695647	25894131	NA	0	
141	2	764286	166180723	2	456216	363001	8733146	26017411	NA	0	
142	2	1783268	167963991	2	456268	363001	8817659	26295328	NA	0	
143	2	1310665	169274656	2	456327	363001	8883831	26504602	NA	1	
144	3	1496695	170771351	3	456335	363001	8959904	26743252	NA	0	-7
145	3	1750960	172522311	3	456350	363001	9045223	27022561	NA	0	
146	3	1810990	174333301	3	456365	363001	9132930	27309598	NA	0	
147	3	1439885	175773186	3	456380	363001	9204466	27536976	NA	0	
148	3	1197209	176970395	3	456395	363001	9264810	27726996	NA	0	
149	3	1580971	178551366	3	456410	363001	9345325	27979537	NA	0	
150	3	1468475	180019841	3	456425	363001	9419895	28214648	NA	0	
151	3	1467018	181486859	3	456440	363001	9495893	28451219	NA	0	
152	3	10456	181497315	3	456455	363001	9496394	28453312	NA	0	
153	3	1410969	182908284	3	456470	363001	9567236	28679364	NA	0	
154	3	1447898	184356182	3	456485	363001	9639142	28908857	NA	0	
155	3	1483622	185839804	3	456500	363001	9714129	29146922	NA	0	
156	3	1564628	187404432	3	456515	363001	9792582	29395329	NA	0	
157	3	1552547	188956979	3	456530	363001	9871495	29643939	NA	0	
158	3	1495660	190452639	3	456545	363001	9946365	29882736	NA	0	
159	3	1336603	191789242	3	456560	363001	10013907	30095039	NA	0	
160	3	857848	192647090	3	456575	363001	10056582	30233428	NA	0	
161	3	1201306	193848396	3	456590	363001	10117121	30424843	NA	0	
162	3	21132	193869528	3	456605	363001	10118348	30429787	NA	0	
163	3	132571	194002099	3	456620	363001	10128212	30458358	NA	0	
164	3	26370	194028469	3	456635	363001	10129260	30462803	NA	0	
165	3	759620	194788089	3	456650	363001	10166400	30584922	NA	0	
166	3	1494907	196282996	3	456665	363001	10241620	30822709	NA	0	
167	3	1091510	197374506	3	456680	363001	10295585	30996131	NA	0	
168	3	1893739	199268245	3	456695	363001	10381438	31277472	NA	0	
169	3	1195003	200463248	3	456710	363001	10441627	31467150	NA	0	
170	3	1709466	202172714	3	456725	363001	10521349	31717319	NA	0	
171	3	1450567	203623281	3	456740	363001	10588111	31927355	NA	0	
172	3	1530552	205153833	3	456755	363001	10664596	32171271	NA	0	
173	3	1025043	206178876	3	456770	363001	10714247	32330770	NA	0	
174	3	1093945	207272821	3	456785	363001	10768609	32504107	NA	0	
175	3	764286	208037107	3	456800	363001	10806108	32627387	NA	0	
