tu	pass	raw	cumulative_raw	stream	p29_cum_wire	grz2_cum_wire	fastintern_cum_wire	zstd3_cum_wire	pred_cum_wire	build_close	stream_switch_delta
83	2	865300	127885249	2	436525	401210	6561541	19248918	NA	0	
84	2	2053732	129938981	2	436577	401210	6650477	19544232	NA	0	
85	2	865300	130804281	2	436592	401210	6691377	19677825	NA	0	
86	2	1870316	132674597	2	436644	401210	6776249	19962396	NA	0	
87	2	865300	133539897	2	436659	401210	6817149	20095989	NA	0	
88	2	1923259	135463156	2	436711	401210	6905441	20387654	NA	0	
89	2	865300	136328456	2	436726	401210	6946341	20521247	NA	0	
90	2	1655375	137983831	2	436778	401210	7025175	20773058	NA	0	
91	2	865300	138849131	2	436793	401210	7066075	20906651	NA	0	
92	2	2449261	141298392	2	436845	401210	7172750	21263868	NA	0	
93	2	865300	142163692	2	436860	401210	7213650	21397461	NA	0	
94	2	2056164	144219856	2	436912	401210	7302662	21693642	NA	0	
95	2	865300	145085156	2	436927	401210	7343562	21827235	NA	0	
96	2	1727428	146812584	2	436979	401210	7425585	22089040	NA	0	
97	2	865300	147677884	2	436994	401210	7466485	22222633	NA	0	
98	2	1929275	149607159	2	437046	401210	7555334	22515978	NA	0	
99	2	2033273	151640432	2	437098	401210	7649396	22827885	NA	0	
100	2	2122650	153763082	2	437150	401210	7746159	23150620	NA	0	
101	2	1901099	155664181	2	437202	401210	7832713	23438622	NA	0	
102	2	1718663	157382844	2	437254	401210	7915636	23700468	NA	0	
103	2	2015041	159397885	2	437306	401210	8008336	24008393	NA	0	
104	2	1890794	161288679	2	437358	401210	8095202	24297281	NA	0	
105	2	1918861	163207540	2	437410	401210	8184796	24592488	NA	0	
106	2	10624	163218164	2	437461	401210	8185297	24594594	NA	0	
107	2	1867375	165085539	2	437513	401210	8271544	24881543	NA	0	
108	2	1909656	166995195	2	437565	401210	8358660	25171987	NA	0	
109	2	1906673	168901868	2	437617	401210	8446216	25464436	NA	0	
110	2	2001518	170903386	2	437669	401210	8537032	25767721	NA	0	
111	2	2041973	172945359	2	437721	401931	8630680	26080459	NA	0	
112	2	1928294	174873653	2	437773	401931	8718772	26373852	NA	0	
113	2	1866413	176740066	2	437825	401931	8804955	26658618	NA	0	
114	2	1422121	178162187	2	437877	401931	8873051	26876664	NA	0	
115	2	1722738	179884925	2	437929	401931	8956065	27139482	NA	0	
116	2	21300	179906225	2	437980	401931	8957291	27144447	NA	0	
117	2	132739	180038964	2	438031	401931	8967155	27173034	NA	0	
118	2	31486	180070450	2	438082	401931	8968318	27177980	NA	0	
119	2	1324077	181394527	2	438134	401931	9030728	27379701	NA	0	
120	2	1969681	183364208	2	438186	401931	9116506	27673183	NA	0	
121	2	865300	184229508	2	438201	401931	9157406	27806776	NA	0	
122	2	2093369	186322877	2	438253	401931	9250979	28119525	NA	0	
123	2	1724620	188047497	2	438305	401931	9333425	28382510	NA	0	
124	2	1637083	189684580	2	438357	401931	9411236	28631241	NA	0	
125	2	865300	190549880	2	438372	401931	9452136	28764834	NA	0	
126	2	1934233	192484113	2	438424	401931	9540263	29058216	NA	0	
127	2	865300	193349413	2	438439	401931	9581163	29191809	NA	0	
128	2	2463982	195813395	2	438491	401931	9688729	29550421	NA	0	
129	2	865300	196678695	2	438506	401931	9729629	29684014	NA	0	
130	2	1883862	198562557	2	438558	401931	9815213	29968139	NA	0	
131	2	865300	199427857	2	438573	401931	9856113	30101732	NA	0	
132	2	1638958	201066815	2	438625	401931	9934906	30350868	NA	0	
133	2	865300	201932115	2	438640	401931	9975806	30484461	NA	0	
134	2	2055335	203987450	2	438692	401931	10064768	30780540	NA	0	
135	2	865300	204852750	2	438707	401931	10105668	30914133	NA	0	
136	2	1927365	206780115	2	438759	401931	10194258	31206840	NA	0	
137	2	1635501	208415616	2	438811	401931	10272052	31455248	NA	0	
138	2	2462378	210877994	2	438863	401931	10379386	31814322	NA	0	
139	2	1716443	212594437	2	438915	401931	10462167	32075807	NA	0	
140	2	2261736	214856173	2	438967	401931	10560583	32404171	NA	0	
141	2	2052676	216908849	2	439019	401931	10649453	32699565	NA	0	
142	2	1964179	218873028	2	439071	401931	10739627	32998012	NA	0	
143	2	1589882	220462910	2	439130	401931	10814732	33236870	NA	1	
144	3	1637970	222100880	3	439138	401931	10893307	33485426	NA	0	-7
145	3	865300	222966180	3	439153	401931	10934207	33619019	NA	0	
146	3	1942752	224908932	3	439168	401931	11022532	33914596	NA	0	
147	3	865300	225774232	3	439183	401931	11063432	34048189	NA	0	
148	3	2463021	228237253	3	439198	401931	11170870	34407570	NA	0	
149	3	865300	229102553	3	439213	401931	11211770	34541163	NA	0	
150	3	2054037	231156590	3	439228	401931	11300411	34836705	NA	0	
151	3	865300	232021890	3	439243	401931	11341311	34970298	NA	0	
152	3	2181040	234202930	3	439258	401931	11435267	35284913	NA	0	
153	3	865300	235068230	3	439273	401931	11476167	35418506	NA	0	
154	3	2183174	237251404	3	439288	401931	11570209	35733760	NA	0	
155	3	865300	238116704	3	439303	401931	11611109	35867353	NA	0	
156	3	2053732	240170436	3	439318	401931	11700045	36162667	NA	0	
157	3	865300	241035736	3	439333	401931	11740945	36296260	NA	0	
158	3	1870316	242906052	3	439348	401931	11825817	36580831	NA	0	
159	3	865300	243771352	3	439363	401931	11866717	36714424	NA	0	
160	3	1923259	245694611	3	439378	401931	11955009	37006089	NA	0	
161	3	865300	246559911	3	439393	401931	11995909	37139682	NA	0	
162	3	1655375	248215286	3	439408	401931	12074743	37391493	NA	0	
163	3	865300	249080586	3	439423	401931	12115643	37525086	NA	0	
164	3	2449261	251529847	3	439438	401931	12222318	37882303	NA	0	
165	3	865300	252395147	3	439453	401931	12263218	38015896	NA	0	
166	3	2056164	254451311	3	439468	401931	12352230	38312077	NA	0	
167	3	865300	255316611	3	439483	401931	12393130	38445670	NA	0	
168	3	1727428	257044039	3	439498	401931	12475153	38707475	NA	0	
169	3	865300	257909339	3	439513	401931	12516053	38841068	NA	0	
170	3	1929275	259838614	3	439528	401931	12604902	39134413	NA	0	
171	3	2033273	261871887	3	439543	401931	12698964	39446320	NA	0	
172	3	2122650	263994537	3	439558	401931	12795727	39769055	NA	0	
173	3	1901099	265895636	3	439573	401931	12882281	40057057	NA	0	
174	3	1718663	267614299	3	439588	401931	12965204	40318903	NA	0	
175	3	2015041	269629340	3	439603	401931	13057904	40626828	NA	0	
176	3	1890794	271520134	3	439618	401931	13144770	40915716	NA	0	
177	3	1918861	273438995	3	439633	401931	13234364	41210923	NA	0	
178	3	10624	273449619	3	439648	401931	13234865	41213029	NA	0	
179	3	1867375	275316994	3	439663	401931	13321112	41499978	NA	0	
180	3	1909656	277226650	3	439678	401931	13408228	41790422	NA	0	
181	3	1906673	279133323	3	439693	401931	13495784	42082871	NA	0	
182	3	2001518	281134841	3	439708	401931	13586600	42386156	NA	0	
183	3	2041973	283176814	3	439723	401931	13680248	42698894	NA	0	
184	3	1928294	285105108	3	439738	401931	13768340	42992287	NA	0	
185	3	1866413	286971521	3	439753	401931	13854523	43277053	NA	0	
186	3	1422121	288393642	3	439768	401931	13922619	43495099	NA	0	
187	3	1722738	290116380	3	439783	401931	14005633	43757917	NA	0	
188	3	21300	290137680	3	439798	401931	14006859	43762882	NA	0	
189	3	132739	290270419	3	439813	401931	14016723	43791469	NA	0	
190	3	31486	290301905	3	439828	401931	14017886	43796415	NA	0	
191	3	1324077	291625982	3	439843	401931	14080296	43998136	NA	0	
192	3	1969681	293595663	3	439858	401931	14166074	44291618	NA	0	
193	3	865300	294460963	3	439873	401931	14206974	44425211	NA	0	
194	3	2093369	296554332	3	439888	401931	14300547	44737960	NA	0	
195	3	1724620	298278952	3	439903	401931	14382993	45000945	NA	0	
196	3	1637083	299916035	3	439918	401931	14460804	45249676	NA	0	
197	3	865300	300781335	3	439933	401931	14501704	45383269	NA	0	
198	3	1934233	302715568	3	439948	401931	14589831	45676651	NA	0	
199	3	865300	303580868	3	439963	401931	14630731	45810244	NA	0	
200	3	2463982	306044850	3	439978	401931	14738297	46168856	NA	0	
201	3	865300	306910150	3	439993	401931	14779197	46302449	NA	0	
202	3	1883862	308794012	3	440008	401931	14864781	46586574	NA	0	
203	3	865300	309659312	3	440023	401931	14905681	46720167	NA	0	
204	3	1638958	311298270	3	440038	401931	14984474	46969303	NA	0	
205	3	865300	312163570	3	440053	401931	15025374	47102896	NA	0	
206	3	2055335	314218905	3	440068	401931	15114336	47398975	NA	0	
207	3	865300	315084205	3	440083	401931	15155236	47532568	NA	0	
208	3	1927365	317011570	3	440098	401931	15243826	47825275	NA	0	
209	3	1635501	318647071	3	440113	401931	15321620	48073683	NA	0	
210	3	2462378	321109449	3	440128	401931	15428954	48432757	NA	0	
211	3	1716443	322825892	3	440143	401931	15511735	48694242	NA	0	
212	3	2261736	325087628	3	440158	401931	15610151	49022606	NA	0	
213	3	2052676	327140304	3	440173	401931	15699021	49318000	NA	0	
214	3	1964179	329104483	3	440188	401931	15789195	49616447	NA	0	
215	3	1589882	330694365	3	440210	402507	15864300	49855305	NA	1	
216	4	1637970	332332335	4	440218	402507	15942875	50103861	NA	0	-7
217	4	865300	333197635	4	440233	402507	15983775	50237454	NA	0	
218	4	1942752	335140387	4	440248	402507	16072100	50533031	NA	0	
219	4	865300	336005687	4	440263	402507	16113000	50666624	NA	0	
220	4	2463021	338468708	4	440278	402507	16220438	51026005	NA	0	
221	4	865300	339334008	4	440293	402507	16261338	51159598	NA	0	
222	4	2054037	341388045	4	440308	402507	16349979	51455140	NA	0	
223	4	865300	342253345	4	440323	403221	16390879	51588733	NA	0	
224	4	2181040	344434385	4	440338	403221	16484835	51903348	NA	0	
225	4	865300	345299685	4	440353	403221	16525735	52036941	NA	0	
226	4	2183174	347482859	4	440368	403221	16619777	52352195	NA	0	
227	4	865300	348348159	4	440383	403221	16660677	52485788	NA	0	
228	4	2053732	350401891	4	440398	403221	16749613	52781102	NA	0	
229	4	865300	351267191	4	440413	403221	16790513	52914695	NA	0	
230	4	1870316	353137507	4	440428	403221	16875385	53199266	NA	0	
231	4	865300	354002807	4	440443	403221	16916285	53332859	NA	0	
232	4	1923259	355926066	4	440458	403221	17004577	53624524	NA	0	
233	4	865300	356791366	4	440473	403221	17045477	53758117	NA	0	
234	4	1655375	358446741	4	440488	403221	17124311	54009928	NA	0	
235	4	865300	359312041	4	440503	403221	17165211	54143521	NA	0	
236	4	2449261	361761302	4	440518	403221	17271886	54500738	NA	0	
237	4	865300	362626602	4	440533	403221	17312786	54634331	NA	0	
238	4	2056164	364682766	4	440548	403221	17401798	54930512	NA	0	
239	4	865300	365548066	4	440563	403221	17442698	55064105	NA	0	
240	4	1727428	367275494	4	440578	403221	17524721	55325910	NA	0	
241	4	865300	368140794	4	440593	403221	17565621	55459503	NA	0	
242	4	1929275	370070069	4	440608	403221	17654470	55752848	NA	0	
243	4	2033273	372103342	4	440623	403221	17748532	56064755	NA	0	
244	4	2122650	374225992	4	440638	403221	17845295	56387490	NA	0	
245	4	1901099	376127091	4	440653	403221	17931849	56675492	NA	0	
246	4	1718663	377845754	4	440668	403221	18014772	56937338	NA	0	
247	4	2015041	379860795	4	440683	403221	18107472	57245263	NA	0	
248	4	1890794	381751589	4	440698	403221	18194338	57534151	NA	0	
249	4	1918861	383670450	4	440713	403221	18283932	57829358	NA	0	
250	4	10624	383681074	4	440728	403221	18284433	57831464	NA	0	
251	4	1867375	385548449	4	440743	403221	18370680	58118413	NA	0	
252	4	1909656	387458105	4	440758	403221	18457796	58408857	NA	0	
253	4	1906673	389364778	4	440773	403221	18545352	58701306	NA	0	
254	4	2001518	391366296	4	440788	403221	18636168	59004591	NA	0	
255	4	2041973	393408269	4	440803	403221	18729816	59317329	NA	0	
256	4	1928294	395336563	4	440818	403221	18817908	59610722	NA	0	
257	4	1866413	397202976	4	440833	403221	18904091	59895488	NA	0	
258	4	1422121	398625097	4	440848	403221	18972187	60113534	NA	0	
259	4	1722738	400347835	4	440863	403221	19055201	60376352	NA	0	
260	4	21300	400369135	4	440878	403221	19056427	60381317	NA	0	
261	4	132739	400501874	4	440893	403221	19066291	60409904	NA	0	
262	4	31486	400533360	4	440908	403221	19067454	60414850	NA	0	
263	4	1324077	401857437	4	440923	403221	19129864	60616571	NA	0	
264	4	1969681	403827118	4	440938	403221	19215642	60910053	NA	0	
265	4	865300	404692418	4	440953	403221	19256542	61043646	NA	0	
266	4	2093369	406785787	4	440968	403221	19350115	61356395	NA	0	
267	4	1724620	408510407	4	440983	403221	19432561	61619380	NA	0	
268	4	1637083	410147490	4	440998	403221	19510372	61868111	NA	0	
269	4	865300	411012790	4	441013	403221	19551272	62001704	NA	0	
270	4	1934233	412947023	4	441028	403221	19639399	62295086	NA	0	
271	4	865300	413812323	4	441043	403221	19680299	62428679	NA	0	
272	4	2463982	416276305	4	441058	403221	19787865	62787291	NA	0	
273	4	865300	417141605	4	441073	403221	19828765	62920884	NA	0	
274	4	1883862	419025467	4	441088	403221	19914349	63205009	NA	0	
275	4	865300	419890767	4	441103	403221	19955249	63338602	NA	0	
276	4	1638958	421529725	4	441118	403221	20034042	63587738	NA	0	
277	4	865300	422395025	4	441133	403221	20074942	63721331	NA	0	
278	4	2055335	424450360	4	441148	403221	20163904	64017410	NA	0	
279	4	865300	425315660	4	441163	403221	20204804	64151003	NA	0	
280	4	1927365	427243025	4	441178	403221	20293394	64443710	NA	0	
281	4	1635501	428878526	4	441193	403221	20371188	64692118	NA	0	
282	4	2462378	431340904	4	441208	403221	20478522	65051192	NA	0	
283	4	1716443	433057347	4	441223	403221	20561303	65312677	NA	0	
284	4	2261736	435319083	4	441238	403221	20659719	65641041	NA	0	
285	4	2052676	437371759	4	441253	403221	20748589	65936435	NA	0	
286	4	1964179	439335938	4	441268	403221	20838763	66234882	NA	0	
287	4	1589882	440925820	4	441290	403221	20913868	66473740	NA	1	
