corpus	checkpoint	tu	corpus_tus	method	raw_bytes	build_wire_bytes	average_wire_bytes_per_tu	ratio	saved_vs_empty_bytes	saved_vs_empty_percent	installation_bytes_excluded	ideal_1gbit_seconds	ideal_1GBps_seconds	exact
rocksdb	full	622	622	empty_online	3114320596	16574832	26647.63987138264	187.8945497607457	0	0.0	0	0.132598656	0.016574832	True
rocksdb	full	622	622	pre_shared_installed	3114320596	16316312	26232.012861736333	190.87160113143216	258520	1.5597141497422116	82087	0.130530496	0.016316312	True
rocksdb	full	622	622	pre_shared_c_only	3114320596	16222540	26081.254019292606	191.97490627238398	352292	2.1254634737775926	0	0.12978032	0.01622254	True
duckdb	50	50	689	empty_online	157611119	759391	15187.82	207.5493638981763	0	0.0	0	0.006075128	0.000759391	True
duckdb	50	50	689	pre_shared_installed	157611119	506967	10139.34	310.89029266204705	252424	33.240320203952905	79138	0.004055736	0.000506967	True
duckdb	50	50	689	pre_shared_c_only	157611119	515857	10317.14	305.53257782680083	243534	32.06964528154798	0	0.004126856	0.000515857	True
duckdb	100	100	689	empty_online	314498355	903441	9034.41	348.1116697161187	0	0.0	0	0.007227528	0.000903441	True
duckdb	100	100	689	pre_shared_installed	314498355	646104	6461.04	486.7611947921697	257337	28.484095807031117	79138	0.005168832	0.000646104	True
duckdb	100	100	689	pre_shared_c_only	314498355	655315	6553.15	479.9193593920481	248126	27.46454942824158	0	0.00524252	0.000655315	True
duckdb	150	150	689	empty_online	516085068	1308163	8721.086666666666	394.5112864375464	0	0.0	0	0.010465304	0.001308163	True
duckdb	150	150	689	pre_shared_installed	516085068	1039490	6929.933333333333	496.47910802412724	268673	20.538189812737404	79138	0.00831592	0.00103949	True
duckdb	150	150	689	pre_shared_c_only	516085068	1048404	6989.36	492.25782045852554	259759	19.856776258004547	0	0.008387232	0.001048404	True
duckdb	200	200	689	empty_online	646795216	1655731	8278.655	390.64027671161557	0	0.0	0	0.013245848	0.001655731	True
duckdb	200	200	689	pre_shared_installed	646795216	1358239	6791.195	476.201328337649	297492	17.96741137298269	79138	0.010865912	0.001358239	True
duckdb	200	200	689	pre_shared_c_only	646795216	1367596	6837.98	472.9431908253607	288135	17.402283341919674	0	0.010940768	0.001367596	True
duckdb	250	250	689	empty_online	746619323	1877765	7511.06	397.6106291255828	0	0.0	0	0.01502212	0.001877765	True
duckdb	250	250	689	pre_shared_installed	746619323	1553598	6214.392	480.5743332573806	324167	17.263448834119284	79138	0.012428784	0.001553598	True
duckdb	250	250	689	pre_shared_c_only	746619323	1563463	6253.852	477.5420480049736	314302	16.738090229608073	0	0.012507704	0.001563463	True
duckdb	300	300	689	empty_online	828521266	2058355	6861.183333333333	402.5162161046078	0	0.0	0	0.01646684	0.002058355	True
duckdb	300	300	689	pre_shared_installed	828521266	1717644	5725.48	482.3591302970814	340711	16.552586895846442	79138	0.013741152	0.001717644	True
duckdb	300	300	689	pre_shared_c_only	828521266	1727520	5758.4	479.6015478836714	330835	16.07278627836306	0	0.01382016	0.00172752	True
duckdb	full	689	689	empty_online	1985715205	7323010	10628.461538461539	271.161066965633	0	0.0	0	0.05858408	0.00732301	True
duckdb	full	689	689	pre_shared_installed	1985715205	6793962	9860.612481857765	292.27646622103566	529048	7.224460979842988	79138	0.054351696	0.006793962	True
duckdb	full	689	689	pre_shared_c_only	1985715205	6805445	9877.278664731495	291.78330072464036	517565	7.067653874567971	0	0.05444356	0.006805445	True
abseil	50	50	700	empty_online	112626789	921490	18429.8	122.22247555589317	0	0.0	0	0.00737192	0.00092149	True
abseil	50	50	700	pre_shared_installed	112626789	734281	14685.62	153.3837713354969	187209	20.315901420525453	79138	0.005874248	0.000734281	True
abseil	50	50	700	pre_shared_c_only	112626789	740760	14815.2	152.04221205248663	180730	19.612801007064647	0	0.00592608	0.00074076	True
abseil	100	100	700	empty_online	284336916	2610082	26100.82	108.93792455562699	0	0.0	0	0.020880656	0.002610082	True
abseil	100	100	700	pre_shared_installed	284336916	2400188	24001.88	118.46443528590261	209894	8.041663058861753	79138	0.019201504	0.002400188	True
abseil	100	100	700	pre_shared_c_only	284336916	2409374	24093.74	118.01277676276078	200708	7.689720093085198	0	0.019274992	0.002409374	True
abseil	150	150	700	empty_online	407205816	3431430	22876.2	118.66942236909976	0	0.0	0	0.02745144	0.00343143	True
abseil	150	150	700	pre_shared_installed	407205816	3220661	21471.073333333334	126.4354789280834	210769	6.142308017357196	79138	0.025765288	0.003220661	True
abseil	150	150	700	pre_shared_c_only	407205816	3228785	21525.233333333334	126.11735250256676	202645	5.90555540984371	0	0.02583028	0.003228785	True
abseil	200	200	700	empty_online	548396320	4005633	20028.165	136.9062817287555	0	0.0	0	0.032045064	0.004005633	True
abseil	200	200	700	pre_shared_installed	548396320	3792077	18960.385	144.61634613432165	213556	5.3313920671214765	79138	0.030336616	0.003792077	True
abseil	200	200	700	pre_shared_c_only	548396320	3797960	18989.8	144.39233693877765	207673	5.184523894225956	0	0.03038368	0.00379796	True
abseil	250	250	700	empty_online	710792149	4629219	18516.876	153.54472298675003	0	0.0	0	0.037033752	0.004629219	True
abseil	250	250	700	pre_shared_installed	710792149	4411667	17646.668	161.11645529909669	217552	4.699540030402536	79138	0.035293336	0.004411667	True
abseil	250	250	700	pre_shared_c_only	710792149	4419046	17676.184	160.8474202350462	210173	4.540139492212401	0	0.035352368	0.004419046	True
abseil	300	300	700	empty_online	869646960	5488822	18296.073333333334	158.4396360457672	0	0.0	0	0.043910576	0.005488822	True
abseil	300	300	700	pre_shared_installed	869646960	5267666	17558.886666666665	165.09151491381573	221156	4.02920699559942	79138	0.042141328	0.005267666	True
