project	schema	stage	receiver_initial_state	learning_mode	description	build_repetitions	tus_per_build	total_tus	raw_bytes_per_build	curve_sha256	log_sha256	tu50_wire_bytes	tu50_decimal_mb	tu50_seconds_1gbit	tu100_wire_bytes	tu100_decimal_mb	tu100_seconds_1gbit	tu150_wire_bytes	tu150_decimal_mb	tu150_seconds_1gbit	tu200_wire_bytes	tu200_decimal_mb	tu200_seconds_1gbit	tu250_wire_bytes	tu250_decimal_mb	tu250_seconds_1gbit	tu300_wire_bytes	tu300_decimal_mb	tu300_seconds_1gbit	build1_incremental_wire_bytes	build1_cumulative_wire_bytes	build2_incremental_wire_bytes	build2_cumulative_wire_bytes	build3_incremental_wire_bytes	build3_cumulative_wire_bytes	build4_incremental_wire_bytes	build4_cumulative_wire_bytes	full_build_wire_bytes	full_build_decimal_mb	full_build_seconds_1gbit	full_build_ratio	four_build_cumulative_wire_bytes	four_build_cumulative_decimal_mb	four_build_cumulative_seconds_1gbit	four_build_cumulative_ratio	exact
leveldb	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	72	288	143868249	ff52407b171f4598c0ac8b07d56ef5d8aa2b1c3ecc6b1261267bf0b71b4f6f45	8aee2bff788321f0d41350405e0dcfaa2b901a730ae0d475def3e2cace4228a9	520707	0.520707	0.004165656	686610	0.68661	0.00549288	689053	0.689053	0.005512424	689853	0.689853	0.005518824	690705	0.690705	0.00552564				685350	685350	3607	688957	1204	690161	1204	691365	685350	0.68535	0.0054828	209.91938279711096	691365	0.691365	0.00553092	832.3721854592003	True
leveldb	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	72	288	143868249	ff52407b171f4598c0ac8b07d56ef5d8aa2b1c3ecc6b1261267bf0b71b4f6f45	5d421f47611c39c0d292b4c4d64b6e8c2b641d128a6c08bdb86965783b26cc27	520707	0.520707	0.004165656	686610	0.68661	0.00549288	689053	0.689053	0.005512424	689853	0.689853	0.005518824	690705	0.690705	0.00552564				685350	685350	3607	688957	1204	690161	1204	691365	685350	0.68535	0.0054828	209.91938279711096	691365	0.691365	0.00553092	832.3721854592003	True
simdjson	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	153	612	468377342	841389f4d3cd8365888e0ddbebf0f28441a808168e688f3f1136a57f848e4f19	0624ad39b5df550925f127f56658b3799e788bbdbcdc59f006f70b80b445abba	1117259	1.117259	0.008938072	1247573	1.247573	0.009980584	1449174	1.449174	0.011593392	1455760	1.45576	0.01164608	1457986	1.457986	0.011663888	1460536	1.460536	0.011684288	1453513	1453513	7381	1460894	2347	1463241	2347	1465588	1453513	1.453513	0.011628104	322.2381512927645	1465588	1.465588	0.011724704	1278.3329066558952	True
simdjson	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	153	612	468377342	a69881a9f7ea7285e5f9ea87fb3f2e9a306b671ac3b0ac6945750f50353ce05f	a92bed4f1f588aa3159bf27d326c71aae2e7ca49a695db9e4a295caddfc0e588	1086881	1.086881	0.008695048	1211940	1.21194	0.00969552	1404584	1.404584	0.011236672	1411023	1.411023	0.011288184	1413290	1.41329	0.01130632	1415890	1.41589	0.01132712	1408733	1408733	7521	1416254	2347	1418601	2347	1420948	1408733	1.408733	0.011269864	332.4812735983327	1420948	1.420948	0.011367584	1318.4925613041435	True
simdjson	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	153	612	468377342	a69881a9f7ea7285e5f9ea87fb3f2e9a306b671ac3b0ac6945750f50353ce05f	9b549a235615e72c5ad32653cb54e493faf131b3fee09297b14e0ce97a4d1018	1086881	1.086881	0.008695048	1211940	1.21194	0.00969552	1404584	1.404584	0.011236672	1411023	1.411023	0.011288184	1413290	1.41329	0.01130632	1415890	1.41589	0.01132712	1408733	1408733	7521	1416254	2347	1418601	2347	1420948	1408733	1.408733	0.011269864	332.4812735983327	1420948	1.420948	0.011367584	1318.4925613041435	True
simdjson	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	153	612	468377342	ab8386bd7fd120a34bfaac442041d81681708cdedfae89e3b01d9ef76934c329	35119e68dc927f5df3469e8493a64772e9d6f4e077c50ed10ee9169bdf24eff9	1086870	1.08687	0.00869496	1211900	1.2119	0.0096952	1404439	1.404439	0.011235512	1410885	1.410885	0.01128708	1413152	1.413152	0.011305216	1415752	1.415752	0.011326016	1408595	1408595	7521	1416116	2347	1418463	2347	1420810	1408595	1.408595	0.01126876	332.51384677639777	1420810	1.42081	0.01136648	1318.6206234471886	True
simdjson	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	153	612	468377342	ab8386bd7fd120a34bfaac442041d81681708cdedfae89e3b01d9ef76934c329	9e0536d2a00f7d9355bf6cd57fe6a49a9fbddd1f2b67a933e82879e3969cf17b	1086870	1.08687	0.00869496	1211900	1.2119	0.0096952	1404439	1.404439	0.011235512	1410885	1.410885	0.01128708	1413152	1.413152	0.011305216	1415752	1.415752	0.011326016	1408595	1408595	7521	1416116	2347	1418463	2347	1420810	1408595	1.408595	0.01126876	332.51384677639777	1420810	1.42081	0.01136648	1318.6206234471886	True
cereal	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	84	336	326899429	6b9e6be2429f29b037e478cfd37772bc3f499089b84fc3e0f0d83f5dd539665a	9ed6cb40033d477d001bccd25a88a46f22736e4f0698b2bdb3c5ad756499adee	528170	0.52817	0.00422536	530172	0.530172	0.004241376	531138	0.531138	0.004249104	531940	0.53194	0.00425552	532690	0.53269	0.00426152	533492	0.533492	0.004267936	529932	529932	1528	531460	1312	532772	1312	534084	529932	0.529932	0.004239456	616.8705211234649	534084	0.534084	0.004272672	2448.2997356221117	True
cereal	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	84	336	326899429	8dcbba0bc404c5f7106025a08aa3859383c22218cac96afe8f9205839d53a448	b6327cd29154677600cef9bf68a4de9ff626e89140c005883aa0f86dd315ccec	510792	0.510792	0.004086336	512828	0.512828	0.004102624	513800	0.5138	0.0041104	514602	0.514602	0.004116816	515352	0.515352	0.004122816	516154	0.516154	0.004129232	512588	512588	1534	514122	1312	515434	1312	516746	512588	0.512588	0.004100704	637.7430392439933	516746	0.516746	0.004133968	2530.4457431697583	True
cereal	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	84	336	326899429	8dcbba0bc404c5f7106025a08aa3859383c22218cac96afe8f9205839d53a448	b39baf5d9672390a21633688a33aa71857d78372cee2c21f53b08521ea357d34	510792	0.510792	0.004086336	512828	0.512828	0.004102624	513800	0.5138	0.0041104	514602	0.514602	0.004116816	515352	0.515352	0.004122816	516154	0.516154	0.004129232	512588	512588	1534	514122	1312	515434	1312	516746	512588	0.512588	0.004100704	637.7430392439933	516746	0.516746	0.004133968	2530.4457431697583	True
cereal	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	84	336	326899429	8dcbba0bc404c5f7106025a08aa3859383c22218cac96afe8f9205839d53a448	2f528e0251471e0862efc7c683053d540cbbc66530beb4d6dfee6fd1f7714ae2	510792	0.510792	0.004086336	512828	0.512828	0.004102624	513800	0.5138	0.0041104	514602	0.514602	0.004116816	515352	0.515352	0.004122816	516154	0.516154	0.004129232	512588	512588	1534	514122	1312	515434	1312	516746	512588	0.512588	0.004100704	637.7430392439933	516746	0.516746	0.004133968	2530.4457431697583	True
cereal	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	84	336	326899429	8dcbba0bc404c5f7106025a08aa3859383c22218cac96afe8f9205839d53a448	81692b3dfbb485b20b621f4ffd7a75968cea94a2511e183bcaf878d486ba93be	510792	0.510792	0.004086336	512828	0.512828	0.004102624	513800	0.5138	0.0041104	514602	0.514602	0.004116816	515352	0.515352	0.004122816	516154	0.516154	0.004129232	512588	512588	1534	514122	1312	515434	1312	516746	512588	0.512588	0.004100704	637.7430392439933	516746	0.516746	0.004133968	2530.4457431697583	True
