project	schema	stage	receiver_initial_state	learning_mode	description	build_repetitions	tus_per_build	total_tus	raw_bytes_per_build	curve_sha256	log_sha256	tu50_wire_bytes	tu50_decimal_mb	tu50_seconds_1gbit	tu100_wire_bytes	tu100_decimal_mb	tu100_seconds_1gbit	tu150_wire_bytes	tu150_decimal_mb	tu150_seconds_1gbit	tu200_wire_bytes	tu200_decimal_mb	tu200_seconds_1gbit	tu250_wire_bytes	tu250_decimal_mb	tu250_seconds_1gbit	tu300_wire_bytes	tu300_decimal_mb	tu300_seconds_1gbit	build1_incremental_wire_bytes	build1_cumulative_wire_bytes	build2_incremental_wire_bytes	build2_cumulative_wire_bytes	build3_incremental_wire_bytes	build3_cumulative_wire_bytes	build4_incremental_wire_bytes	build4_cumulative_wire_bytes	full_build_wire_bytes	full_build_decimal_mb	full_build_seconds_1gbit	full_build_ratio	four_build_cumulative_wire_bytes	four_build_cumulative_decimal_mb	four_build_cumulative_seconds_1gbit	four_build_cumulative_ratio	exact
catch2	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	857	3428	947252235	f844bfdacf9c2376a3d262b71a2e7bf5b317f55b158bd66e216d1a7c104f1097	7f9d0496be48016d909942b1d9538154854c1acbc39806ccc19e4da494de5b27	379782	0.379782	0.003038256	463168	0.463168	0.003705344	585883	0.585883	0.004687064	589210	0.58921	0.00471368	620970	0.62097	0.00496776	631071	0.631071	0.005048568	1006039	1006039	18388	1024427	13738	1038165	13738	1051903	1006039	1.006039	0.008048312	941.5661172181198	1051903	1.051903	0.008415224	3602.0516530516597	True
nlohmann-json	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	99	396	293917707	f80d0bae80700bfc3de8507c162115c4196d3532d948efd1040c46569d4abc38	227fbeef3d4b5b48e855cdc817d8fbe3477f7d939bc98ad0288fa2886fa23603	987863	0.987863	0.007902904	1217790	1.21779	0.00974232	1220435	1.220435	0.00976348	1223063	1.223063	0.009784504	1223863	1.223863	0.009790904	1224715	1.224715	0.00979772	1217739	1217739	5292	1223031	1636	1224667	1636	1226303	1217739	1.217739	0.009741912	241.36346704835765	1226303	1.226303	0.009810424	958.7115321417301	True
nlohmann-json	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	99	396	293917707	fb61557323dd3396e00f251fea43fc7665f521182e1e48899816a57d06626bb4	8569c557265be395454ea99b6f69880e44a6033ded5989ec6ef29605016c5554	952308	0.952308	0.007618464	1168869	1.168869	0.009350952	1171514	1.171514	0.009372112	1174142	1.174142	0.009393136	1174942	1.174942	0.009399536	1175794	1.175794	0.009406352	1168818	1168818	5292	1174110	1636	1175746	1636	1177382	1168818	1.168818	0.009350544	251.46576028089916	1177382	1.177382	0.009419056	998.5466297259513	True
nlohmann-json	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	99	396	293917707	fb61557323dd3396e00f251fea43fc7665f521182e1e48899816a57d06626bb4	10b22d8eb64150d3ba0e6bb3d0f74ca93f3b86d31d281aad0e0efb5aeeb3ac19	952308	0.952308	0.007618464	1168869	1.168869	0.009350952	1171514	1.171514	0.009372112	1174142	1.174142	0.009393136	1174942	1.174942	0.009399536	1175794	1.175794	0.009406352	1168818	1168818	5292	1174110	1636	1175746	1636	1177382	1168818	1.168818	0.009350544	251.46576028089916	1177382	1.177382	0.009419056	998.5466297259513	True
nlohmann-json	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	99	396	293917707	fb61557323dd3396e00f251fea43fc7665f521182e1e48899816a57d06626bb4	4ae3f28ea55b01060cfffc37b8d5ec129fa49d6f8423505c7d2582d4aeb3f542	952308	0.952308	0.007618464	1168869	1.168869	0.009350952	1171514	1.171514	0.009372112	1174142	1.174142	0.009393136	1174942	1.174942	0.009399536	1175794	1.175794	0.009406352	1168818	1168818	5292	1174110	1636	1175746	1636	1177382	1168818	1.168818	0.009350544	251.46576028089916	1177382	1.177382	0.009419056	998.5466297259513	True
nlohmann-json	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	99	396	293917707	fb61557323dd3396e00f251fea43fc7665f521182e1e48899816a57d06626bb4	91151b19b3a02719fcb6140f526b6ca3518bceaab29cbaadb3f6cb4a268647af	952308	0.952308	0.007618464	1168869	1.168869	0.009350952	1171514	1.171514	0.009372112	1174142	1.174142	0.009393136	1174942	1.174942	0.009399536	1175794	1.175794	0.009406352	1168818	1168818	5292	1174110	1636	1175746	1636	1177382	1168818	1.168818	0.009350544	251.46576028089916	1177382	1.177382	0.009419056	998.5466297259513	True
range-v3	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	259	1036	632049016	ed6d0c02c5db9f95e1bb48202e138ce55b650f60a11b11c10f9811d4db18b54a	b1034e3ea387972c6627fcd0a394642d3db4d538caaaaf43fd407e4991a69d4a	486024	0.486024	0.003888192	578818	0.578818	0.004630544	745303	0.745303	0.005962424	821664	0.821664	0.006573312	907011	0.907011	0.007256088	920524	0.920524	0.007364192	918439	918439	13254	931693	3937	935630	3937	939567	918439	0.918439	0.007347512	688.1774576210287	939567	0.939567	0.007516536	2690.8097708838222	True
range-v3	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	259	1036	632049016	98d8fa1985c4965556139baa22ec72750b9362723ce9d65b4117d53af0ce7f19	fc7d4caf28192a027cdee8508a78521d00e0f5bb4b331b6e6c004b6183341f23	467540	0.46754	0.00374032	554751	0.554751	0.004438008	713936	0.713936	0.005711488	784166	0.784166	0.006273328	863906	0.863906	0.006911248	876591	0.876591	0.007012728	874465	874465	13513	887978	3937	891915	3937	895852	874465	0.874465	0.00699572	722.7836631540428	895852	0.895852	0.007166816	2822.1135455410044	True
range-v3	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	259	1036	632049016	98d8fa1985c4965556139baa22ec72750b9362723ce9d65b4117d53af0ce7f19	a944ae7006850c8703896947e4243e66e4b4720775db15ade873bc5dc5870754	467540	0.46754	0.00374032	554751	0.554751	0.004438008	713936	0.713936	0.005711488	784166	0.784166	0.006273328	863906	0.863906	0.006911248	876591	0.876591	0.007012728	874465	874465	13513	887978	3937	891915	3937	895852	874465	0.874465	0.00699572	722.7836631540428	895852	0.895852	0.007166816	2822.1135455410044	True
range-v3	p28-cold	p28	cold	incremental_online_empty_start	P27 plus S1 chain 1024	4	259	1036	632049016	b40e74232d95279e4e2a0f5abe613ea86ec429a21b2013d201de8c476b558d3b	00c8423f073fa15554ff33178c934c41898c5f05671bb1fd6db3f6ac92fb1253	467512	0.467512	0.003740096	554725	0.554725	0.0044378	713805	0.713805	0.00571044	783889	0.783889	0.006271112	863524	0.863524	0.006908192	876208	0.876208	0.007009664	874082	874082	13513	887595	3937	891532	3937	895469	874082	0.874082	0.006992656	723.1003681576785	895469	0.895469	0.007163752	2823.32058842908	True
range-v3	p29-cold	p29	cold	incremental_online_empty_start	P28 plus selected blob zstd-9/LDM workers	4	259	1036	632049016	b40e74232d95279e4e2a0f5abe613ea86ec429a21b2013d201de8c476b558d3b	9c78a8855d48f823e723351827fa44225f65621da9418778b3784f38cedc411d	467512	0.467512	0.003740096	554725	0.554725	0.0044378	713805	0.713805	0.00571044	783889	0.783889	0.006271112	863524	0.863524	0.006908192	876208	0.876208	0.007009664	874082	874082	13513	887595	3937	891532	3937	895469	874082	0.874082	0.006992656	723.1003681576785	895469	0.895469	0.007163752	2823.32058842908	True
eigen	p25-cold	p25	cold	incremental_online_empty_start	key-map material baseline	4	650	2600	3532268956	acf236ef45bad35f4e02f7c492af8636a514eae24a611a8178919a8a6fc31439	675d9e02325e6825f8aa1a7474d70e7cf6f1f16760f0fc215f7df762d9e95291	688427	0.688427	0.005507416	715938	0.715938	0.005727504	958784	0.958784	0.007670272	1124993	1.124993	0.008999944	1148366	1.148366	0.009186928	1192192	1.192192	0.009537536	1431621	1431621	33555	1465176	9802	1474978	9802	1484780	1431621	1.431621	0.011452968	2467.3212784668567	1484780	1.48478	0.01187824	9515.938943143092	True
eigen	p26-cold	p26	cold	incremental_online_empty_start	direct ordinals plus compressed zlib-member recovery	4	650	2600	3532268956	12448f026988c3a6b063945398c8eda02794ac633cd24feacb25156e30b7214f	e7f7fbef620d2dc2884fd36e56367f7ad4252069ab05bd8ee8a308b94193f372	666424	0.666424	0.005331392	692626	0.692626	0.005541008	926957	0.926957	0.007415656	1085712	1.085712	0.008685696	1107728	1.107728	0.008861824	1149255	1.149255	0.00919404	1378045	1378045	34205	1412250	9802	1422052	9802	1431854	1378045	1.378045	0.01102436	2563.2464513132736	1431854	1.431854	0.011454832	9867.67912370954	True
eigen	p27-cold	p27	cold	incremental_online_empty_start	P26 plus canonical-MO factoring	4	650	2600	3532268956	12448f026988c3a6b063945398c8eda02794ac633cd24feacb25156e30b7214f	656a9de60272f5a9fc5143af358ea4bed02fe62bc8df615ea16713a28665aad5	666424	0.666424	0.005331392	692626	0.692626	0.005541008	926957	0.926957	0.007415656	1085712	1.085712	0.008685696	1107728	1.107728	0.008861824	1149255	1.149255	0.00919404	1378045	1378045	34205	1412250	9802	1422052	9802	1431854	1378045	1.378045	0.01102436	2563.2464513132736	1431854	1.431854	0.011454832	9867.67912370954	True
