corpus	raw_bytes	target_line_bytes	package_budget_raw	package_lines	package_raw_bytes	package_wire_bytes	hit_lines	hit_bytes	residual_lines	residual_bytes	residual_wire_bytes	literal_tus	front_tus	line_wire_bytes	literal_only_line_wire_bytes	baseline_line_wire_bytes	tu_front_gain	line_gain	raw_over_line_wire	exact
llvm	3620271340	40025224	0	0	0	0	0	0	771055	40025224	8461510	120	1118	8461510	9283632	8461510	1.097160200	1.000000000	427.851688410	OK
llvm	3620271340	40025224	65536	301	65536	5423	301	64935	770754	39960289	8456266	120	1118	8461689	9283632	8461510	1.097160200	0.999978846	427.842637563	OK
llvm	3620271340	40025224	131072	885	131072	13506	885	129793	770170	39895431	8449202	120	1118	8462708	9283632	8461510	1.097160200	0.999858438	427.791120762	OK
llvm	3620271340	40025224	262144	2641	262144	42591	2641	259109	768414	39766115	8428994	120	1118	8471585	9283632	8461510	1.097160200	0.998810730	427.342857328	OK
llvm	3620271340	40025224	524288	6816	524288	90811	6816	517078	764239	39508146	8383815	120	1118	8474626	9283632	8461510	1.097160200	0.998452321	427.189511372	OK
llvm	3620271340	40025224	1048576	18985	1048576	181086	18981	1029036	752074	38996188	8283593	120	1118	8464679	9283632	8461510	1.097160200	0.999625621	427.691509625	OK
llvm	3620271340	40025224	2097152	42535	2097152	371977	38943	1874982	732112	38150242	8101905	120	1118	8473882	9283632	8461510	1.097160200	0.998539984	427.227018266	OK
llvm	3620271340	40025224	4194304	82012	4194304	715188	42374	2004682	728681	38020542	8071458	121	1117	8786646	9283632	8461510	1.097160200	0.962996575	412.019710365	OK
rocksdb	3114320596	44701802	0	0	0	0	0	0	587613	44701802	4679973	37	584	4679973	5559936	4679973	1.188027367	1.000000000	665.456957978	OK
rocksdb	3114320596	44701802	65536	239	65536	5119	211	50569	587402	44651233	4676063	37	584	4681182	5559936	4679973	1.188027367	0.999741732	665.285091671	OK
rocksdb	3114320596	44701802	131072	719	131072	11839	594	101796	587019	44600006	4670725	37	584	4682564	5559936	4679973	1.188027367	0.999446671	665.088741126	OK
rocksdb	3114320596	44701802	262144	2324	262144	38087	2026	215906	585587	44485896	4654218	37	584	4692305	5559936	4679973	1.188027367	0.997371867	663.708048816	OK
rocksdb	3114320596	44701802	524288	6327	524288	86872	5835	461358	581778	44240444	4611577	37	584	4698449	5559936	4679973	1.188027367	0.996067638	662.840140651	OK
rocksdb	3114320596	44701802	1048576	17531	1048576	175466	16592	953586	571021	43748216	4520431	37	584	4695897	5559936	4679973	1.188027367	0.996608955	663.200363211	OK
rocksdb	3114320596	44701802	2097152	42282	2097151	371687	40413	1909743	547200	42792059	4316637	37	584	4688324	5559936	4679973	1.188027367	0.998218766	664.271623719	OK
rocksdb	3114320596	44701802	4194304	78058	4194304	706092	58362	2721750	529251	41980052	4185115	37	584	4891207	5559936	4679973	1.188027367	0.956813523	636.718216179	OK
duckdb	1985715205	54733427	0	0	0	0	0	0	637610	54733427	8458671	43	517	8458671	9259393	8458671	1.094662861	1.000000000	234.754987515	OK
duckdb	1985715205	54733427	65536	301	65536	5423	301	64935	637309	54668492	8453138	43	517	8458561	9259393	8458671	1.094662861	1.000013005	234.758040404	OK
duckdb	1985715205	54733427	131072	885	131072	13506	885	129793	636725	54603634	8445774	43	517	8459280	9259393	8458671	1.094662861	0.999928008	234.738087048	OK
duckdb	1985715205	54733427	262144	2641	262144	42591	2641	259109	634969	54474318	8425222	43	517	8467813	9259393	8458671	1.094662861	0.998920382	234.501541898	OK
duckdb	1985715205	54733427	524288	6816	524288	90811	6816	517078	630794	54216349	8380699	43	517	8471510	9259393	8458671	1.094662861	0.998484450	234.399204510	OK
duckdb	1985715205	54733427	1048576	18986	1048576	181102	18986	1029196	618624	53704231	8282647	43	517	8463749	9259393	8458671	1.094662861	0.999400029	234.614141440	OK
duckdb	1985715205	54733427	2097152	42376	2097152	372157	41182	1991161	596428	52742266	8078486	45	515	8450643	9259393	8458671	1.094662861	1.000949987	234.978001674	OK
duckdb	1985715205	54733427	4194304	80996	4194304	710804	47477	2217909	590133	52515518	8028636	46	514	8739440	9259393	8458671	1.094662861	0.967873342	227.213094317	OK
abseil	2581008467	28956497	0	0	0	0	0	0	376835	28956497	3564062	53	598	3564062	4071976	3564062	1.142509867	1.000000000	724.176085321	OK
abseil	2581008467	28956497	65536	301	65536	5423	301	64935	376534	28891562	3558728	53	598	3564151	4071976	3564062	1.142509867	0.999975029	724.158002004	OK
abseil	2581008467	28956497	131072	885	131072	13506	885	129793	375950	28826704	3551718	53	598	3565224	4071976	3564062	1.142509867	0.999674074	723.940057343	OK
