corpus	scenario	tus	raw_bytes	empty_wire_bytes	seed_wire_bytes	empty_ratio	seed_ratio	seed_gain_vs_empty_percent	seed_strictly_smaller	seed_published_assets	all_published_assets	final_logical_state_bytes	package_sha256	affected_tus	affected_occurrences	exact	seed_change_vs_standard_percent	empty_change_vs_standard_percent
fmt	reverse	50	136350082	1229249	1102327	110.92145041403329	123.69295317995477	11.51400627944339	True	1823	7381	6086069	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-5.472060468445383	-1.629206125040572
spdlog	reverse	34	98384472	297008	294149	331.2519258740505	334.47155013275585	0.9719563894488914	True	1001	2795	1955598	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	3.533923283777951	55.886710122286274
catch2	reverse	200	212426768	528081	461346	402.2617136386274	460.45000498541225	14.465282022603422	True	1613	7413	5850414	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-16.38423222483776	-14.362001283893944
nlohmann-json	reverse	99	293917707	800455	699951	367.18829540698727	419.91183239969655	14.358719396072006	True	1809	7727	6484993	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-7.329513065914616	2.432491520447755
range-v3	reverse	200	484251452	841682	703925	575.3377784008687	687.930464182974	19.569840536989027	True	1745	9045	9052201	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-13.467770003906665	-7.506041474095914
eigen	reverse	200	1098381060	1467379	1165235	748.5326285847078	942.626217029183	25.929876805966167	True	1382	10438	6534121	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-28.937767918059443	-33.762511253057326
re2	reverse	72	110231455	416944	307135	264.3795209908285	358.9022905237111	35.752682045354646	True	1436	5818	3624550	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-17.742686440815923	-6.0295867070877645
leveldb	reverse	72	143868249	839153	730670	171.44459830328915	196.89907755895274	14.847058179479111	True	1618	8025	4819820	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-11.321937399920623	-1.89369519026924
simdjson	reverse	153	468377342	906281	730563	516.8124919313104	641.1183457141958	24.05240889560516	True	2045	10872	7138967	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-7.108079659112221	0.4873764318130913
cereal	reverse	84	326899429	552535	446707	591.6356954763047	731.7983129881555	23.690696586353035	True	1518	6434	2102349	8fb47610e74309ea15bd1c0c2080ee07b5931518bb8e638b49ddb2785f322430	0	0	True	-39.19795302066007	-50.82736840200168
